Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
1,Derrick Henry*,TEN,29,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,0,HenrDe00
2,Christian McCaffrey*+,SFO,27,RB,16,16,272,1459,14,83,54.0,72,5.4,91.2,3,McCaCh01
3,Rachaad White,TAM,24,RB,17,17,272,990,6,46,40.8,38,3.6,58.2,3,WhitRa01
4,Travis Etienne,JAX,24,RB,17,17,267,1008,11,53,43.1,62,3.8,59.3,0,EtieTr00
5,Joe Mixon,CIN,27,RB,17,17,257,1034,9,59,49.4,44,4.0,60.8,0,MixoJo00
6,Najee Harris,PIT,25,RB,17,17,255,1035,8,51,48.2,25,4.1,60.9,2,HarrNa00
7,Tony Pollard,DAL,26,RB,17,17,252,1005,6,56,50.0,31,4.0,59.1,3,PollTo00
8,Saquon Barkley,NYG,26,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,2,BarkSa00
9,Chuba Hubbard,CAR,24,RB,17,12,238,902,5,59,47.5,22,3.8,53.1,1,HubbCh01
10,James Cook*,BUF,24,RB,17,13,237,1122,2,53,55.7,42,4.7,66.0,4,CookJa01
11,Josh Jacobs,LVR,25,RB,13,13,233,805,6,34,45.9,63,3.5,61.9,3,JacoJo01
12,D'Andre Swift*,PHI,24,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,3,SwifDA00
13,Kyren Williams*,LAR,23,RB,12,11,228,1144,12,62,59.6,56,5.0,95.3,3,WillKy02
14,Breece Hall,NYJ,22,RB,17,16,223,994,5,40,39.5,83,4.5,58.5,2,HallBr03
15,David Montgomery,DET,26,RB,14,14,219,1015,13,59,54.8,75,4.6,72.5,2,MontDa01
16,Kenneth Walker III,SEA,23,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,1,WalkKe00
17,Javonte Williams,DEN,23,RB,16,13,217,774,3,41,40.6,21,3.6,48.4,1,WillJa10
18,Devin Singletary,HOU,26,RB,17,10,216,898,4,41,47.7,24,4.2,52.8,1,SingDe00
19,Bijan Robinson,ATL,21,RB,17,16,214,976,4,50,43.5,38,4.6,57.4,4,RobiBi01
