Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,-9999
91,Tyler Huntley,BAL,22,qb,2,0,3,5,15,0,0,0,0,0.0%,2,40.0%,3,60.0%,HuntTy01
92,Sam Koch,BAL,38,p,15,0,1,1,15,0,0,0,0,0.0%,0,0.0%,0,0.0%,KochSa20
93,Greg Ward,PHI,25,wr,16,10,1,1,15,0,0,0,0,0.0%,0,0.0%,1,100.0%,WardGr02
94,Kendall Hinton,DEN,23,wr,1,0,1,9,13,0,1,0,0,0.0%,4,50.0%,1,12.5%,HintKe00
95,Jaquan Johnson,BUF,25,db,14,0,1,1,13,0,0,0,0,0.0%,0,0.0%,0,0.0%,JohnJa11
96,Tommy Townsend,KAN,24,p,16,0,1,1,13,0,0,0,0,0.0%,0,0.0%,0,0.0%,TownTo01
97,Isaiah McKenzie,BUF,25,wr,16,7,1,1,12,0,0,0,0,0.0%,0,0.0%,1,100.0%,McKeIs00
98,Logan Woodside,TEN,25,qb,6,0,1,3,7,0,0,0,0,0.0%,1,33.3%,0,0.0%,WoodLo00
99,Travis Kelce*+,KAN,31,TE,15,15,1,2,4,0,0,0,0,0.0%,0,0.0%,2,100.0%,KelcTr00
100,Easton Stick,LAC,25,qb,1,0,1,1,4,0,0,0,0,0.0%,0,0.0%,1,100.0%,SticEa00
101,Joshua Dobbs,PIT,25,qb,1,0,4,5,2,0,1,0,0,0.0%,0,0.0%,4,100.0%,DobbJo00
102,Jamal Agnew,DET,25,db,14,2,0,1,0,0,0,0,0,0.0%,0,0.0%,1,100.0%,AgneJa00
103,Keenan Allen*,LAC,28,WR,14,13,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%,AlleKe00
104,Randall Cobb,HOU,30,wr,10,2,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%,CobbRa00
105,Riley Dixon,NYG,27,p,16,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%,DixoRi00
106,Alex Erickson,CIN,28,wr,16,2,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%,EricAl01
107,Chris Jones,DAL,31,p,8,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%,JoneCh02
108,Brett Kern,TEN,34,p,13,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%,KernBr20
109,D.J. Moore,CAR,23,WR,15,14,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%,MoorD.00
110,Zach Pascal,IND,26,WR,16,14,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%,PascZa00
111,Sammy Watkins,KAN,27,WR,10,9,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%,WatkSa00
112,Isaiah Wright,WAS,23,wr,14,6,0,1,0,0,1,0,0,0.0%,0,0.0%,0,0.0%,WrigIs01
