Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,-9999
49,Mason Rudolph,PIT,25,qb,5,1,25,43,324,0,1,0,4,9.5%,9,21.4%,32,76.2%,RudoMa00
50,Brett Rypien,DEN,24,qb,3,1,27,40,295,1,4,0,1,2.8%,2,5.6%,28,77.8%,RypiBr00
51,Chase Daniel,DET,34,qb,4,0,29,43,264,1,1,1,3,7.3%,5,12.2%,33,80.5%,DaniCh00
52,Jarrett Stidham,NWE,24,qb,5,0,22,44,256,1,6,0,3,7.9%,9,23.7%,26,68.4%,StidJa00
53,Chad Henne,KAN,35,qb,3,1,28,38,248,0,1,0,1,2.7%,6,16.2%,31,83.8%,HennCh01
54,Garrett Gilbert,DAL,29,qb,1,1,21,38,243,3,0,1,0,0.0%,11,29.7%,21,56.8%,GilbGa01
55,John Wolford,LAR,25,qb,1,1,22,38,231,1,1,0,1,2.7%,10,27.0%,25,67.6%,WolfJo00
56,Marcus Mariota,LVR,27,qb,1,0,17,28,226,0,1,1,1,3.8%,6,23.1%,19,73.1%,MariMa01
57,Ben DiNucci,DAL,24,qb,3,1,23,43,219,0,1,1,2,4.9%,13,31.7%,26,63.4%,DiNuBe00
58,Tyrod Taylor,LAC,31,qb,2,1,16,30,208,0,2,0,1,3.6%,6,21.4%,20,71.4%,TaylTy00
59,Matt Barkley,BUF,30,qb,5,0,11,21,197,1,0,0,2,9.5%,5,23.8%,13,61.9%,BarkMa00
60,Ryan Finley,CIN,26,qb,5,1,17,32,164,0,0,0,1,3.1%,7,21.9%,24,75.0%,FinlRy00
61,Blaine Gabbert,TAM,31,qb,4,0,9,16,143,0,0,0,1,6.3%,5,31.3%,11,68.8%,GabbBl00
62,Taylor Heinicke,WAS,27,qb,1,0,12,19,137,0,0,0,1,5.3%,4,21.1%,13,68.4%,HeinTa00
63,Brian Hoyer,NWE,35,qb,1,1,15,24,130,0,1,0,1,4.3%,4,17.4%,19,82.6%,HoyeBr00
64,Chris Streveler,ARI,25,qb,5,0,11,16,105,0,0,0,0,0.0%,2,12.5%,14,87.5%,StreCh00
65,Trace McSorley,BAL,25,qb,2,0,3,10,90,1,1,0,1,11.1%,3,33.3%,4,44.4%,McSoTr00
66,Jameis Winston,NOR,26,qb,4,0,7,11,75,0,0,0,0,0.0%,3,27.3%,7,63.6%,WinsJa00
67,Jarvis Landry,CLE,28,WR,15,14,4,4,74,0,0,0,0,0.0%,0,0.0%,4,100.0%,LandJa00
68,David Blough,DET,25,qb,1,0,6,10,49,1,0,0,0,0.0%,2,20.0%,6,60.0%,BlouDa00
69,Case Keenum,CLE,32,qb,2,0,5,10,46,0,0,0,0,0.0%,3,30.0%,5,50.0%,KeenCa00
70,Jamison Crowder,NYJ,27,WR,12,7,1,1,43,0,0,0,0,0.0%,0,0.0%,1,100.0%,CrowJa00
71,Jakobi Meyers,NWE,24,wr,14,9,2,2,43,0,0,0,0,0.0%,0,0.0%,2,100.0%,MeyeJa01
72,Robert Griffin III,BAL,30,qb,4,1,8,14,42,0,0,0,0,0.0%,4,28.6%,8,57.1%,GrifRo01
73,Russell Gage,ATL,24,wr,16,8,1,2,39,0,0,0,1,50.0%,0,0.0%,2,100.0%,GageRu00
74,Julian Edelman,NWE,34,wr,6,1,2,2,38,0,0,0,0,0.0%,0,0.0%,2,100.0%,EdelJu00
75,Geno Smith,SEA,30,qb,1,0,4,5,33,0,0,0,0,0.0%,1,20.0%,4,80.0%,SmitGe00
76,Lynn Bowden Jr.,MIA,23,wr,10,4,1,2,32,0,0,0,0,0.0%,1,50.0%,1,50.0%,BowdLy00
77,Nate Sudfeld,PHI,27,qb,1,0,5,12,32,0,2,0,1,10.0%,3,30.0%,6,60.0%,SudfNa00
78,Zay Jones,LVR,25,wr,16,2,1,1,29,0,0,0,0,0.0%,0,0.0%,1,100.0%,JoneZa00
79,Joseph Charlton,CAR,23,p,16,0,1,1,28,0,0,0,0,0.0%,0,0.0%,0,0.0%,CharJo01
80,Logan Thomas,WAS,29,TE,16,15,1,1,28,0,0,0,0,0.0%,0,0.0%,1,100.0%,ThomLo00
81,Andy Lee,ARI,38,p,16,0,1,1,26,0,0,0,0,0.0%,0,0.0%,0,0.0%,LeexAn20
82,Nathan Peterman,LVR,26,qb,1,0,3,5,25,0,0,0,0,0.0%,1,20.0%,3,60.0%,PeteNa00
83,Cedrick Wilson Jr.,DAL,25,wr,16,0,2,2,23,0,0,0,0,0.0%,0,0.0%,2,100.0%,WilsCe01
84,Cole Beasley,BUF,31,wr,15,10,1,1,20,0,0,0,0,0.0%,0,0.0%,1,100.0%,BeasCo00
85,A.J. McCarron,HOU,30,qb,2,0,1,1,20,0,0,0,0,0.0%,0,0.0%,0,0.0%,McCaA.00
86,Odell Beckham Jr.,CLE,28,WR,7,7,1,1,18,0,0,0,0,0.0%,0,0.0%,1,100.0%,BeckOd00
87,Tyler Bray,CHI,29,qb,1,0,1,5,18,0,0,1,0,0.0%,3,75.0%,1,25.0%,BrayTy00
88,Golden Tate,NYG,32,wr,12,4,1,2,18,0,1,0,0,0.0%,0,0.0%,1,100.0%,TateGo00
89,Jacoby Brissett,IND,28,qb,11,0,2,8,17,0,1,0,1,14.3%,3,42.9%,4,57.1%,BrisJa00
90,Tyler Boyd,CIN,26,wr,15,8,1,2,16,0,0,0,0,0.0%,1,50.0%,1,50.0%,BoydTy00
