,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
862,22,63.2,35.0,6.3,61.8
867,24,82.8,28.0,8.7,61.1
868,31,75.7,25.0,9.0,65.4
874,21,63.6,38.0,5.5,62.0
875,23,50.0,26.0,8.0,43.9
878,24,65.5,28.0,7.3,52.3
879,26,54.5,43.0,6.8,45.0
880,25,89.7,19.0,7.2,58.8
885,25,79.2,36.0,10.2,49.5
891,28,75.0,38.0,7.4,41.9
892,35,64.9,22.0,6.5,53.9
896,36,58.8,36.0,6.3,38.7
897,26,87.5,29.0,10.2,42.3
906,26,57.9,33.0,7.7,37.6
911,23,77.8,47.0,15.6,33.0
912,28,73.7,26.0,6.9,54.2
914,25,73.1,30.0,7.5,44.4
917,26,63.6,31.0,5.9,38.9
921,27,82.4,21.0,6.6,37.3
923,28,62.5,22.0,6.1,27.9
925,23,93.8,41.0,10.7,38.1
932,24,64.5,21.0,4.7,40.5
939,38,76.5,15.0,4.1,31.9
944,25,65.0,50.0,10.0,30.9
948,22,73.3,27.0,8.1,29.1
960,24,80.0,27.0,7.6,29.4
971,27,66.7,19.0,4.5,29.5
972,26,80.0,42.0,10.2,24.2
974,26,72.7,31.0,8.4,23.2
980,27,72.7,23.0,7.9,22.7
984,25,53.3,29.0,5.3,22.0
985,27,75.0,16.0,6.9,23.3
1003,27,72.7,23.0,9.6,18.6
1004,29,73.3,24.0,7.3,22.2
1006,32,50.0,26.0,8.3,14.0
1007,30,80.0,16.0,4.6,18.6
1010,23,85.7,16.0,5.3,29.2
1014,23,28.6,26.0,5.6,11.9
1017,30,75.0,15.0,5.0,24.9
1024,23,100.0,13.0,13.0,10.6
1025,30,75.0,23.0,7.2,17.6
1047,27,50.0,7.0,3.5,7.7
1051,26,100.0,3.0,3.0,7.3
1058,32,63.6,25.0,5.7,13.3
1059,24,50.0,3.0,1.5,7.3
1062,25,71.4,24.0,7.6,10.3
1063,29,50.0,9.0,3.2,11.5
1066,28,75.0,17.0,6.5,11.2
1067,26,100.0,34.0,13.3,9.3
1069,29,83.3,14.0,7.7,9.6
1073,22,33.3,44.0,14.7,5.4
1079,26,42.9,20.0,5.9,7.1
1080,24,40.0,19.0,3.9,7.9
1081,25,66.7,22.0,7.0,10.3
1085,23,42.9,23.0,5.0,6.5
1086,23,75.0,18.0,9.0,6.6
1087,25,63.6,12.0,3.3,10.6
1090,24,50.0,11.0,5.5,4.1
1091,24,25.0,10.0,2.5,4.0
1093,25,60.0,11.0,5.0,5.5
1114,21,60.0,8.0,3.2,4.6
1117,21,100.0,10.0,8.0,3.6
1121,26,75.0,9.0,4.0,4.6
1128,25,50.0,5.0,1.3,2.5
1129,30,100.0,14.0,14.0,2.4
