,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
5008,33,53.3,66.0,8.6,215.1
5009,29,62.5,51.0,10.0,205.1
5010,26,53.4,63.0,7.1,217.6
5011,25,52.4,80.0,9.3,192.5
5013,23,55.6,61.0,9.6,187.0
5014,23,44.5,54.0,7.8,183.4
5017,26,53.8,82.0,7.0,194.3
5019,28,55.5,49.0,7.9,194.3
5022,24,56.6,70.0,7.0,194.7
5024,31,56.5,53.0,7.0,195.1
5025,22,48.5,81.0,6.6,184.8
5027,27,67.1,73.0,10.2,167.5
5046,32,58.0,43.0,8.2,183.4
5047,26,61.0,46.0,9.1,168.4
5049,24,44.7,58.0,6.5,166.6
5050,24,66.2,51.0,10.1,160.7
5054,26,56.5,80.0,8.3,186.3
5055,31,65.9,39.0,9.6,167.4
5058,21,52.1,71.0,8.4,158.5
5059,24,56.1,46.0,6.7,172.8
5060,26,59.7,80.0,10.6,144.8
5061,24,62.3,60.0,7.4,171.1
5062,24,72.9,45.0,8.0,167.3
5063,33,66.1,77.0,9.2,145.7
5065,29,45.5,37.0,5.1,174.8
5066,25,62.2,34.0,8.4,150.1
5067,29,51.7,71.0,8.4,144.6
5069,28,48.4,48.0,6.3,157.0
5071,24,58.9,66.0,8.7,153.2
5072,28,51.8,47.0,7.0,155.1
5074,26,57.9,62.0,8.9,139.2
5077,26,64.7,88.0,9.3,138.2
5080,25,51.3,59.0,7.6,133.2
5083,23,52.5,65.0,8.7,133.0
5085,23,56.4,43.0,6.9,143.2
5087,24,53.0,50.0,6.9,140.2
5092,23,61.5,38.0,6.0,149.0
5093,27,58.7,39.0,7.5,144.8
5094,36,77.6,38.0,9.4,129.4
5095,27,62.4,56.0,6.6,146.4
5096,24,50.0,46.0,6.5,127.9
5100,26,51.7,77.0,8.0,126.3
5103,26,63.8,59.0,6.7,131.3
5111,24,52.7,64.0,7.9,115.4
5113,24,66.7,68.0,9.5,110.8
5116,27,65.8,32.0,7.0,119.5
5121,28,66.1,41.0,9.6,107.7
5122,25,58.2,65.0,7.9,100.5
5124,25,61.2,68.0,6.6,109.3
5130,23,52.3,53.0,6.5,111.2
5131,29,69.7,39.0,8.5,117.8
5133,28,54.5,47.0,7.4,95.2
5134,25,58.7,37.0,8.3,109.0
5136,31,60.3,52.0,7.6,104.8
5137,23,58.9,46.0,6.8,96.9
5141,29,58.1,45.0,5.9,96.6
5142,35,56.0,55.0,8.7,89.4
5147,30,55.6,32.0,6.2,96.9
5148,26,65.6,56.0,7.3,77.0
5150,24,47.6,80.0,18.0,66.0
5152,24,58.0,50.0,7.3,83.6
5153,22,50.0,55.0,7.6,78.7
5154,26,73.7,40.0,7.9,97.3
5155,25,50.9,62.0,7.7,82.6
5162,23,48.6,69.0,8.1,70.4
5165,25,59.2,60.0,7.7,78.5
5166,24,62.5,36.0,5.4,80.1
5169,29,63.6,35.0,6.9,62.8
5171,21,59.4,56.0,9.3,66.8
5175,28,64.4,37.0,6.7,83.9
5176,25,41.0,55.0,5.5,70.9
5180,23,61.1,65.0,8.6,66.1
5181,24,68.8,40.0,9.7,65.0
5182,31,62.8,26.0,5.6,69.8
5183,25,48.9,23.0,5.3,65.8
5185,21,44.7,33.0,5.4,64.2
5186,24,57.9,68.0,12.5,54.1
5194,23,42.6,57.0,6.9,58.5
5195,23,53.4,51.0,5.6,69.7
5196,30,46.8,41.0,6.7,60.9
5198,27,68.3,25.0,7.0,66.9
5200,29,79.3,22.0,6.9,61.0
5202,25,54.8,36.0,7.2,53.2
5217,23,60.0,48.0,6.9,55.7
5219,28,43.8,46.0,6.5,46.1
5220,26,52.3,31.0,5.3,54.6
5223,24,66.7,27.0,7.2,62.4
5224,30,57.5,39.0,6.1,53.8
5225,28,48.8,38.0,6.6,51.2
5226,22,56.3,23.0,6.3,48.8
5232,23,61.3,32.0,8.3,47.8
5233,24,63.6,57.0,9.6,43.3
5236,23,40.7,39.0,5.8,38.6
5237,27,59.0,36.0,6.3,51.4
5243,29,51.4,19.0,5.7,43.9
5244,28,55.6,38.0,7.2,45.9
5248,26,51.5,54.0,7.7,42.4
5250,26,50.0,33.0,5.3,51.4
5251,25,52.0,44.0,8.4,38.1
5252,26,48.5,42.0,6.8,39.6
5255,23,45.8,42.0,7.8,33.6
5256,23,48.5,17.0,4.6,39.1
5258,27,55.8,32.0,5.9,47.2
5260,25,45.0,12.0,2.7,40.5
5261,26,66.7,31.0,10.5,36.0
5262,27,52.8,18.0,3.9,49.6
5264,30,63.0,24.0,7.6,37.5
5267,24,50.0,54.0,12.6,27.1
5272,37,61.5,26.0,5.9,27.7
5274,22,35.7,18.0,3.0,29.8
5278,24,38.1,27.0,6.0,26.5
5279,25,66.7,37.0,12.9,24.5
5280,28,50.0,31.0,8.3,29.2
5281,23,41.2,39.0,7.2,25.3
5290,33,55.2,25.0,5.0,30.5
5302,26,68.4,27.0,7.2,26.8
5304,23,62.5,20.0,5.3,27.8
5311,25,100.0,5.0,3.3,17.3
5312,27,56.0,25.0,5.2,27.1
5313,27,56.0,25.0,5.2,27.1
5314,24,55.6,82.0,13.4,17.1
5315,26,100.0,15.0,8.5,13.7
5318,24,50.0,36.0,10.5,13.9
5319,32,50.0,63.0,31.5,13.3
5324,23,42.1,28.0,5.6,18.6
5326,24,32.3,22.0,3.5,20.8
5328,35,42.9,18.0,6.0,13.2
5329,23,45.5,13.0,3.2,14.5
5331,23,80.0,15.0,8.0,14.0
5336,25,66.7,21.0,7.3,14.4
5340,29,40.0,35.0,8.5,12.5
5347,28,45.5,19.0,4.1,19.0
5349,30,66.7,17.0,6.6,16.0
5350,27,66.7,10.0,5.0,9.5
5352,22,42.9,36.0,6.2,14.4
5355,29,46.7,24.0,4.9,14.4
5357,32,40.0,30.0,6.8,10.8
5362,25,31.3,28.0,4.6,12.3
5363,29,44.4,36.0,6.4,10.9
5364,25,83.3,23.0,11.0,11.6
5366,22,100.0,31.0,14.0,9.6
5368,26,45.5,42.0,5.6,11.2
5371,23,83.3,21.0,9.8,10.9
5373,25,75.0,28.0,11.3,7.5
5374,25,100.0,8.0,1.9,13.1
5376,29,63.6,24.0,5.7,11.5
5384,23,58.3,10.0,4.4,12.3
5385,24,50.0,16.0,4.4,11.3
5387,24,66.7,9.0,4.3,8.2
5388,30,80.0,13.0,8.8,8.4
5390,24,27.3,17.0,3.7,7.1
5393,28,66.7,15.0,7.0,8.2
5394,30,66.7,16.0,6.8,8.1
5397,25,25.0,13.0,3.3,4.6
5398,23,83.3,9.0,4.5,7.7
5400,27,25.0,18.0,4.5,4.2
5402,23,60.0,9.0,4.4,5.8
5404,22,42.9,17.0,4.4,6.1
5409,23,83.3,25.0,8.5,8.1
5410,27,50.0,18.0,6.8,4.7
5414,23,40.0,14.0,4.4,4.3
5418,26,33.3,11.0,2.5,3.5
5425,22,25.0,24.0,6.0,3.4
5430,29,33.3,9.0,1.3,4.2
5432,23,50.0,8.0,4.0,1.8
5435,27,100.0,6.0,6.0,1.6
5439,24,60.0,39.0,7.5,0.7
5443,24,100.0,7.0,5.5,3.1
5451,25,60.0,39.0,7.5,0.7
5455,29,50.0,9.0,4.5,1.9
5456,24,33.3,7.0,2.3,1.7
5459,28,100.0,6.0,6.0,1.6
5460,26,50.0,14.0,7.0,2.4
5465,24,33.3,13.0,4.3,2.3
5473,29,20.0,19.0,3.8,0.9
5474,23,25.0,-4.0,-1.0,0.6
5480,27,100.0,1.0,0.5,0.8
5484,23,100.0,7.0,7.0,-3.0
