,Age,Rushing_Fumbles,Rushing_Lng,Rushing_Y/A_y,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
3258,25,2.0,7.0,3.8,75.0,8.0,3.8,7.9
3259,25,2.0,6.0,1.6,71.4,11.0,3.6,10.3
3263,23,2.0,18.0,3.7,50.0,5.0,2.5,5.9
3265,23,2.0,6.0,2.7,100.0,12.0,10.0,6.7
3270,25,2.0,9.0,4.8,100.0,6.0,5.5,8.1
3271,28,2.0,-8.0,-8.0,100.0,16.0,10.8,7.5
3272,24,2.0,6.0,2.9,50.0,7.0,2.8,6.3
3277,23,2.0,7.0,3.4,50.0,2.0,1.0,3.6
3278,23,2.0,7.0,3.2,75.0,20.0,5.6,3.2
3279,24,1.0,2.0,2.0,71.4,21.0,6.3,7.6
3282,27,2.0,4.0,2.8,100.0,6.0,6.0,3.8
3285,23,2.0,20.0,3.9,80.0,17.0,5.4,6.7
3286,24,2.0,9.0,7.5,75.0,20.0,5.6,1.5
3288,26,2.0,4.0,4.0,50.0,13.0,3.8,3.9
3291,26,2.0,3.0,3.0,50.0,14.0,7.0,2.7
3295,26,2.0,5.0,2.1,75.0,20.0,5.6,1.5
3300,30,2.0,4.0,2.5,75.0,20.0,5.6,1.5
3301,24,2.0,5.0,2.3,100.0,6.0,6.0,2.5
3313,28,2.0,7.0,3.5,75.0,20.0,5.6,0.7
3320,23,2.0,1.0,1.0,33.3,4.0,1.3,1.5
3324,23,2.0,7.0,5.5,75.0,20.0,5.6,1.1
3326,26,2.0,5.0,2.7,100.0,3.0,3.0,2.1
3327,23,2.0,5.0,4.0,75.0,20.0,5.6,1.2
3330,24,2.0,6.0,6.0,75.0,20.0,5.6,0.6
3332,24,2.0,20.0,3.9,100.0,3.0,2.5,2.5
3334,26,2.0,6.0,3.5,75.0,20.0,5.6,0.7
3335,27,2.0,7.0,2.3,75.0,20.0,5.6,0.7
3337,28,2.0,20.0,3.9,66.7,6.0,1.8,5.1
3338,25,2.0,20.0,3.9,100.0,8.0,3.3,4.0
3339,25,2.0,12.0,3.0,75.0,20.0,5.6,1.2
3341,30,2.0,6.0,2.0,100.0,20.0,-2.0,1.4
3342,23,2.0,1.0,-2.0,75.0,20.0,5.6,-0.4
3345,24,2.0,20.0,3.9,75.0,20.0,5.6,43.349999999999994
3347,25,2.0,20.0,3.9,100.0,3.0,3.0,1.3
3351,27,1.0,10.0,2.8,75.0,20.0,5.6,0.2
3354,24,2.0,20.0,3.9,100.0,4.0,4.0,1.4
3357,23,1.0,4.0,4.0,100.0,11.0,11.0,0.5
3359,23,3.0,3.0,3.0,60.0,9.0,3.6,1.1
3362,23,3.0,39.0,4.0,75.3,44.0,6.0,316.4
3364,30,7.0,80.0,4.5,83.3,49.0,6.2,260.7
3372,26,5.0,84.0,4.9,75.0,25.0,6.2,232.3
3373,32,4.0,55.0,4.5,85.1,34.0,7.8,231.4
3375,21,3.0,71.0,4.8,80.8,31.0,7.2,208.4
3377,24,1.0,85.0,4.5,82.5,54.0,7.0,231.9
3382,24,4.0,47.0,4.6,63.2,55.0,8.0,215.8
3384,27,4.0,58.0,4.3,81.1,36.0,5.9,202.7
3386,30,2.0,27.0,4.1,75.9,38.0,6.7,214.7
3389,25,4.0,54.0,4.0,77.4,23.0,4.4,204.8
3393,32,4.0,37.0,3.7,58.6,34.0,4.6,193.4
3395,28,3.0,50.0,4.6,75.5,21.0,6.2,195.7
3396,23,3.0,38.0,3.6,78.9,14.0,4.2,170.3
3398,26,2.0,70.0,4.6,83.3,59.0,6.8,203.4
3405,28,3.0,44.0,4.1,76.2,15.0,4.7,162.8
3406,27,2.0,48.0,4.4,64.0,22.0,5.8,178.7
3409,27,2.0,54.0,3.6,80.0,44.0,5.9,184.4
3413,24,3.0,72.0,4.2,68.6,14.0,3.2,161.4
3417,30,3.0,38.0,4.4,72.5,51.0,7.4,164.9
3420,24,2.0,28.0,4.7,74.2,45.0,7.2,181.2
3426,25,2.0,59.0,4.9,72.9,56.0,8.0,180.0
3429,24,2.0,23.0,3.6,52.4,83.0,6.6,147.6
3432,29,5.0,65.0,4.1,81.1,30.0,7.4,166.3
3436,25,4.0,29.0,4.1,71.4,28.0,6.7,140.6
3461,22,2.0,45.0,4.1,78.3,67.0,6.1,155.9
3462,22,2.0,54.0,3.8,86.4,53.0,8.3,137.8
3463,22,1.0,69.0,5.6,81.8,31.0,6.9,127.6
3465,29,1.0,38.0,4.3,85.7,14.0,6.1,122.6
3467,24,2.0,48.0,4.7,69.4,27.0,5.1,141.3
3471,24,1.0,38.0,4.0,58.8,80.0,6.3,132.8
3472,22,2.0,41.0,5.6,78.6,26.0,6.9,124.3
3477,32,2.0,27.0,3.8,66.3,35.0,4.7,161.5
3480,28,3.0,63.0,5.1,71.4,23.0,5.2,124.5
3481,22,1.0,39.0,3.6,82.4,52.0,7.2,164.3
3483,24,2.0,44.0,3.8,72.6,41.0,5.7,145.7
3485,30,2.0,62.0,4.2,46.2,40.0,4.5,107.2
3486,26,1.0,39.0,4.3,72.8,37.0,6.1,158.4
3488,24,1.0,16.0,3.1,80.8,34.0,7.0,179.0
3489,24,2.0,41.0,3.8,93.8,21.0,6.8,111.7
3493,22,5.0,39.0,3.4,76.0,78.0,12.2,114.4
3495,22,5.0,36.0,4.2,65.8,36.0,4.8,117.0
3497,23,1.0,38.0,3.6,72.4,23.0,6.0,112.0
3498,30,2.0,33.0,4.2,75.6,32.0,3.7,122.4
3502,27,2.0,24.0,4.5,74.6,25.0,6.2,135.1
3503,23,2.0,42.0,4.9,92.3,20.0,5.2,111.2
3504,27,2.0,48.0,3.7,76.9,12.0,4.2,96.6
3508,29,1.0,36.0,3.5,81.5,39.0,10.6,105.7
3510,25,2.0,13.0,4.8,72.0,40.0,7.8,120.2
3512,23,2.0,8.0,2.5,74.1,68.0,7.6,122.6
3515,29,3.0,34.0,5.1,72.4,26.0,6.1,101.1
3519,24,2.0,52.0,5.6,100.0,5.0,0.8,82.8
3524,22,6.0,27.0,3.5,89.2,18.0,5.2,108.3
3526,29,2.0,26.0,3.9,92.3,27.0,9.9,86.4
3539,25,1.0,22.0,4.1,73.3,11.0,3.5,81.3
3540,29,2.0,24.0,3.8,61.9,19.0,3.8,82.7
3551,30,2.0,29.0,4.1,78.3,40.0,6.7,83.0
3553,24,1.0,37.0,4.1,100.0,25.0,8.6,74.1
3555,23,2.0,68.0,5.2,72.4,30.0,6.0,83.4
3560,26,1.0,63.0,6.4,62.5,32.0,6.2,74.7
3561,26,2.0,37.0,5.0,83.9,19.0,5.6,85.5
3568,25,2.0,42.0,6.2,72.9,23.0,5.0,92.6
3573,24,2.0,2.0,1.5,73.2,39.0,5.7,97.4
3575,26,2.0,20.0,3.4,57.1,12.0,3.9,72.3
3576,29,2.0,16.0,2.6,78.6,32.0,8.1,77.0
3578,26,2.0,14.0,3.2,85.0,22.0,5.8,70.5
3581,25,2.0,14.0,3.3,63.3,63.0,6.0,69.7
3583,28,1.0,30.0,3.5,77.1,26.0,5.0,77.9
3590,30,2.0,12.0,3.6,81.1,55.0,7.3,78.5
3593,25,3.0,31.0,4.0,70.0,16.0,5.5,68.0
3594,28,1.0,11.0,3.1,77.3,80.0,5.4,81.1
3595,25,1.0,60.0,5.7,85.7,14.0,4.1,51.6
3596,34,1.0,16.0,3.8,78.0,26.0,6.3,77.7
3603,23,2.0,16.0,4.1,63.6,30.0,6.3,57.2
3606,22,3.0,46.0,4.5,18.2,10.0,1.3,42.6
3611,25,1.0,40.0,3.8,72.2,42.0,6.9,65.0
3614,28,1.0,53.0,3.9,61.5,31.0,6.8,45.7
3619,22,2.0,24.0,3.8,63.6,20.0,8.2,42.7
3622,23,1.0,11.0,3.7,100.0,11.0,6.3,36.8
3624,22,3.0,15.0,2.8,72.0,16.0,3.5,51.5
3627,23,2.0,35.0,2.9,33.3,7.0,2.3,35.4
3628,29,2.0,23.0,2.7,71.4,10.0,4.6,42.9
3639,25,2.0,31.0,4.1,100.0,20.0,11.6,35.1
3644,25,2.0,3.0,1.7,66.7,49.0,10.6,34.5
3646,26,1.0,6.0,2.5,77.3,44.0,9.7,45.2
3648,25,2.0,45.0,13.4,91.3,39.0,9.3,49.2
3652,26,2.0,22.0,4.0,70.0,15.0,2.3,35.2
3655,27,1.0,47.0,3.9,64.3,31.0,6.9,35.6
3658,22,2.0,9.0,4.7,78.9,31.0,7.2,42.0
3664,25,2.0,45.0,4.5,50.0,11.0,2.7,28.9
3665,25,2.0,23.0,3.9,87.5,25.0,9.5,32.2
3666,26,2.0,19.0,4.6,81.8,15.0,7.6,34.4
3668,23,2.0,17.0,4.3,60.0,15.0,6.2,27.4
3673,23,2.0,19.0,3.7,75.0,23.0,5.1,45.1
3674,26,2.0,20.0,3.9,76.5,19.0,6.5,36.0
3679,23,2.0,13.0,3.3,69.2,18.0,5.6,31.8
3681,26,2.0,16.0,4.3,80.0,15.0,4.3,35.2
3684,27,2.0,19.0,4.6,77.8,59.0,11.8,29.0
3685,24,2.0,15.0,3.5,86.7,17.0,7.5,35.0
3687,28,2.0,4.0,2.3,71.4,52.0,9.6,30.9
3689,24,2.0,18.0,2.9,75.0,16.0,5.4,30.4
3690,24,2.0,17.0,3.7,80.0,8.0,4.2,25.2
3694,22,2.0,12.0,2.8,50.0,-2.0,-1.0,21.4
3696,33,2.0,5.0,3.1,60.0,19.0,5.6,26.4
3700,24,1.0,35.0,5.3,100.0,12.0,8.0,21.8
3708,27,2.0,20.0,3.9,57.9,41.0,6.5,29.4
3709,25,2.0,3.0,1.9,83.3,19.0,7.3,22.7
3712,27,2.0,12.0,2.3,56.3,15.0,4.7,26.4
3717,24,2.0,10.0,2.6,66.7,12.0,8.0,17.6
3720,28,2.0,6.0,2.1,85.7,14.0,6.3,20.8
3724,31,2.0,11.0,4.3,81.8,15.0,7.6,23.8
3727,25,1.0,2.0,1.0,66.7,27.0,6.3,23.8
3730,22,2.0,25.0,5.6,60.0,27.0,3.9,19.5
3733,24,2.0,7.0,3.6,100.0,11.0,5.8,18.6
3734,26,1.0,19.0,4.4,75.0,12.0,1.8,21.6
3735,24,2.0,18.0,2.9,75.0,20.0,5.6,13.2
3740,26,1.0,8.0,3.2,90.0,9.0,4.7,21.6
3741,32,2.0,7.0,2.4,100.0,20.0,20.0,14.0
3760,25,2.0,14.0,2.4,80.0,16.0,6.9,18.7
3765,22,2.0,13.0,1.7,53.8,11.0,2.9,16.6
3769,26,2.0,6.0,1.8,50.0,11.0,4.0,12.3
3773,23,2.0,12.0,2.7,66.7,16.0,5.7,15.9
3776,29,2.0,20.0,3.9,21.1,9.0,1.6,13.0
3780,26,2.0,13.0,2.5,80.0,3.0,-0.4,12.8
3790,25,2.0,7.0,4.0,62.5,27.0,7.1,12.7
3791,28,2.0,6.0,2.2,60.0,8.0,4.6,9.7
3794,24,2.0,12.0,3.5,66.7,7.0,3.7,9.1
3795,25,2.0,2.0,1.0,50.0,23.0,7.0,9.8
3802,27,3.0,11.0,3.1,85.7,7.0,3.9,11.9
3804,24,2.0,16.0,3.4,33.3,4.0,1.3,7.2
3806,25,2.0,7.0,2.3,75.0,20.0,5.6,6.2
3809,30,2.0,9.0,3.5,40.0,8.0,1.9,8.7
3810,24,2.0,15.0,3.4,75.0,20.0,5.6,5.1
3812,23,1.0,8.0,2.3,100.0,9.0,5.5,11.2
3813,25,2.0,5.0,2.9,33.3,10.0,3.3,6.1
3814,24,3.0,20.0,3.9,75.0,20.0,5.6,4.0
3815,23,2.0,20.0,3.9,33.3,37.0,12.3,4.7
3822,25,2.0,19.0,4.0,100.0,20.0,5.6,4.2
3824,25,2.0,20.0,3.9,83.3,12.0,4.3,7.6
3826,23,2.0,16.0,5.5,75.0,20.0,5.6,3.3
3828,27,2.0,20.0,3.9,80.0,18.0,6.8,7.4
3831,28,1.0,5.0,1.7,100.0,8.0,3.7,9.2
3833,22,2.0,13.0,4.3,100.0,-2.0,-2.0,2.5
3835,23,2.0,12.0,2.3,75.0,20.0,5.6,2.1
3839,23,2.0,16.0,4.8,75.0,20.0,5.6,1.9
3840,23,2.0,20.0,3.9,66.7,8.0,2.5,5.5
3843,23,2.0,20.0,3.9,66.7,10.0,5.3,3.6
3844,24,2.0,4.0,1.8,60.0,6.0,1.4,4.8
3845,23,2.0,20.0,3.9,100.0,18.0,18.0,2.8
3846,25,2.0,11.0,5.5,75.0,20.0,5.6,2.2
3847,22,2.0,2.0,2.0,50.0,18.0,9.0,3.0
3855,29,2.0,2.0,2.0,50.0,12.0,6.0,2.4
3863,22,2.0,4.0,2.5,100.0,2.0,2.0,1.7
3866,28,8.0,7.0,3.6,100.0,8.0,5.3,4.4
3868,30,2.0,11.0,11.0,75.0,20.0,5.6,1.1
3869,23,2.0,3.0,2.5,50.0,6.0,3.0,2.1
3875,23,2.0,12.0,6.0,75.0,20.0,5.6,1.2
3879,31,2.0,20.0,3.9,100.0,4.0,4.0,1.4
3884,27,2.0,2.0,2.0,75.0,20.0,5.6,0.2
3892,25,2.0,2.0,0.3,75.0,20.0,5.6,0.1
3893,24,2.0,3.0,1.5,100.0,-6.0,-6.0,0.7
3894,24,1.0,11.0,0.3,66.7,8.0,4.3,1.5
3897,26,1.0,4.0,1.5,75.0,20.0,5.6,-1.7
3899,26,1.0,-8.0,-8.0,75.0,20.0,5.6,-2.8
3900,26,5.0,51.0,4.7,89.1,34.0,6.5,351.1
3901,22,2.0,81.0,4.7,79.0,48.0,8.1,370.5
3902,28,3.0,79.0,4.7,77.1,39.0,7.6,302.3
3904,29,2.0,32.0,3.9,78.5,56.0,6.2,346.6
3905,28,2.0,51.0,4.8,64.4,56.0,5.5,273.5
3906,24,3.0,44.0,4.6,76.4,67.0,7.8,272.6
3911,28,5.0,63.0,5.0,67.8,30.0,4.9,250.4
3915,29,1.0,52.0,5.4,74.6,26.0,4.5,246.9
3920,23,3.0,97.0,5.1,73.1,20.0,5.3,223.4
3923,22,5.0,85.0,5.1,84.4,38.0,6.7,210.9
3924,23,1.0,27.0,4.7,77.3,51.0,7.4,211.3
3929,26,4.0,53.0,4.2,75.7,18.0,4.2,199.4
3930,26,2.0,30.0,4.1,65.4,26.0,6.0,187.9
3933,28,5.0,57.0,3.9,64.2,28.0,6.1,198.2
3934,25,3.0,31.0,4.3,80.6,14.0,4.0,191.9
3945,27,1.0,19.0,3.5,69.8,41.0,5.0,194.2
3946,31,2.0,52.0,4.3,57.9,55.0,5.8,158.7
3949,23,2.0,89.0,4.0,72.9,46.0,5.9,187.9
3959,26,2.0,71.0,4.1,66.7,23.0,4.6,152.4
3964,25,2.0,22.0,3.3,71.9,81.0,6.2,177.5
3966,22,1.0,50.0,3.3,48.6,24.0,3.5,145.1
3971,33,5.0,38.0,3.7,73.3,34.0,5.6,188.6
3973,31,2.0,55.0,3.7,74.1,17.0,5.5,141.5
3976,27,2.0,69.0,4.6,80.6,22.0,5.8,146.0
3995,21,2.0,89.0,4.3,61.5,35.0,5.7,135.3
4000,31,4.0,49.0,5.8,64.5,57.0,6.2,157.6
4001,28,3.0,29.0,4.7,80.9,22.0,6.4,154.5
4002,25,2.0,19.0,4.1,67.5,49.0,5.8,165.8
4003,21,3.0,35.0,4.1,64.3,19.0,6.2,122.4
4010,29,1.0,18.0,3.8,73.2,27.0,5.5,138.5
4011,23,2.0,52.0,3.6,80.0,50.0,6.0,145.3
4014,23,4.0,48.0,3.5,64.0,70.0,5.9,121.0
4018,23,2.0,36.0,3.9,84.6,11.0,4.9,112.7
4031,29,1.0,47.0,4.3,70.6,26.0,4.4,115.4
4032,24,2.0,27.0,3.3,79.4,24.0,6.7,117.8
4033,24,2.0,41.0,4.3,74.2,19.0,4.0,113.6
4037,28,1.0,50.0,4.4,83.3,13.0,4.5,98.1
4045,26,2.0,18.0,5.4,89.4,55.0,10.1,127.3
4046,27,1.0,25.0,3.4,64.3,23.0,3.8,120.6
4047,23,2.0,46.0,3.1,83.3,22.0,6.3,97.1
4049,23,1.0,37.0,4.1,61.8,16.0,4.1,102.3
4050,24,2.0,20.0,3.7,86.5,19.0,6.8,124.8
4053,27,3.0,31.0,4.3,73.3,34.0,7.0,111.1
4054,22,2.0,22.0,3.7,78.3,18.0,5.8,96.2
4055,30,2.0,27.0,4.9,81.8,39.0,6.9,123.0
4065,24,2.0,20.0,4.6,33.3,7.0,2.3,72.9
4070,24,1.0,90.0,5.2,73.9,46.0,6.2,85.7
4074,25,2.0,63.0,3.7,65.0,20.0,3.2,80.8
4075,29,2.0,26.0,3.9,71.4,28.0,4.5,107.0
4076,22,2.0,55.0,4.8,65.9,17.0,3.3,94.3
4077,26,2.0,25.0,3.1,75.0,23.0,5.0,76.1
4082,29,1.0,48.0,6.3,86.7,74.0,14.8,77.6
4088,23,1.0,31.0,4.3,80.0,29.0,11.4,70.6
4090,24,1.0,28.0,4.0,75.0,16.0,4.3,74.1
4094,27,1.0,23.0,3.2,83.3,26.0,7.8,81.2
4095,23,2.0,9.0,2.6,68.0,41.0,6.3,94.7
4096,27,1.0,47.0,4.1,88.9,10.0,5.4,68.1
4099,25,1.0,17.0,4.2,80.0,34.0,9.3,75.6
4102,28,1.0,41.0,3.9,62.1,28.0,4.8,77.3
4103,27,1.0,32.0,4.5,90.0,16.0,6.9,66.9
4106,22,1.0,31.0,3.8,81.1,36.0,6.1,87.3
4107,25,2.0,62.0,4.8,72.7,17.0,5.7,64.5
4115,23,2.0,21.0,3.3,73.3,18.0,5.3,65.7
4117,25,2.0,49.0,4.5,80.8,26.0,6.7,75.4
4119,27,3.0,53.0,3.8,86.4,25.0,5.7,71.5
4122,29,1.0,52.0,4.2,33.3,13.0,4.3,51.5
4123,23,2.0,65.0,6.7,80.0,14.0,4.6,54.6
4124,24,1.0,17.0,3.7,72.5,14.0,4.3,80.0
4128,24,2.0,62.0,5.8,67.6,26.0,5.4,75.4
4130,25,1.0,22.0,3.7,66.7,15.0,5.3,50.8
4132,23,1.0,28.0,3.9,33.3,7.0,2.2,49.9
4133,25,2.0,43.0,3.6,80.0,7.0,4.0,52.0
4134,22,1.0,47.0,5.0,57.1,14.0,3.6,51.7
4137,23,2.0,16.0,3.9,78.3,17.0,6.6,64.5
4140,27,1.0,16.0,2.6,70.7,24.0,5.1,72.4
4141,30,2.0,20.0,3.9,60.0,32.0,6.4,76.0
4144,24,2.0,20.0,2.8,70.4,24.0,7.0,60.5
4148,27,1.0,15.0,3.8,68.4,25.0,6.4,53.9
4152,27,2.0,14.0,2.4,78.6,20.0,5.8,51.3
4153,29,1.0,11.0,4.0,62.7,19.0,4.5,76.0
4154,21,2.0,26.0,8.1,74.2,30.0,5.0,61.9
4157,25,1.0,16.0,3.3,72.2,25.0,5.5,62.8
4158,22,2.0,19.0,3.4,77.8,32.0,6.9,57.9
4161,25,2.0,8.0,3.2,74.5,31.0,5.8,72.8
4172,25,2.0,17.0,4.5,83.3,26.0,10.0,37.5
4173,24,2.0,14.0,3.4,81.8,40.0,9.9,49.6
4177,32,3.0,16.0,4.4,71.0,25.0,5.1,53.6
4184,27,1.0,4.0,1.5,72.0,22.0,7.6,47.8
4185,26,2.0,20.0,3.9,73.1,40.0,8.0,47.8
4186,26,2.0,15.0,4.3,73.3,20.0,6.1,40.3
4187,23,1.0,14.0,3.5,64.0,40.0,7.0,44.2
4188,24,1.0,23.0,3.1,69.2,16.0,4.8,36.4
4194,28,2.0,20.0,3.9,64.3,26.0,7.0,43.7
4198,23,1.0,19.0,4.6,33.3,6.0,1.8,27.7
4204,25,2.0,11.0,3.9,75.0,31.0,10.8,29.9
4205,22,1.0,14.0,4.7,80.0,37.0,10.7,32.2
4206,31,1.0,17.0,3.5,83.3,30.0,7.3,29.3
4210,22,2.0,15.0,4.4,83.3,18.0,9.5,26.5
4213,27,2.0,15.0,4.8,100.0,8.0,8.0,22.6
4218,28,2.0,16.0,4.4,62.5,26.0,5.4,30.2
4219,22,2.0,20.0,3.0,100.0,-4.0,-4.0,21.2
4220,23,2.0,20.0,3.9,70.4,33.0,6.7,39.2
4226,26,2.0,3.0,3.0,85.7,26.0,9.1,24.7
4227,24,1.0,45.0,5.1,50.0,12.0,6.0,19.7
4234,29,1.0,13.0,2.2,68.8,12.0,4.4,27.7
4237,32,2.0,11.0,3.5,100.0,9.0,5.8,20.8
4238,29,2.0,15.0,2.1,70.6,18.0,5.5,29.1
4241,24,2.0,17.0,3.2,33.3,4.0,1.3,17.7
4247,26,2.0,16.0,4.2,81.8,12.0,5.6,24.0
4252,25,2.0,5.0,1.6,66.7,49.0,11.7,23.1
4253,24,2.0,9.0,1.8,100.0,32.0,11.3,20.6
4254,24,2.0,10.0,3.0,70.0,15.0,4.9,20.6
4256,24,2.0,20.0,3.9,72.7,21.0,5.0,21.5
4257,25,2.0,20.0,3.9,83.3,7.0,3.0,18.8
4258,26,2.0,4.0,4.0,71.4,24.0,5.1,23.9
4261,22,2.0,12.0,2.6,83.3,17.0,8.0,18.1
4263,23,2.0,8.0,2.7,63.6,15.0,2.6,20.0
4269,28,2.0,3.0,2.4,83.3,24.0,6.5,16.8
4270,27,2.0,13.0,3.3,66.7,26.0,11.7,13.5
4271,25,2.0,20.0,3.9,64.3,16.0,4.4,21.2
4272,25,2.0,20.0,3.2,66.7,5.0,2.7,13.9
4281,33,2.0,11.0,3.2,62.5,24.0,5.5,15.7
4286,28,2.0,9.0,3.6,75.0,20.0,5.6,11.0
4287,21,2.0,9.0,2.5,62.5,16.0,3.9,15.9
4290,31,2.0,5.0,1.8,100.0,12.0,5.6,14.7
4291,25,2.0,8.0,2.8,100.0,13.0,7.5,11.7
4296,24,2.0,7.0,4.0,85.7,9.0,3.9,15.9
4297,24,2.0,20.0,3.9,100.0,15.0,14.5,10.9
4298,28,2.0,21.0,6.8,75.0,20.0,5.6,8.7
4300,25,2.0,6.0,3.9,75.0,20.0,5.6,9.1
4303,29,2.0,17.0,3.6,66.7,9.0,6.0,11.3
4305,29,2.0,4.0,2.8,62.5,4.0,1.1,13.6
4307,26,2.0,12.0,4.0,50.0,11.0,5.5,8.5
4313,28,2.0,20.0,3.9,87.5,26.0,10.1,15.1
4320,28,1.0,4.0,1.3,90.0,14.0,2.7,16.1
4322,28,1.0,21.0,2.9,60.0,17.0,5.4,10.0
4325,24,2.0,16.0,3.8,75.0,20.0,5.6,7.3
4326,29,2.0,13.0,2.5,83.3,14.0,5.7,12.2
4337,22,2.0,11.0,4.2,100.0,11.0,4.6,11.1
4349,23,2.0,9.0,4.3,75.0,11.0,4.5,7.8
4351,26,2.0,17.0,8.3,66.7,9.0,3.0,6.2
4356,25,2.0,20.0,3.9,66.7,18.0,4.6,10.1
4362,24,2.0,12.0,2.0,50.0,15.0,4.5,6.9
4364,24,2.0,3.0,3.0,100.0,16.0,15.0,5.3
4366,23,2.0,9.0,1.9,100.0,-5.0,-5.0,4.2
4368,27,2.0,12.0,2.7,75.0,5.0,2.8,6.0
4371,23,2.0,2.0,1.0,33.3,12.0,1.7,4.7
4375,27,2.0,6.0,1.9,75.0,20.0,5.6,1.9
4377,23,2.0,4.0,1.8,75.0,20.0,5.6,1.6
4381,30,2.0,20.0,3.9,100.0,15.0,15.0,2.5
4384,22,2.0,20.0,3.9,25.0,24.0,6.0,3.4
4386,25,2.0,16.0,3.7,75.0,20.0,5.6,2.2
4390,22,2.0,20.0,3.9,100.0,6.0,5.5,3.1
4396,26,2.0,4.0,1.9,75.0,20.0,5.6,1.3
4397,25,2.0,5.0,1.8,75.0,20.0,5.6,0.9
4405,30,2.0,2.0,2.0,50.0,4.0,2.0,1.6
4408,23,2.0,2.0,2.0,75.0,20.0,5.6,0.2
4411,30,2.0,20.0,3.9,100.0,1.0,1.0,1.1
4416,29,2.0,20.0,3.9,75.0,20.0,5.6,43.349999999999994
4417,23,2.0,20.0,3.9,100.0,-1.0,-1.0,0.9
4424,25,1.0,20.0,3.9,75.0,20.0,5.6,-2.0
4426,27,4.0,46.0,5.0,67.3,71.0,6.7,378.0
4427,25,1.0,57.0,5.1,81.3,70.0,8.4,330.6
4429,28,2.0,55.0,4.6,77.9,34.0,6.3,337.3
4431,27,4.0,43.0,4.2,81.8,55.0,7.2,275.3
4432,26,1.0,31.0,4.3,81.1,35.0,7.4,296.6
4440,23,1.0,60.0,4.1,79.5,34.0,5.8,242.5
4442,25,3.0,43.0,5.2,80.3,22.0,5.3,258.1
4443,28,5.0,78.0,4.5,72.5,22.0,4.3,232.7
4446,28,3.0,30.0,3.9,80.8,66.0,6.6,240.2
4449,32,3.0,59.0,4.3,72.3,37.0,6.0,234.7
4451,28,5.0,39.0,4.5,67.5,77.0,6.3,239.2
4452,26,2.0,51.0,4.4,78.8,17.0,5.7,210.4
4455,30,3.0,51.0,4.1,59.3,29.0,5.2,190.9
4456,21,1.0,43.0,3.5,68.2,43.0,6.0,216.9
4459,25,5.0,45.0,4.6,75.0,17.0,6.5,178.3
4462,22,1.0,35.0,4.1,78.9,41.0,7.2,222.9
4466,27,4.0,20.0,3.9,76.8,37.0,7.9,216.7
4469,22,1.0,40.0,3.9,74.3,25.0,4.0,183.4
4476,28,2.0,14.0,4.0,86.4,39.0,6.9,223.4
4481,28,1.0,48.0,3.4,71.7,17.0,5.2,187.0
4486,28,2.0,80.0,4.5,75.0,24.0,6.1,174.5
4488,30,3.0,43.0,4.2,72.2,72.0,9.3,163.6
4490,29,2.0,18.0,3.7,91.7,29.0,6.1,211.2
4501,24,1.0,80.0,5.5,68.4,38.0,6.5,165.3
4522,26,4.0,28.0,3.2,85.7,24.0,6.4,144.1
4523,26,2.0,51.0,5.3,77.1,33.0,6.1,150.1
4524,26,4.0,77.0,4.6,80.5,27.0,4.5,154.8
4526,26,2.0,47.0,3.1,80.6,22.0,4.5,178.1
4527,27,3.0,47.0,5.0,40.0,32.0,7.6,121.0
4529,24,4.0,29.0,4.3,83.3,24.0,5.2,127.5
4531,28,2.0,25.0,3.4,50.0,10.0,2.8,119.8
4534,30,2.0,50.0,3.5,67.3,25.0,3.9,148.4
4538,25,5.0,60.0,4.3,69.4,10.0,2.9,145.1
4539,23,2.0,22.0,3.0,67.3,24.0,6.1,144.9
4547,25,1.0,39.0,4.0,63.2,36.0,4.8,140.1
4548,25,2.0,69.0,4.6,28.6,12.0,1.4,104.3
4549,30,2.0,38.0,4.2,79.8,48.0,6.8,173.4
4556,22,1.0,49.0,4.0,74.3,22.0,4.9,123.9
4558,28,2.0,22.0,3.6,81.8,18.0,5.6,123.5
4561,26,1.0,80.0,3.8,78.9,15.0,2.4,110.2
4572,23,1.0,19.0,3.5,82.5,22.0,5.4,141.3
4573,23,3.0,45.0,4.7,74.1,31.0,5.4,108.4
4574,24,1.0,21.0,4.7,68.1,50.0,6.2,134.5
4575,27,2.0,23.0,4.5,62.9,41.0,5.2,108.5
4580,27,2.0,20.0,3.9,55.1,42.0,6.1,131.5
4582,26,2.0,55.0,3.7,88.2,16.0,3.7,97.9
4583,27,1.0,41.0,5.5,76.9,23.0,6.8,92.2
4584,26,1.0,30.0,3.3,68.0,16.0,4.3,98.3
4585,28,2.0,63.0,4.7,59.3,45.0,6.1,111.8
4590,25,2.0,24.0,4.4,73.8,28.0,6.0,107.5
4597,27,3.0,23.0,3.5,69.0,14.0,3.6,93.5
4607,27,2.0,43.0,4.9,64.9,17.0,4.6,114.3
4608,22,2.0,28.0,2.9,80.0,15.0,4.2,86.0
4617,30,2.0,17.0,3.7,85.3,34.0,6.4,91.0
4619,23,2.0,46.0,4.9,72.4,18.0,5.2,81.3
4620,22,3.0,20.0,3.5,73.3,17.0,5.0,70.7
4624,25,1.0,45.0,4.6,50.0,9.0,3.3,61.1
4631,28,2.0,29.0,3.8,75.0,28.0,4.9,63.4
