Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
88,Kellen Mond,MIN,22,qb,1,0,2,3,5,0,0,-4,-2,-1.3,9,4.5
89,John Wolford,LAR,26,qb,3,0,1,4,5,19,4.8,-2,-2,-0.5,7,7
90,Ezekiel Elliott,DAL,26,RB,17,17,1,1,4,-4,-4,-4,-4,-4,8,8
91,Marcus Mariota,LVR,28,qb,10,0,1,2,4,31,15.5,-4,-4,-2,8,8
92,Johnny Hekker,LAR,31,p,17,0,1,1,2,-4,-4,-4,-4,-4,6,6
93,Greg Ward,PHI,26,wr,17,0,1,2,2,2,1,-1,-1,-0.5,3,3
94,Kendall Hinton,DEN,24,wr,16,1,1,1,1,-5,-5,-5,-5,-5,6,6
95,Keenan Allen,LAC,29,WR,16,16,0,1,0,14,14,0,,0,0,
96,Danny Amendola,HOU,36,wr,8,0,0,1,0,14,14,0,,0,0,
97,Cole Beasley,BUF,32,WR,16,8,0,1,0,19,19,0,,0,0,
98,Chris Boswell,PIT,30,k,17,0,0,1,0,10,10,0,,0,0,
99,A.J. Brown,TEN,24,WR,13,13,0,2,0,42,21,0,,0,0,
100,Rex Burkhead,HOU,31,rb,16,5,0,1,0,7,7,0,,0,0,
101,Keelan Cole,NYJ,28,WR,15,11,0,1,0,8,8,0,,0,0,
102,Riley Dixon,NYG,28,p,17,0,0,1,0,13,13,0,,0,0,
103,Leonard Fournette,TAM,26,RB,14,13,0,1,0,0,0,0,,0,0,
104,Feleipe Franks,ATL,24,qb,9,0,0,1,0,2,2,0,,0,0,
105,Mike Gesicki,MIA,26,TE,17,9,0,1,0,28,28,0,,0,0,
106,Blake Gillikin,NOR,23,p,17,0,0,1,0,9,9,0,,0,0,
107,Sam Koch,BAL,39,p,17,0,0,1,0,10,10,0,,0,0,
108,Cooper Kupp,LAR,28,WR,17,17,0,1,0,25,25,0,,0,0,
109,Ty Long,LAC,28,p,17,0,0,1,0,10,10,0,,0,0,
110,David Montgomery,CHI,24,RB,13,13,0,1,0,9,9,0,,0,0,
111,Cordarrelle Patterson,ATL,30,RB,16,13,0,1,0,18,18,0,,0,0,
112,Brett Rypien,DEN,25,qb,1,0,0,2,0,11,5.5,0,,0,0,
113,D'Andre Swift,DET,22,rb,13,4,0,1,0,-12,-12,0,,0,0,
114,Albert Wilson,MIA,29,wr,14,5,0,1,0,5,5,0,,0,0,
115,Brandon Zylstra,CAR,28,wr,13,3,0,1,0,13,13,0,,0,0,
