,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
7,6.416666666666667,256.0,4.67,31.0,17.0,113.0,7.34,4.38,2018.0,301.1
14,6.416666666666667,255.0,4.63,33.5,22.0,116.0,7.08,4.37,2013.0,262.8
34,6.416666666666667,244.0,4.75,32.0,15.0,120.0,7.0,4.4,2018.0,208.8
36,6.333333333333333,247.0,4.52,35.0,18.0,132.0,7.08,4.37,2017.0,198.0
47,6.5,264.0,4.68,33.5,23.0,116.0,7.08,4.37,2010.0,171.2
49,6.333333333333333,254.0,4.72,34.5,16.0,116.0,7.12,4.27,2019.0,164.1
52,6.416666666666667,250.0,4.79,33.5,13.0,116.0,7.08,4.37,2016.0,164.3
56,6.416666666666667,256.0,4.72,33.5,23.0,116.0,7.08,4.37,2018.0,165.0
58,6.416666666666667,245.0,4.44,33.5,22.0,129.0,7.12,4.3,2021.0,176.6
61,6.416666666666667,249.0,4.76,30.5,24.0,111.0,7.08,4.47,2013.0,180.7
73,6.416666666666667,247.0,4.54,41.5,22.0,129.0,6.76,4.1,2018.0,165.0
132,6.416666666666667,251.0,4.72,33.5,26.0,116.0,7.08,4.37,2021.0,151.7
136,6.333333333333333,249.0,4.5,39.5,20.0,127.0,6.81,4.22,2019.0,159.0
144,6.5,249.0,4.77,33.5,22.0,116.0,7.08,4.37,2016.0,147.0
152,6.416666666666667,246.0,4.49,41.0,23.0,123.0,7.08,4.37,2009.0,132.4
154,6.416666666666667,251.0,4.7,37.5,17.0,123.0,7.02,4.18,2019.0,145.3
166,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,128.3
167,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,133.5
169,6.25,254.0,4.8,38.0,18.0,120.0,7.13,4.23,2018.0,138.3
178,6.333333333333333,246.0,4.64,37.5,21.0,133.0,6.97,4.34,2017.0,107.6
180,6.25,239.0,4.62,37.5,22.0,126.0,6.99,4.33,2017.0,117.8
194,6.5,262.0,4.7,37.0,22.0,123.0,7.44,4.41,2020.0,121.2
204,6.25,234.0,4.42,36.0,19.0,125.0,6.92,4.23,2017.0,102.5
207,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,79.6
211,6.333333333333333,254.0,4.72,33.0,19.0,117.0,7.0,4.32,2016.0,92.5
214,6.333333333333333,253.0,4.66,36.5,22.0,121.0,7.16,4.11,2019.0,85.3
225,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,79.2
227,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,78.5
240,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,79.1
248,6.416666666666667,258.0,4.49,33.5,22.0,116.0,7.08,4.37,2020.0,76.0
255,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,75.8
256,6.416666666666667,243.0,4.73,32.5,13.0,110.0,7.41,4.37,2020.0,62.3
261,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,52.9
266,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,59.0
267,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,69.1
268,6.25,248.0,4.62,38.0,22.0,127.0,7.08,4.18,2017.0,67.4
269,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,70.0
271,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,65.1
273,6.333333333333333,250.0,4.67,31.5,22.0,120.0,7.19,4.37,2018.0,64.1
274,6.166666666666667,242.0,4.72,35.5,25.0,115.0,7.15,4.35,2020.0,61.5
276,6.5,260.0,4.53,38.5,22.0,120.0,6.9,4.45,2010.0,50.7
282,6.166666666666667,247.0,4.64,31.0,17.0,116.0,7.08,4.37,2021.0,55.8
283,6.416666666666667,253.0,4.81,31.0,18.0,110.0,7.17,4.23,2018.0,70.0
284,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,53.6
285,6.416666666666667,255.0,4.8,34.5,18.0,114.0,6.78,4.27,2020.0,63.3
289,6.166666666666667,251.0,4.58,38.0,17.0,118.0,7.25,4.37,2015.0,48.5
295,6.5,259.0,4.83,33.5,22.0,116.0,7.08,4.37,2011.0,59.7
300,6.25,241.0,4.6,36.5,20.0,122.0,7.08,4.37,2021.0,53.1
304,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,50.4
305,6.416666666666667,250.0,4.84,31.5,19.0,120.0,6.85,4.35,2021.0,50.9
309,6.333333333333333,262.0,4.87,28.0,15.0,111.0,7.07,4.4,2018.0,50.1
321,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,50.4
324,6.333333333333333,249.0,4.78,34.5,17.0,117.0,7.3,4.37,2015.0,41.3
330,6.333333333333333,257.0,4.62,31.5,26.0,118.0,7.27,4.25,2021.0,35.7
331,6.166666666666667,230.0,4.59,38.0,16.0,119.0,7.08,4.37,2016.0,38.5
333,6.416666666666667,246.0,4.75,33.5,17.0,116.0,7.08,4.37,2015.0,39.3
341,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,32.6
344,6.333333333333333,250.0,4.6,32.0,24.0,120.0,7.08,4.37,2014.0,32.5
345,6.5,261.0,4.8,37.0,23.0,118.0,7.24,4.82,2006.0,44.4
348,6.5,251.0,4.51,30.0,22.0,121.0,6.85,4.16,2017.0,33.5
353,6.333333333333333,259.0,4.74,36.0,22.0,123.0,7.15,4.2,2018.0,36.8
354,6.5,257.0,4.76,30.5,17.0,111.0,7.05,4.2,2016.0,28.3
356,6.25,249.0,4.72,33.5,22.0,116.0,7.08,4.37,2018.0,41.7
363,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,21.7
364,6.666666666666667,265.0,4.9,29.5,12.0,110.0,7.4,4.53,2019.0,35.7
375,6.5,255.0,4.72,34.0,24.0,116.0,7.08,4.37,2017.0,38.1
384,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,16.1
389,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,19.1
394,6.5,266.0,4.94,29.0,25.0,108.0,7.13,4.28,2011.0,21.5
397,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,20.5
399,6.583333333333333,261.0,4.83,37.5,26.0,121.0,7.53,4.5,2015.0,19.2
402,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,15.7
404,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,15.1
407,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,21.6
