,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
235,5.833333333333333,201.0,4.48,39.5,17.0,130.0,7.07,4.31,2019.0,61.8
237,5.75,214.0,4.49,35.5,19.0,121.0,6.93,4.28,2017.0,73.6
238,5.5,195.0,4.59,30.0,19.0,117.0,7.03,4.35,2021.0,55.9
242,5.916666666666667,222.0,4.45,35.5,16.0,121.0,7.37,4.25,2014.0,60.7
243,5.916666666666667,210.0,4.54,34.5,15.0,120.0,7.0,4.24,2018.0,51.5
244,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,73.8
252,6.0,218.0,4.58,37.0,23.0,130.0,7.0,4.24,2017.0,48.1
257,5.916666666666667,206.0,4.4,34.5,22.0,120.0,7.0,4.24,2015.0,51.5
258,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,45.4
260,5.833333333333333,228.0,4.64,32.5,20.0,111.0,7.0,4.21,2016.0,49.9
264,5.833333333333333,217.0,4.58,33.5,19.0,119.0,7.18,4.32,2020.0,60.1
278,5.916666666666667,213.0,4.65,35.0,14.0,120.0,6.99,4.34,2017.0,50.1
279,5.666666666666667,202.0,4.53,33.5,19.0,122.0,6.91,4.12,2013.0,59.1
280,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,42.7
286,5.916666666666667,211.0,4.5,40.5,20.0,127.0,6.83,4.12,2021.0,49.8
293,6.0,230.0,4.62,34.5,19.0,114.0,7.0,4.24,2014.0,45.8
297,6.083333333333333,230.0,4.6,31.5,24.0,118.0,6.75,4.24,2013.0,38.1
298,5.666666666666667,189.0,4.55,34.5,19.0,120.0,7.0,4.24,2021.0,50.5
302,5.833333333333333,214.0,4.51,32.0,19.0,117.0,7.0,4.24,2020.0,36.6
303,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,41.9
313,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,35.2
315,5.916666666666667,197.0,4.62,34.5,19.0,120.0,7.0,4.24,2020.0,38.6
318,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,49.5
320,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,35.9
322,5.916666666666667,229.0,4.54,34.0,17.0,118.0,6.9,4.16,2018.0,34.6
323,6.0,215.0,4.57,37.0,19.0,125.0,6.83,4.28,2021.0,28.3
332,5.833333333333333,220.0,4.68,28.5,19.0,115.0,7.0,4.24,2017.0,28.9
334,5.75,209.0,4.41,40.5,32.0,132.0,6.83,4.12,2014.0,35.9
335,6.083333333333333,217.0,4.4,38.5,19.0,127.0,7.09,4.4,2007.0,26.6
339,5.75,207.0,4.57,39.0,12.0,122.0,6.97,4.25,2020.0,28.0
342,5.833333333333333,206.0,4.57,31.0,13.0,115.0,7.38,4.38,2021.0,25.7
347,5.916666666666667,224.0,4.62,34.5,19.0,117.0,6.86,4.15,2015.0,22.5
349,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,26.8
352,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,23.0
355,5.75,204.0,4.57,32.0,23.0,114.0,7.05,4.2,2014.0,31.2
365,5.833333333333333,220.0,4.68,32.5,13.0,119.0,7.18,4.21,2020.0,22.1
366,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,19.0
367,5.916666666666667,220.0,4.56,34.5,16.0,120.0,7.0,4.24,2016.0,20.7
369,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,32.9
373,6.083333333333333,228.0,4.58,29.5,19.0,114.0,7.53,4.31,2019.0,19.7
376,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,24.6
379,5.916666666666667,215.0,4.62,30.0,19.0,120.0,6.96,4.24,2021.0,15.6
381,5.416666666666667,185.0,4.61,34.5,19.0,118.0,7.0,4.15,2020.0,18.5
382,6.083333333333333,217.0,4.57,34.0,15.0,123.0,7.0,4.34,2020.0,17.2
388,6.0,215.0,4.6,29.5,21.0,120.0,7.17,4.28,2017.0,13.5
392,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,20.7
396,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,14.7
400,5.916666666666667,212.0,4.49,31.0,23.0,121.0,6.95,4.28,2020.0,17.0
409,5.916666666666667,213.0,4.5,35.5,15.0,125.0,7.0,4.24,2017.0,12.9
410,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,23.2
