,Model Name,Position,Mean Square Error,R2 Score
5,RandomForestRegressor,QB,6045.220473572166,0.5885321784297628
3,BayesianRidge,QB,6132.763707045401,0.5825735498358314
4,ElasticNet,QB,7333.043602772342,0.5008765205664456
6,KNeighborsRegressor,QB,7340.429040963854,0.5003738308502825
7,MLPRegressor,QB,8218.698393100107,0.4405944433729776
2,Lasso,QB,8316.723220782951,0.43392238525983096
1,Ridge,QB,8954.462937094566,0.3905146430696603
0,LinearRegression,QB,9366.47042957246,0.3624713605886295
13,RandomForestRegressor,RB,3789.1798634525453,0.4214648328569146
12,ElasticNet,RB,4106.494542155447,0.37301696094379067
10,Lasso,RB,4115.743335739543,0.3716048473638426
11,BayesianRidge,RB,4149.1437978425765,0.3665052367299393
9,Ridge,RB,4192.583848398882,0.3598727732906353
8,LinearRegression,RB,4194.72503971273,0.35954585440072173
15,MLPRegressor,RB,4287.213144407727,0.3454246928204654
14,KNeighborsRegressor,RB,4698.581857142856,0.2826165719193884
26,Lasso,TE,1845.8680085613341,0.5010682930226054
28,ElasticNet,TE,1849.0876232672838,0.500198042358095
25,Ridge,TE,1859.4400273845474,0.49739982350734846
24,LinearRegression,TE,1862.4108643061722,0.49659681661325694
29,RandomForestRegressor,TE,1883.4824153027037,0.4909012496178927
27,BayesianRidge,TE,1894.5645844025162,0.4879057778288285
30,KNeighborsRegressor,TE,1947.1648644067795,0.4736881049679881
31,MLPRegressor,TE,2198.5180330947455,0.40574821710709674
19,BayesianRidge,WR,4021.74897489015,0.43882948124105603
20,ElasticNet,WR,4039.695910609391,0.4363252744169652
18,Lasso,WR,4055.5706515175984,0.43411020911919485
17,Ridge,WR,4108.511012541155,0.4267232314524233
16,LinearRegression,WR,4109.499259317252,0.4265853374765769
23,MLPRegressor,WR,4112.3191060728395,0.4261918731215081
21,RandomForestRegressor,WR,4162.91921259665,0.419131440408151
22,KNeighborsRegressor,WR,4600.274579735682,0.35810551865327
