,Model Name,Position,Mean Square Error,R2 Score
24,MLPRegressor,QB,5081.628833350038,0.5784756913683524
20,KNeighborsRegressor,QB,5326.373394736843,0.5581739760299818
16,RandomForestRegressor,QB,5633.507491171164,0.5326970095095178
12,BayesianRidge,QB,6067.584165181298,0.49669007631825157
8,Lasso,QB,6943.910363851651,0.4239982668326697
4,Ridge,QB,9730.893471410363,0.19281626474077385
0,LinearRegression,QB,47838.38823289306,-2.968224399543344
17,RandomForestRegressor,RB,2180.873358989853,0.4561001606250392
25,MLPRegressor,RB,2375.4093520521737,0.4075837738559085
21,KNeighborsRegressor,RB,2578.071048699764,0.3570408737834636
5,Ridge,RB,2599.439661346698,0.35171163953956586
1,LinearRegression,RB,2599.567656457837,0.3516797181443585
9,Lasso,RB,2620.054138087998,0.3465704833407549
13,BayesianRidge,RB,2634.4803201794416,0.34297265951940104
19,RandomForestRegressor,TE,1509.6275689755366,0.4571326382190145
23,KNeighborsRegressor,TE,1646.5321697416973,0.4079012642291765
3,LinearRegression,TE,1728.793504791308,0.3783197999973932
7,Ridge,TE,1734.4093916208503,0.37630030742196074
15,BayesianRidge,TE,1757.0446348599332,0.3681605946656479
11,Lasso,TE,1764.7452106462617,0.36539144063903206
27,MLPRegressor,TE,1802.7905233896342,0.3517102129100347
18,RandomForestRegressor,WR,2456.7341906974752,0.4785959630014046
26,MLPRegressor,WR,2915.6671067033003,0.38119451191115084
22,KNeighborsRegressor,WR,3204.5967758203797,0.3198736346030755
10,Lasso,WR,3402.245266303087,0.27792578316901195
14,BayesianRidge,WR,3412.1586534284515,0.2758218192615338
6,Ridge,WR,3428.6322808199075,0.27232554528185793
2,LinearRegression,WR,3430.064368686735,0.27202160666370045
