,Model Name,Position,Mean Square Error,R2 Score
20,RandomForestRegressor,QB,6028.516222391978,0.5896691529824896
12,BayesianRidge,QB,6132.763707045399,0.5825735498358315
16,ElasticNet,QB,7333.043602772347,0.5008765205664452
24,KNeighborsRegressor,QB,7340.282944578313,0.5003837748981069
8,Lasso,QB,8316.723220782933,0.43392238525983207
28,MLPRegressor,QB,8679.440878443529,0.4092340144890514
4,Ridge,QB,8954.462937094664,0.39051464306965367
0,LinearRegression,QB,9366.4704295727,0.3624713605886132
21,RandomForestRegressor,RB,3947.493470316065,0.3972933782655883
17,ElasticNet,RB,4106.494542155445,0.373016960943791
9,Lasso,RB,4115.743335739542,0.3716048473638427
13,BayesianRidge,RB,4149.143797842577,0.36650523672993907
5,Ridge,RB,4192.583848398887,0.3598727732906345
1,LinearRegression,RB,4194.725039712731,0.3595458544007215
29,MLPRegressor,RB,4670.963254262778,0.2868334034262796
25,KNeighborsRegressor,RB,4749.422550000001,0.2748541721918182
11,Lasso,TE,1845.8680085613355,0.5010682930226049
19,ElasticNet,TE,1849.087623267283,0.500198042358095
7,Ridge,TE,1859.440027384547,0.49739982350734857
3,LinearRegression,TE,1862.4108643061732,0.4965968166132566
27,KNeighborsRegressor,TE,1889.015098305085,0.489405784632455
15,BayesianRidge,TE,1894.5645844025155,0.4879057778288286
23,RandomForestRegressor,TE,1915.1609621710702,0.4823386485054132
31,MLPRegressor,TE,2269.379339976132,0.38659465215174815
14,BayesianRidge,WR,4021.7489748901467,0.4388294812410565
18,ElasticNet,WR,4039.695910609392,0.4363252744169651
10,Lasso,WR,4055.5706515175984,0.43411020911919485
6,Ridge,WR,4108.511012541158,0.42672323145242286
2,LinearRegression,WR,4109.499259317253,0.4265853374765767
30,MLPRegressor,WR,4145.2442315813105,0.4215977003182946
22,RandomForestRegressor,WR,4218.8183466322125,0.4113316134570496
26,KNeighborsRegressor,WR,4676.835975330397,0.34742260473918907
