#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
154,13.02,Travis Kelce,TE,KC,146.2,21.9,1.09,15.12,157
155,13.04,Ryan Tannehill,QB,MIA,147.6,10.3,11.09,15.08,65
156,13.05,Dexter McCluster,RB,TEN,148.8,19.4,10.03,15.12,61
157,13.07,Steven Hauschka,PK,SEA,150.9,11.8,7.08,14.05,70
158,13.07,Christine Michael,RB,SEA,151.3,15.1,9.06,15.11,93
159,13.07,Knile Davis,RB,KC,151.4,14.5,9.06,15.12,91
160,13.08,Aaron Dobson,WR,NE,151.7,21.6,6.02,15.12,86
161,13.08,Cody Latimer,WR,DEN,151.8,13.4,10.07,15.11,77
162,13.09,Josh McCown,QB,TB,153.4,13.3,10.04,15.1,52
163,13.1,Houston Defense,DEF,HOU,154,11.2,12.03,15.11,100
164,13.1,Antonio Gates,TE,LAC,154.1,19.7,9.08,15.12,82
165,13.11,Tim Wright,TE,NE,154.7,17.4,7.11,15.12,107
166,13.11,Benny Cunningham,RB,LAR,154.9,14.4,11.12,15.12,42
167,13.11,James White,RB,NE,154.9,15.5,10.06,15.1,51
168,13.12,Eric Ebron,TE,DET,156,15.2,10.06,15.1,42
169,13.12,Justin Tucker,PK,BAL,156,8.3,10.09,14.1,54
170,14.01,James Starks,RB,GB,157.2,20.5,7.06,15.11,30
171,14.02,Ronnie Hillman,RB,DEN,157.5,15.3,10.08,15.12,72
172,14.02,James Jones,WR,LV,158.4,12.8,10.04,15.12,70
173,14.03,Kenbrell Thompkins,WR,NE,158.6,12.8,11.04,15.12,47
174,14.04,Doug Baldwin,WR,SEA,160.5,16.4,8.06,15.12,55
175,14.05,Mason Crosby,PK,GB,160.8,5.7,12.05,15.09,56
176,14.05,Dan Bailey,PK,DAL,160.9,9.2,10.1,15.11,53
177,14.05,New Orleans Defense,DEF,NO,161,11.1,11.09,15.12,102
178,14.06,Miles Austin,WR,CLE,161.5,14,11.11,15.12,38
179,14.06,Joe Flacco,QB,BAL,161.5,11.2,12.01,15.12,44
180,14.09,NY Jets Defense,DEF,NYJ,164.6,13.8,9.07,15.12,37
181,14.09,Cleveland Defense,DEF,CLE,164.7,10.9,11.06,15.12,90
182,14.09,Phil Dawson,PK,SF,164.8,6.8,13.05,15.1,40
183,14.11,Tampa Bay Defense,DEF,TB,166.6,8.6,13.01,15.12,95
184,14.12,Matt Bryant,PK,ATL,167.9,5.2,14.02,15.12,55
185,15.01,Adam Vinatieri,PK,IND,168.7,5.7,13.12,15.12,58
186,15.02,Blair Walsh,PK,MIN,169.9,6.1,13.05,15.12,53
187,15.02,Matt Prater,PK,DEN,170.4,6.3,14.02,15.12,30
188,15.04,Robbie Gould,PK,CHI,171.6,5.1,14.01,15.12,50
189,15.04,Shayne Graham,PK,NO,172.3,4.4,14.06,15.12,37
190,15.05,Nate Freese,PK,DET,173,4.5,14.1,15.12,35
191,15.06,Greg Zuerlein,PK,LAR,173.6,4.9,14.07,15.12,36
192,15.06,Nick Novak,PK,LAC,173.9,4.6,14.1,15.12,30
