#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,David Johnson,RB,ARI,1.3,0.6,1.01,1.04,310
2,1.02,LeVeon Bell,RB,PIT,2.3,0.8,1.01,1.06,303
3,1.04,Antonio Brown,WR,PIT,3.7,1,1.01,1.07,338
4,1.06,Julio Jones,WR,ATL,5.7,3.2,1.01,2.03,131
5,1.06,Ezekiel Elliott,RB,DAL,6.2,2.8,1.01,2.05,180
6,1.06,Odell Beckham Jr,WR,NYG,6.4,1.6,1.02,1.12,310
7,1.07,Devonta Freeman,RB,ATL,7,1.9,1.03,1.11,189
8,1.08,LeSean McCoy,RB,BUF,7.8,2,1.02,2.03,257
9,1.08,Mike Evans,WR,TB,7.9,2.2,1.03,2.03,305
10,1.1,A.J. Green,WR,CIN,10,2.2,1.05,2.08,287
11,1.1,Melvin Gordon,RB,LAC,10.1,2.6,1.01,2.06,318
12,1.11,Jordy Nelson,WR,GB,11.4,2.4,1.02,2.08,295
13,2.01,Michael Thomas,WR,NO,13.3,2.2,1.05,2.08,269
14,2.02,Jay Ajayi,RB,PHI,13.8,2.6,1.05,2.08,282
15,2.03,DeMarco Murray,RB,TEN,15.2,2.4,1.07,2.1,239
16,2.05,Jordan Howard,RB,CHI,16.8,2.7,1.05,2.12,224
17,2.05,Brandin Cooks,WR,NE,17.1,3.2,1.02,3.01,237
18,2.06,Rob Gronkowski,TE,NE,18.1,3.3,1.06,3.05,198
19,2.07,Kareem Hunt,RB,KC,18.7,3,1.11,3.03,275
20,2.07,Todd Gurley,RB,LAR,19.4,2.9,1.08,3.03,263
21,2.08,Dez Bryant,WR,DAL,20.5,3.3,1.11,3.06,270
22,2.09,Amari Cooper,WR,LV,21.3,3.2,1.12,3.08,287
23,2.1,Doug Baldwin,WR,SEA,22.4,3.1,2.01,3.08,295
24,2.11,Christian McCaffrey,RB,CAR,22.9,3.7,2.02,3.08,272
25,2.11,Aaron Rodgers,QB,GB,23.4,6.1,1.03,4.04,200
26,3.02,Keenan Allen,WR,LAC,25.8,3.3,2.03,3.12,272
27,3.03,Leonard Fournette,RB,JAX,27,4,1.05,4.05,211
28,3.03,Dalvin Cook,RB,MIN,27.5,3.9,1.12,3.12,263
29,3.05,T.Y. Hilton,WR,IND,28.8,3.6,2.07,4.07,205
30,3.06,Tom Brady,QB,NE,29.6,5.8,1.06,4.07,193
31,3.06,Isaiah Crowell,RB,CLE,29.8,3.8,2.06,4.03,243
32,3.06,Terrelle Pryor,WR,WAS,30.2,4.5,2.02,4.05,210
33,3.08,DeAndre Hopkins,WR,HOU,31.7,4.5,2.02,4.11,258
34,3.09,Ty Montgomery,RB,GB,32.6,4.9,1.03,4.09,290
35,3.1,Demaryius Thomas,WR,DEN,34.5,4,2.11,4.09,264
36,3.11,Carlos Hyde,RB,SF,35.2,4.5,2.06,4.11,313
37,3.11,Lamar Miller,RB,HOU,35.2,4.7,2.08,4.11,238
38,3.12,Marshawn Lynch,RB,LV,36.4,6,2.05,5.03,228
39,4.03,Kelvin Benjamin,WR,BUF,38.6,5,2.1,5.03,251
40,4.03,Travis Kelce,TE,KC,38.9,5.3,3.01,5.11,209
41,4.03,Alshon Jeffery,WR,PHI,39.1,4.1,2.12,5.02,234
42,4.05,Martavis Bryant,WR,PIT,40.9,5.1,3.01,5.08,268
43,4.06,Drew Brees,QB,NO,41.7,8.7,1.02,5.11,170
44,4.06,Joe Mixon,RB,CIN,42.5,4.9,3.04,6.05,239
