#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.02,Adrian Peterson,RB,MIN,1.8,1,1.01,1.05,329
2,1.03,Antonio Brown,WR,PIT,2.5,1.4,1.01,1.08,343
3,1.03,LeVeon Bell,RB,PIT,3.1,1.7,1.01,1.08,437
4,1.04,Eddie Lacy,RB,GB,4,1.6,1.01,1.1,381
5,1.05,Jamaal Charles,RB,KC,4.5,1.6,1.01,1.1,433
6,1.06,Julio Jones,WR,ATL,6.2,1.9,1.01,1.12,388
7,1.08,Dez Bryant,WR,DAL,7.6,1.7,1.02,2.01,386
8,1.09,Marshawn Lynch,RB,SEA,8.6,2.3,1.03,2.05,424
9,1.09,Demaryius Thomas,WR,DEN,9.1,1.9,1.03,2.04,410
10,1.1,Rob Gronkowski,TE,NE,10.3,3.3,1.01,2.08,439
11,1.11,CJ Anderson,RB,DEN,10.7,3,1.03,2.07,468
12,1.11,Odell Beckham Jr,WR,NYG,11.4,2.8,1.02,2.07,447
13,2.01,Calvin Johnson,WR,DET,13.1,2.4,1.01,2.08,458
14,2.02,Matt Forte,RB,CHI,13.7,3.1,1.03,2.1,419
15,2.02,Jeremy Hill,RB,CIN,14.4,2.8,1.03,2.11,481
16,2.04,Randall Cobb,WR,GB,15.9,2.4,1.09,2.1,433
17,2.05,A.J. Green,WR,CIN,16.7,2.5,1.1,2.12,461
18,2.05,Andrew Luck,QB,IND,16.9,5.3,1.01,3.06,358
19,2.06,DeMarco Murray,RB,PHI,17.6,3.4,1.01,3.07,428
20,2.07,Justin Forsett,RB,BAL,19.3,3.2,1.07,3.05,438
21,2.09,Brandin Cooks,WR,NO,20.6,2.9,1.1,3.05,428
22,2.1,Lamar Miller,RB,MIA,22.3,3,1.12,3.08,367
23,2.11,T.Y. Hilton,WR,IND,22.8,2.7,2.01,3.07,425
24,2.12,Jordan Matthews,WR,PHI,24.4,2.8,2.02,3.1,405
25,2.12,LeSean McCoy,RB,BUF,24.4,4.2,1.12,3.11,401
26,3.02,Alshon Jeffery,WR,CHI,26.1,3.1,2.06,4.01,388
27,3.03,Aaron Rodgers,QB,GB,27.1,5.4,1.01,4.12,356
28,3.04,Frank Gore,RB,IND,27.7,3.4,2.01,4.03,371
29,3.05,DeAndre Hopkins,WR,HOU,28.7,3.3,2.06,4.01,399
30,3.06,Mike Evans,WR,TB,30,3.4,2.01,4.08,431
31,3.07,Mark Ingram,RB,NO,31,3.2,2.09,4.06,393
32,3.08,Emmanuel Sanders,WR,DEN,31.9,3.7,2.06,4.07,366
33,3.09,Latavius Murray,RB,LV,33.2,4.1,2.08,4.11,384
34,3.09,Jimmy Graham,TE,SEA,33.5,5.1,2.01,4.11,331
35,3.11,Davante Adams,WR,GB,34.6,4.3,2.09,5.02,360
36,4.01,Jarvis Landry,WR,MIA,36.6,4.4,3.01,5.01,388
37,4.01,Arian Foster,RB,HOU,37.5,4.8,3.01,5.04,453
38,4.02,Andre Johnson,WR,IND,37.7,4.2,3.02,5.03,380
39,4.02,Doug Martin,RB,TB,38,4.8,3.01,6.02,332
40,4.03,Jeremy Maclin,WR,KC,38.8,4.8,2.1,5.04,393
41,4.05,Amari Cooper,WR,LV,40.8,4.4,3.01,5.06,415
42,4.06,Ameer Abdullah,RB,DET,41.5,6,3.02,6.06,317
43,4.06,Julian Edelman,WR,NE,41.9,4.5,2.1,5.07,435
