#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Christian McCaffrey,RB,CAR,1.2,0.5,1.01,1.04,936
2,1.03,Saquon Barkley,RB,NYG,2.5,0.7,1.01,1.06,960
3,1.03,Ezekiel Elliott,RB,DAL,3.4,1.6,1.01,1.11,521
4,1.05,Alvin Kamara,RB,NO,4.9,1.3,1.01,1.12,960
5,1.06,Michael Thomas,WR,NO,5.6,1.6,1.01,1.11,811
6,1.06,Clyde Edwards-Helaire,RB,KC,6.2,1.7,1.01,1.11,782
7,1.06,Dalvin Cook,RB,MIN,6.2,1.5,1.02,1.11,873
8,1.07,Derrick Henry,RB,TEN,7.4,1.7,1.02,1.12,900
9,1.09,Josh Jacobs,RB,LV,9.1,1.7,1.02,2.05,648
10,1.1,Davante Adams,WR,GB,10.4,1.9,1.04,2.09,832
11,1.11,Austin Ekeler,RB,LAC,11.5,2.1,1.05,2.1,850
12,1.12,Miles Sanders,RB,PHI,12,2.3,1.01,2.09,652
13,2.01,Joe Mixon,RB,CIN,13.1,2.5,1.05,2.09,736
14,2.02,Julio Jones,WR,ATL,14.4,2.8,1.06,2.1,856
15,2.03,Kenyan Drake,RB,ARI,14.8,2.7,1.07,2.12,1008
16,2.04,Tyreek Hill,WR,KC,15.8,3.1,1.05,3.01,944
17,2.04,Nick Chubb,RB,CLE,16.3,3.1,1.01,2.12,910
18,2.06,Aaron Jones,RB,GB,17.5,2.9,1.04,3.04,976
19,2.07,DeAndre Hopkins,WR,ARI,18.5,3.4,1.06,3.04,931
20,2.07,Patrick Mahomes,QB,KC,18.7,5.4,1.01,3.1,674
21,2.08,Travis Kelce,TE,KC,19.9,3.9,1.02,3.09,877
22,2.1,Chris Godwin,WR,TB,21.5,3,1.11,3.09,910
23,2.1,James Conner,RB,PIT,22.4,3.4,2.01,4.01,852
24,2.11,Lamar Jackson,QB,BAL,22.7,5.6,1.01,3.1,765
25,2.12,George Kittle,TE,SF,24.4,3.9,1.08,3.11,816
26,3.02,Kenny Golladay,WR,DET,25.8,3.1,2.01,3.11,820
27,3.02,Chris Carson,RB,SEA,26.4,4,1.1,4.01,883
28,3.04,Mike Evans,WR,TB,27.9,3.2,2.03,4.01,782
29,3.04,David Johnson,RB,HOU,28.5,3.9,1.12,4.07,816
30,3.05,Todd Gurley,RB,ATL,29.1,5,1.09,4.06,732
31,3.06,Adam Thielen,WR,MIN,30.3,3.6,2.04,4.08,824
32,3.08,Allen Robinson,WR,CHI,31.8,3.7,2.06,4.06,652
33,3.09,Jonathan Taylor,RB,IND,32.6,4.6,1.05,4.08,726
34,3.09,D.J. Moore,WR,CAR,32.6,3.8,2.08,4.12,712
35,3.1,LeVeon Bell,RB,KC,34.5,5,1.12,5.01,643
36,3.11,Leonard Fournette,RB,TB,35.4,4.9,1.01,5.03,565
37,3.12,Odell Beckham Jr,WR,CLE,35.7,4.6,2.06,4.12,855
38,4.01,JuJu Smith-Schuster,WR,PIT,36.9,4,2.12,4.12,895
39,4.02,Amari Cooper,WR,DAL,38.1,4.4,2.08,4.12,780
40,4.03,Melvin Gordon,RB,DEN,39.4,4.9,2.04,5.07,861
41,4.04,Cooper Kupp,WR,LAR,40.3,4.3,2.09,5.03,805
42,4.05,Calvin Ridley,WR,ATL,40.9,4.2,3.03,5.07,906
43,4.06,Mark Andrews,TE,BAL,42.4,6.3,2.01,5.12,508
44,4.06,Robert Woods,WR,LAR,42.4,3.6,3.07,5.06,795
45,4.06,Mark Ingram,RB,BAL,42.5,5.1,2.07,5.1,759
46,4.08,A.J. Brown,WR,TEN,44.4,4,3.01,5.09,588
47,4.09,D.K. Metcalf,WR,SEA,45.3,4.4,3.02,5.11,612
48,4.1,Devin Singletary,RB,BUF,46.4,6.4,2.1,6.08,469
49,4.11,D.J. Chark,WR,JAX,47.5,4.7,3.08,6.03,754
50,5.01,Raheem Mostert,RB,SF,49.4,6.1,3.06,6.09,776
51,5.02,Tyler Lockett,WR,SEA,49.9,4.3,3.02,6.07,701
52,5.03,Zach Ertz,TE,PHI,50.6,6.9,2.12,6.09,627
53,5.03,Terry McLaurin,WR,WAS,50.8,3.9,2.11,6.07,667
54,5.05,Cam Akers,RB,LAR,52.8,5.7,3.06,6.08,809
