#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,
1,1.01,Antonio Brown,WR,PIT,1.2,0.5,1.01,1.04,454,
2,1.03,Julio Jones,WR,ATL,2.8,0.9,1.01,1.06,348,
3,1.03,Odell Beckham Jr,WR,NYG,3.4,1.2,1.01,1.1,512,
4,1.03,David Johnson,RB,ARI,3.4,1.5,1.01,1.07,146,
5,1.06,Todd Gurley,RB,LAR,6.3,1.8,1.01,1.12,470,
6,1.06,A.J. Green,WR,CIN,6.4,1.5,1.02,1.12,314,
7,1.06,DeAndre Hopkins,WR,HOU,6.4,1.5,1.02,1.12,388,
8,1.08,Ezekiel Elliott,RB,DAL,8.3,2,1.02,2.03,356,
9,1.09,Allen Robinson,WR,JAX,9.2,1.9,1.04,2.03,449,
10,1.1,Lamar Miller,RB,HOU,9.8,2.2,1.02,2.05,469,
11,1.11,Adrian Peterson,RB,MIN,10.7,2.6,1.01,2.07,436,
12,1.12,LeVeon Bell,RB,PIT,12.3,2.9,1.03,2.08,411,
13,2.01,Brandon Marshall,WR,NYJ,13,2.5,1.04,2.09,446,
14,2.02,Keenan Allen,WR,LAC,13.8,2.3,1.06,2.1,448,
15,2.02,Rob Gronkowski,TE,NE,14.2,3.6,1.04,2.12,422,
16,2.04,Mike Evans,WR,TB,15.7,2.4,1.05,2.11,469,
17,2.04,Dez Bryant,WR,DAL,16.4,2.9,1.05,2.12,433,
18,2.05,Jordy Nelson,WR,GB,17.3,2.9,1.09,3.01,455,
19,2.07,Devonta Freeman,RB,ATL,19.2,3.4,1.06,3.07,374,
20,2.07,Jamaal Charles,RB,KC,19.4,3.7,1.12,3.06,264,
21,2.08,Amari Cooper,WR,LV,20.1,2.9,1.09,3.04,414,
22,2.1,LeSean McCoy,RB,BUF,22,3.3,1.12,3.09,348,
23,2.1,Alshon Jeffery,WR,CHI,22.1,3.5,1.09,3.07,399,
24,2.11,Brandin Cooks,WR,NO,23.3,3.5,1.09,3.08,392,
25,2.12,Eddie Lacy,RB,GB,24,3.8,1.1,3.1,363,
26,3.02,Mark Ingram,RB,NO,25.5,3.8,2.02,3.11,373,
27,3.03,Jarvis Landry,WR,MIA,26.9,3.8,2.02,4.02,387,
