#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Adrian Peterson,RB,MIN,1.2,0.6,1.01,1.05,341
2,1.03,Jamaal Charles,RB,KC,3.2,1.3,1.01,1.1,228
3,1.04,Doug Martin,RB,TB,3.6,1.4,1.01,1.09,403
4,1.04,Arian Foster,RB,HOU,3.8,1.8,1.01,1.09,85
5,1.06,Calvin Johnson,WR,DET,5.6,2.2,1.01,1.11,232
6,1.06,C.J. Spiller,RB,None,6.3,2,1.01,1.11,383
7,1.07,Ray Rice,RB,BAL,7.4,2.2,1.02,2.02,415
8,1.08,Marshawn Lynch,RB,SEA,7.6,2.4,1.02,2.04,199
9,1.08,LeSean McCoy,RB,PHI,8.2,2.3,1.01,2.02,511
10,1.08,Trent Richardson,RB,IND,8.3,2.2,1.02,2.02,430
11,1.12,Alfred Morris,RB,WAS,12.5,2.2,1.02,2.07,243
12,2.01,Matt Forte,RB,CHI,12.7,2.3,1.02,2.09,515
13,2.02,Dez Bryant,WR,DAL,13.7,2.5,1.06,2.11,353
14,2.02,Jimmy Graham,TE,NO,14.3,3.2,1.06,3.06,161
15,2.03,Chris Johnson,RB,NYJ,15.5,2.7,1.06,2.11,270
16,2.04,Steven Jackson,RB,ATL,16,2.8,1.06,2.12,319
17,2.05,A.J. Green,WR,CIN,17.2,3.1,1.09,3.04,377
18,2.05,Reggie Bush,RB,DET,17.5,3,1.08,3.02,517
19,2.07,Brandon Marshall,WR,CHI,19.3,3.4,1.06,3.04,338
20,2.07,Stevan Ridley,RB,NE,19.4,3.2,2.01,3.07,195
21,2.08,Maurice Jones-Drew,RB,LV,19.7,3,1.12,3.04,298
22,2.1,Julio Jones,WR,ATL,22,3.1,2.01,3.06,315
23,3.01,David Wilson,RB,NYG,25.1,5.9,1.04,4.04,600
24,3.01,Demaryius Thomas,WR,DEN,25.5,3.2,2.05,3.1,331
25,3.02,Frank Gore,RB,SF,26.2,4.6,2.02,4.06,182
26,3.03,DeMarco Murray,RB,DAL,26.6,4.5,2.05,4.05,183
27,3.04,Larry Fitzgerald,WR,ARI,27.9,3.4,2.06,4.02,343
28,3.04,Darren Sproles,RB,PHI,28,5.3,1.12,4.08,541
29,3.05,Lamar Miller,RB,MIA,28.9,5,2.01,4.05,156
30,3.06,Randall Cobb,WR,GB,30.5,3.9,2.01,4.07,379
31,3.07,Drew Brees,QB,NO,30.7,8.1,1.01,4.12,361
32,3.08,Aaron Rodgers,QB,GB,31.8,7.9,1.03,4.1,277
33,3.09,Darren McFadden,RB,LV,32.6,5.5,2.06,4.11,96
34,3.1,Rob Gronkowski,TE,NE,33.7,6.6,2.01,5.01,127
35,3.1,Andre Johnson,WR,HOU,34.2,4,2.01,4.1,490
36,3.1,Roddy White,WR,ATL,34.4,3.5,2.11,4.09,407
37,4.01,Eddie Lacy,RB,GB,37.3,5.2,2.09,5.05,457
38,4.03,Victor Cruz,WR,NYG,38.8,4,3.01,5.04,412
39,4.05,Vincent Jackson,WR,TB,41,4.6,3.01,5.1,361
40,4.06,Peyton Manning,QB,DEN,42.2,7.8,1.04,6.01,227
41,4.07,Dwayne Bowe,WR,KC,43.4,4.6,3.06,5.1,359
42,4.08,Montee Ball,RB,DEN,43.9,8,3.06,7.02,113
43,4.09,Jason Witten,TE,DAL,44.8,6.8,3.06,6.1,147
44,4.09,Vernon Davis,TE,SF,45.3,10.1,2.12,7.02,51
45,4.1,Danny Amendola,WR,NE,45.7,6,3.01,5.12,466
46,4.1,Ryan Mathews,RB,LAC,45.7,7.1,3.02,6.06,267
47,4.11,Marques Colston,WR,NO,47.2,5,3.06,6.03,301
48,4.11,Wes Welker,WR,DEN,47.4,6.7,3.02,6.02,340
49,4.12,Giovani Bernard,RB,CIN,48.1,7.3,3.05,6.12,424
50,5.02,Reggie Wayne,WR,IND,50.5,6.1,3.04,6.09,450
51,5.04,Chris Ivory,RB,NYJ,52.5,10.1,3.11,7.09,66
52,5.05,Ahmad Bradshaw,RB,IND,52.6,8.2,3.1,7.02,230
53,5.06,Daryl Richardson,RB,LAR,54.2,7.4,3.04,7.1,435
54,5.06,Shane Vereen,RB,NE,54.4,8.3,2.01,7.08,321
55,5.08,Tony Gonzalez,TE,ATL,56,9.4,1.04,7.1,146
56,5.08,Pierre Garcon,WR,WAS,56.1,6.5,3.01,6.12,459
57,5.09,Hakeem Nicks,WR,IND,57.3,6,4.02,7.05,315
58,5.09,Tom Brady,QB,NE,57.4,7.5,2.03,7.02,320
59,5.1,Cam Newton,QB,CAR,58.3,6.8,4.05,7.04,203
60,5.12,Jordy Nelson,WR,GB,59.9,6.3,4.01,7.03,361
