#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Christian McCaffrey,RB,CAR,1.2,0.5,1.01,1.05,1368
2,1.03,Dalvin Cook,RB,MIN,2.5,0.7,1.01,1.06,1292
3,1.04,Alvin Kamara,RB,NO,3.8,1,1.01,1.08,1500
4,1.04,Derrick Henry,RB,TEN,4,1.3,1.01,1.08,460
5,1.05,Ezekiel Elliott,RB,DAL,5.3,1.1,1.02,1.12,1148
6,1.06,Davante Adams,WR,GB,6.4,1.6,1.01,1.12,1190
7,1.07,Aaron Jones,RB,GB,7.5,1.7,1.04,2.01,1257
8,1.08,Travis Kelce,TE,KC,8.2,2.1,1.02,2.03,1052
9,1.09,Austin Ekeler,RB,LAC,8.5,2,1.02,2.04,1363
10,1.1,Nick Chubb,RB,CLE,9.9,2.2,1.05,2.06,1139
11,1.11,Tyreek Hill,WR,KC,10.6,2.2,1.01,2.04,1323
12,1.12,Saquon Barkley,RB,NYG,12,2.8,1.03,2.08,1157
13,2.01,Najee Harris,RB,PIT,12.9,2.5,1.02,2.07,1285
14,2.01,Stefon Diggs,WR,BUF,13.5,2.4,1.05,2.09,1282
15,2.02,Jonathan Taylor,RB,IND,13.8,2.6,1.04,2.08,1217
16,2.04,Antonio Gibson,RB,WAS,15.6,2.3,1.07,2.1,1083
17,2.05,DeAndre Hopkins,WR,ARI,17,2.3,1.07,2.11,1549
18,2.06,Calvin Ridley,WR,ATL,18,2.1,1.09,3.01,1475
19,2.07,Joe Mixon,RB,CIN,19.2,2.6,1.11,3.04,1115
20,2.08,D.K. Metcalf,WR,SEA,19.7,2.3,1.07,3.02,1128
21,2.08,Clyde Edwards-Helaire,RB,KC,20.4,2.3,2.01,3.06,1255
22,2.09,Darren Waller,TE,LV,21.5,3.3,1.05,3.06,1286
23,2.1,Justin Jefferson,WR,MIN,22.4,1.9,2.01,3.04,1088
24,2.11,Patrick Mahomes,QB,KC,22.9,6.2,1.01,4.04,935
25,3.01,A.J. Brown,WR,TEN,24.8,2.4,2.04,3.08,1020
26,3.02,David Montgomery,RB,CHI,25.9,3.4,2.02,3.12,814
27,3.02,Keenan Allen,WR,LAC,25.9,2.6,2.04,3.12,1428
28,3.04,Chris Carson,RB,SEA,28,3.2,2.01,4.02,1273
29,3.04,George Kittle,TE,SF,28.5,3.6,1.11,4.05,1097
30,3.05,James Robinson,RB,JAX,29.1,3.3,1.12,4.05,1141
31,3.06,CeeDee Lamb,WR,DAL,29.6,2.8,2.05,4.03,1058
32,3.06,Terry McLaurin,WR,WAS,30.3,2.8,2.09,4.03,1279
33,3.09,Allen Robinson,WR,CHI,32.7,3.1,2.08,4.06,1309
34,3.1,D'Andre Swift,RB,DET,34,4.1,1.08,5.02,743
35,3.1,Josh Allen,QB,BUF,34.4,4.6,1.02,5.02,924
36,3.11,Robert Woods,WR,LAR,35.1,3.1,2.11,4.09,1117
37,3.11,Josh Jacobs,RB,LV,35.4,4.1,2.06,5.04,838
38,4.02,Mike Evans,WR,TB,37.8,3.3,2.09,4.11,1073
39,4.03,Miles Sanders,RB,PHI,38.7,4.4,2.02,5.01,789
40,4.04,Amari Cooper,WR,DAL,40,3.5,3.02,5.02,1136
41,4.04,Kyle Pitts,TE,ATL,40.3,5.3,2.1,5.08,937
42,4.05,Kyler Murray,QB,ARI,41.3,4.3,2.05,6.01,748
43,4.05,Cooper Kupp,WR,LAR,41.3,3.4,3.09,5.06,1331
44,4.07,Mike Davis,RB,ATL,43.1,5.2,3.05,6.06,1311
45,4.08,Darrell Henderson,RB,LAR,43.8,4.9,3.05,6.01,687
46,4.09,Diontae Johnson,WR,PIT,44.9,4.3,2.12,6.01,939
47,4.1,Myles Gaskin,RB,MIA,45.7,4.8,2.12,5.09,1016
48,4.1,Julio Jones,WR,TEN,46,4.6,3.05,6.08,1115
49,4.11,Chris Godwin,WR,TB,47.2,5,3.05,6.06,1276
50,4.12,Tyler Lockett,WR,SEA,48.4,5.4,3.02,6.02,1334
51,5.03,Lamar Jackson,QB,BAL,50.9,6.7,1.08,7.09,773
52,5.04,Adam Thielen,WR,MIN,52.3,4.9,2.03,6.07,957
53,5.05,Javonte Williams,RB,DEN,52.7,6.5,3.06,6.08,931
54,5.05,Mark Andrews,TE,BAL,52.8,5.9,3.02,6.08,958
55,5.05,Kareem Hunt,RB,CLE,53.2,5.8,3.01,6.1,827
56,5.06,Brandon Aiyuk,WR,SF,53.9,4.5,3.09,6.08,676
57,5.07,T.J. Hockenson,TE,DET,55.4,4.8,3.12,6.1,626
58,5.07,Damien Harris,RB,NE,55.5,6.1,3.04,6.1,1128
