#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Todd Gurley,RB,LAR,1.5,0.7,1.01,1.05,684
2,1.03,David Johnson,RB,ARI,2.8,0.9,1.01,1.07,595
3,1.03,LeVeon Bell,RB,PIT,3,1.5,1.01,1.08,729
4,1.05,Antonio Brown,WR,PIT,4.7,1.3,1.01,1.09,696
5,1.05,Ezekiel Elliott,RB,DAL,5.3,2.3,1.01,1.12,918
6,1.06,Alvin Kamara,RB,NO,6.1,1.4,1.02,1.11,736
7,1.07,Saquon Barkley,RB,NYG,6.5,1.7,1.01,1.12,684
8,1.09,DeAndre Hopkins,WR,HOU,8.8,2.1,1.01,2.03,612
9,1.09,Melvin Gordon,RB,LAC,9.1,1.8,1.04,2.05,678
10,1.09,Leonard Fournette,RB,JAX,9.4,2,1.03,2.05,728
11,1.11,Odell Beckham Jr,WR,NYG,11.2,1.9,1.05,2.05,760
12,1.11,Kareem Hunt,RB,KC,11.4,2,1.02,2.07,806
13,2.01,Christian McCaffrey,RB,CAR,12.7,2.3,1.04,2.08,807
14,2.02,Julio Jones,WR,ATL,14.2,2.2,1.04,2.09,769
15,2.04,Dalvin Cook,RB,MIN,15.6,2.3,1.08,2.11,710
16,2.04,Michael Thomas,WR,NO,16,2,1.09,2.1,744
17,2.05,Keenan Allen,WR,LAC,17.2,2.7,1.05,2.12,707
18,2.06,Davante Adams,WR,GB,18.2,2.2,1.12,2.12,738
19,2.07,Devonta Freeman,RB,ATL,19.1,2.5,1.12,3.02,683
20,2.08,Jordan Howard,RB,CHI,20,2.6,2.01,3.04,709
21,2.09,Rob Gronkowski,TE,NE,21,3.2,1.05,3.07,670
22,2.09,A.J. Green,WR,CIN,21.3,2.1,1.12,3.05,790
23,2.11,Joe Mixon,RB,CIN,23.3,3.2,1.1,3.09,631
24,2.12,Tyreek Hill,WR,KC,23.7,2.9,2.01,3.08,635
25,3.02,Mike Evans,WR,TB,25.5,3,2.03,3.11,595
26,3.02,Stefon Diggs,WR,MIN,26,2.7,2.06,3.12,660
27,3.03,T.Y. Hilton,WR,IND,27.4,2.7,2.05,3.12,610
28,3.04,Travis Kelce,TE,KC,28.5,3.6,2.05,4.04,556
29,3.05,Royce Freeman,RB,DEN,29,4.2,1.12,4.11,659
