#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Jonathan Taylor,RB,IND,14,1.2,0.5,1.01,1.05,4750
2,1.02,Christian McCaffrey,RB,CAR,13,2,0.8,1.01,1.08,2903
3,1.04,Derrick Henry,RB,TEN,6,4,1.5,1.01,2.01,3867
4,1.05,Cooper Kupp,WR,LAR,7,4.5,1.7,1.01,2.05,3991
5,1.05,Austin Ekeler,RB,LAC,8,4.6,1.4,1.01,1.11,5312
6,1.05,Justin Jefferson,WR,MIN,7,5.1,1.6,1.01,1.11,5284
7,1.07,Najee Harris,RB,PIT,9,6.9,2,1.01,2.03,5467
8,1.08,Dalvin Cook,RB,MIN,7,7.9,1.8,1.01,2.03,5884
9,1.09,Ja'Marr Chase,WR,CIN,10,8.6,1.9,1.01,2.06,5769
10,1.1,Joe Mixon,RB,CIN,10,10.1,2,1.01,2.07,4630
11,1.11,Davante Adams,WR,LV,6,11.4,2.2,1.01,2.09,4020
12,1.12,D'Andre Swift,RB,DET,6,11.7,2.1,1.02,2.09,3692
13,2.01,Stefon Diggs,WR,BUF,7,13.3,2.3,1.01,2.1,5034
14,2.03,Nick Chubb,RB,CLE,9,14.6,2.8,1.01,3.01,3969
15,2.03,Travis Kelce,TE,KC,8,15,3.1,1.01,3.02,4310
16,2.03,Aaron Jones,RB,GB,14,15.5,2.6,1.02,3.02,5366
17,2.04,CeeDee Lamb,WR,DAL,9,16.2,2.6,1.01,3.01,4155
18,2.05,Alvin Kamara,RB,NO,14,17.4,3.4,1.03,3.06,6509
19,2.06,Deebo Samuel,WR,SF,9,17.8,2.7,1.03,3.04,4174
20,2.07,Saquon Barkley,RB,NYG,9,18.7,3.4,1.02,3.07,6383
21,2.08,Javonte Williams,RB,DEN,9,20.4,3.6,1.01,3.1,4807
22,2.1,Tyreek Hill,WR,MIA,11,22.2,3,1.02,3.11,4627
23,2.1,Josh Allen,QB,BUF,7,22.3,5.9,1.01,4.05,2826
24,2.12,Leonard Fournette,RB,TB,11,23.8,3.7,1.01,3.12,5180
25,2.12,Mike Evans,WR,TB,11,24.5,3.1,1.02,3.12,4382
