#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,
139,11.12,D.K. Metcalf,WR,SEA,131.8,14.1,2.03,13.04,125,
140,12.01,Adrian Peterson,RB,WAS,133.1,12.1,8.08,14.12,218,
141,12.02,Minnesota Defense,DEF,MIN,134,8.5,9.08,14.01,126,
142,12.02,Anthony Miller,WR,CHI,134.4,7.5,10.01,13.05,139,
143,12.04,John Brown,WR,BUF,136.2,8.6,10.01,14.09,160,
144,12.05,LA Chargers Defense,DEF,LAC,137.4,9.7,10.06,14.11,77,
145,12.06,Mecole Hardman,WR,KC,137.7,13.5,4.1,14.04,78,
146,12.06,Dallas Defense,DEF,DAL,137.9,13.2,6.03,15.09,79,
147,12.07,Mitch Trubisky,QB,CHI,139.2,11.2,8.02,15.04,186,
148,12.1,Mark Andrews,TE,BAL,142.1,19.1,6.03,15.11,438,
149,12.11,Dion Lewis,RB,TEN,142.9,14.9,8.12,15.11,279,
150,12.12,Greg Zuerlein,PK,LAR,144.3,10.9,8.03,14.03,493,
151,13.02,Denver Defense,DEF,DEN,145.8,14.4,5.01,15.12,108,
152,13.02,Josh Allen,QB,BUF,145.8,12.3,9.1,15.12,173,
153,13.02,Keke Coutee,WR,HOU,146.2,13.3,6.03,15.07,110,
154,13.04,Jimmy Garoppolo,QB,SF,147.5,17.1,3.06,15.11,151,
155,13.05,Greg Olsen,TE,CAR,148.9,19.4,5.01,15.12,275,
156,13.06,Justin Tucker,PK,BAL,149.7,10.8,8.01,14.05,253,
157,13.07,Damien Harris,RB,NE,151.4,13.7,10.01,15.08,175,
158,13.08,Harrison Butker,PK,KC,151.6,9.8,9.1,14.06,140,
159,13.08,Deebo Samuel,WR,SF,151.8,11.2,11.03,15.04,102,
160,13.08,Carlos Hyde,RB,HOU,151.9,17.8,8.03,16.03,349,
161,13.08,Frank Gore,RB,BUF,152.3,27.6,7.11,17.08,46,
162,13.08,Trey Burton,TE,CHI,152.4,24.4,7.02,15.11,55,
163,13.09,N'Keal Harry,WR,NE,152.8,13.8,10.02,15.07,63,
164,13.1,Ito Smith,RB,ATL,154.2,17.5,9.02,15.12,163,
