#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.01,Arian Foster,RB,HOU,1.4,0.6,1.01,1.03,68
2,1.02,Ray Rice,RB,BAL,1.9,0.9,1.01,1.04,66
3,1.03,Aaron Rodgers,QB,GB,3.4,1.9,1.01,1.08,64
4,1.05,Calvin Johnson,WR,DET,4.8,1.4,1.01,1.08,48
5,1.05,LeSean McCoy,RB,PHI,4.8,1.7,1.02,1.09,130
6,1.06,Tom Brady,QB,NE,6.1,1.8,1.02,1.1,78
7,1.06,Darren McFadden,RB,LV,6.4,1.6,1.04,1.1,42
8,1.08,Chris Johnson,RB,TEN,8.1,1.8,1.04,1.12,101
9,1.1,Matt Forte,RB,CHI,10.2,2.3,1.04,2.04,73
10,1.11,DeMarco Murray,RB,DAL,11.2,2,1.06,2.03,67
11,1.12,Drew Brees,QB,NO,12.3,4.3,1.03,2.11,130
12,2.02,Julio Jones,WR,ATL,14.3,2.8,1.08,2.1,55
13,2.02,Maurice Jones-Drew,RB,JAX,14.4,3.8,1.04,3.04,68
14,2.04,Jamaal Charles,RB,KC,16.1,2.9,1.11,2.11,63
15,2.05,Rob Gronkowski,TE,NE,16.5,3.7,1.1,3.05,42
16,2.08,Ryan Mathews,RB,LAC,19.9,3.6,2.01,3.05,67
17,2.09,Larry Fitzgerald,WR,ARI,20.8,3.6,2.01,3.04,78
18,2.09,Steven Jackson,RB,ATL,21.1,4.2,2.01,3.06,71
19,2.1,Brandon Marshall,WR,CHI,22.3,4.5,2.01,3.06,74
20,2.11,Matthew Stafford,QB,DET,22.7,5,1.11,3.12,77
21,2.11,Doug Martin,RB,TB,22.9,3.5,2.01,3.06,59
22,3.01,Darren Sproles,RB,NO,24.5,5.1,2.01,3.12,111
23,3.02,Trent Richardson,RB,CLE,26.1,4.3,2.01,3.1,65
24,3.02,A.J. Green,WR,CIN,26.2,4.6,2.01,3.11,67
25,3.03,Cam Newton,QB,CAR,27,6,1.12,4.04,57
26,3.03,Andre Johnson,WR,HOU,27.1,5.5,1.03,4.01,66
27,3.06,Roddy White,WR,ATL,30.2,5.1,2.02,4.05,108
28,3.07,Greg Jennings,WR,MIN,30.8,3.7,3.01,4.02,51
29,3.08,Wes Welker,WR,DEN,31.8,6.8,2.01,4.08,130
30,3.1,Victor Cruz,WR,NYG,33.8,4.4,2.08,4.11,114
31,3.1,Ahmad Bradshaw,RB,FA,34.4,5.6,2.11,5.07,70
32,4.03,Jordy Nelson,WR,GB,38.9,4.5,3.03,4.11,91
33,4.05,Hakeem Nicks,WR,NYG,40.9,4.6,2.08,4.11,80
34,4.06,Reggie Bush,RB,DET,41.7,5.8,3.04,5.04,72
35,4.07,BenJarvus Green-Ellis,RB,CIN,42.7,5.7,3.04,5.09,50
36,4.08,Dez Bryant,WR,DAL,44.4,6.3,2.02,5.07,69
37,4.1,Matt Ryan,QB,ATL,46.4,6.1,3.08,5.09,60
38,4.11,Antonio Brown,WR,PIT,47.4,6,3.05,6.05,96
39,5.02,Marques Colston,WR,NO,49.6,5.1,4.01,5.12,90
40,5.05,Eric Decker,WR,DEN,53.5,6.2,4.03,6.08,111
41,5.06,Steve Smith,WR,CAR,54.2,5.7,4.04,6.06,90
42,5.07,Peyton Hillis,RB,KC,54.7,6.5,4.01,6.07,60
43,5.07,Donald Brown,RB,IND,54.9,4.7,4.05,6.07,65
44,5.07,Michael Vick,QB,PHI,55.2,10,3.03,7.05,60
45,5.09,Eli Manning,QB,NYG,57.3,10.3,3.04,7.12,60
46,5.1,Brandon Lloyd,WR,FA,58,7.8,4.02,7.06,81
47,5.12,Shonn Greene,RB,TEN,59.6,6.8,4.09,7.03,61
48,5.12,Mike Wallace,WR,MIA,60.1,7.4,4.01,7.02,94
49,6.05,DeSean Jackson,WR,PHI,64.8,8,4.12,7.08,53
50,6.06,Kevin Smith,RB,DET,65.5,6.6,5.06,7.1,52
51,6.06,Demaryius Thomas,WR,DEN,65.7,9.3,2.11,7.07,65
52,6.07,Peyton Manning,QB,DEN,67.5,12.8,2.12,8.12,53
53,6.08,Torrey Smith,WR,BAL,68.1,7.4,5.06,7.12,93
54,6.12,Jeremy Maclin,WR,PHI,71.6,6.7,5.08,8.03,88
55,6.12,Dwayne Bowe,WR,KC,71.7,9.2,4.06,8.03,61
56,6.12,Ryan Williams,RB,ARI,72,8,5.02,8.01,42
57,7.01,Tony Romo,QB,DAL,72.9,9.6,4.09,8.08,48
58,7.03,Jason Witten,TE,DAL,74.9,13.5,5.04,9.1,43
59,7.03,Steve Johnson,WR,None,75.4,7,5.09,8.06,78
60,7.07,Vincent Jackson,WR,TB,78.6,9.3,5.04,8.12,45
61,7.08,Michael Bush,RB,CHI,79.7,8.7,6.04,9.05,45
62,7.1,Fred Davis,TE,WAS,81.7,13.8,5.05,9.11,55
63,7.11,Miles Austin,WR,DAL,82.6,11.1,3.02,9.08,75
64,7.11,Philip Rivers,QB,LAC,82.7,10.7,5.06,9.07,49
65,8.01,C.J. Spiller,RB,None,84.8,9.5,6.01,9.1,59
66,8.02,Reggie Wayne,WR,IND,85.6,6.6,6.08,9.02,70
67,8.02,Jonathan Stewart,RB,CAR,85.7,9.2,6.07,10.01,43
68,8.03,Pierre Garcon,WR,WAS,86.5,7.3,6.09,9.04,56
69,8.04,Tony Gonzalez,TE,ATL,87.6,11.7,5.11,10.1,69
70,8.06,Kenny Britt,WR,TEN,89.6,7.6,6.04,9.05,49
71,8.06,Jay Cutler,QB,CHI,90.3,10.4,6.12,9.12,49
72,8.08,Jacquizz Rodgers,RB,ATL,91.7,9.2,6.08,10.04,62
73,9.01,Toby Gerhart,RB,MIN,96.8,7.4,7.04,10.05,46
74,9.05,Rashard Mendenhall,RB,ARI,101.3,9.8,6.11,11.06,52
75,9.06,Robert Griffin III,QB,WAS,101.8,9.7,6.11,10.08,47
76,9.06,Greg Olsen,TE,CAR,102,16.2,3.02,11.09,82
77,9.1,Jacob Tamme,TE,DEN,105.9,15.5,6.09,13.01,79
78,10.03,Nate Washington,WR,TEN,110.8,14.8,7.1,12.09,55
79,10.05,Lance Moore,WR,NO,113.2,11.8,8.01,12.05,41
80,10.1,Danny Amendola,WR,NE,117.7,14.1,4.11,13.01,75
81,10.11,Jonathan Dwyer,RB,PIT,118.9,18.7,7.01,15.1,50
82,10.12,Jermaine Gresham,TE,CIN,119.9,13.6,8.01,13.07,85
83,10.12,Evan Royster,RB,WAS,120.4,17.2,6.01,13.05,56
84,11.04,Robert Turbin,RB,SEA,124.4,12.5,9.04,14.02,43
85,11.12,Brandon LaFell,WR,CAR,132.4,20.8,5.02,14.01,46
86,12.01,Kyle Rudolph,TE,MIN,132.8,19.5,8.01,14.07,53
87,12.09,Josh Freeman,QB,TB,141.1,12.9,10.03,14.12,43
88,13.01,Greg Little,WR,CLE,145,12.8,10.05,14.11,41
89,13.08,Brent Celek,TE,PHI,152,19.4,9.01,15.12,43
