RK,NAME,TEAM,POS,GMS,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,FUMBLES_FUM,FUMBLES_LST,PPG,FPTS
66,Zonovan Knight,NYJ,RB,6,73,278,3.8,1,14,13,100,0,1,0,9.5,56.8
67,J.D. McKissic,WAS,RB,8,22,95,4.3,0,40,27,173,0,0,0,7,55.8
68,Ameer Abdullah,LV,RB,17,4,20,5,0,32,25,211,1,2,0,3.2,54.1
69,Kyle Juszczyk,SF,FB,16,7,26,3.7,1,23,19,200,1,0,0,3.4,53.6
70,Rashaad Penny,SEA,RB,5,57,346,6.1,2,5,4,16,0,1,0,10.4,52.2
71,Justin Jackson,DET,RB,16,42,170,4,1,19,12,101,1,1,0,3.2,51.1
72,Mark Ingram II,NO,RB,10,62,233,3.8,1,18,16,68,0,2,2,5,50.1
73,Boston Scott,PHI,RB,15,54,217,4,3,6,5,15,0,0,0,3.1,46.2
73,DeeJay Dallas,SEA,RB,15,35,186,5.3,0,19,17,126,0,1,0,3.1,46.2
75,Caleb Huntley,ATL,RB,12,76,366,4.8,1,2,2,3,0,1,0,3.7,44.9
76,Elijah Mitchell,SF,RB,5,45,279,6.2,2,4,3,7,0,0,0,8.7,43.6
77,Zack Moss,IND,RB,12,75,342,4.6,0,10,8,32,0,1,1,3.6,43.4
78,Travis Homer,SEA,RB,10,19,74,3.9,0,18,16,157,1,1,1,4.3,43.1
79,Raheem Blackshear,CAR,RB,13,23,77,3.3,3,12,10,93,0,1,1,3.3,43
80,Justice Hill,BAL,RB,15,49,262,5.3,0,12,12,58,0,2,1,2.8,42
80,Javonte Williams O,DEN,RB,4,47,204,4.3,0,22,16,76,0,1,1,10.5,42
82,Dare Ogunbowale,HOU,RB,16,31,90,2.9,1,20,15,99,0,0,0,2.5,39.9
83,Marlon Mack,DEN,RB,8,16,84,5.2,1,10,8,99,1,0,0,4.8,38.3
83,Ty Johnson,NYJ,RB,16,25,148,5.9,1,21,10,75,0,0,0,2.4,38.3
83,Alec Ingold,MIA,FB,16,6,8,1.3,1,23,15,105,1,0,0,2.4,38.3
86,Malik Davis,DAL,RB,12,38,161,4.2,1,7,6,63,0,0,0,2.9,34.4
87,Avery Williams,ATL,RB,17,22,109,5,1,14,13,61,0,1,1,2,34
88,Jordan Mason,SF,RB,16,43,258,6,1,0,0,0,0,0,0,2,31.8
89,C.J. Ham,MIN,FB,17,4,7,1.8,2,12,10,86,0,0,0,1.8,31.3
90,Craig Reynolds,DET,RB,9,23,102,4.4,0,10,9,116,0,0,0,3.4,30.8
91,Kyren Williams,LAR,RB,9,35,139,4,0,12,9,76,0,0,0,3.4,30.5
92,Gary Brightwell,NYG,RB,17,31,141,4.5,1,8,5,39,0,1,0,1.7,29
93,Mike Boone,DEN,RB,9,24,102,4.2,0,15,9,96,0,0,0,3.2,28.8
94,Brandon Bolden,LV,RB,16,17,66,3.9,0,9,9,57,1,0,0,1.7,27.3
95,Pierre Strong Jr.,NE,RB,14,10,100,10,1,7,7,42,0,0,0,1.9,27.2
96,Jonathan Williams,WAS,RB,13,37,152,4.1,0,10,7,40,0,0,0,2,26.2
97,Hassan Haskins,TEN,RB,15,25,93,3.7,0,12,11,57,0,0,0,1.7,26
98,Sony Michel,LAC,RB,10,36,106,2.9,0,13,9,53,0,0,0,2.5,24.9
99,Malcolm Brown,LAR,RB,10,18,81,4.5,1,6,5,37,0,0,0,2.3,22.8
100,Reggie Gilliam,BUF,FB,15,0,0,0,0,11,9,76,1,0,0,1.5,22.6
