,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
450,451,Brett Rypien,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,0,,0,2,1,0,,,5.0,4.8,6.8,5.8,,68,,RypiBr00
472,473,Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0,,,3.0,3.3,4.3,4.3,,69,,RushCo00
476,477,Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0,,,3.0,3.1,4.1,3.1,,70,,WillMa12
488,489,Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,,0,2,2,0,,,2.0,2.1,5.1,3.1,,71,,HallJa00
497,498,Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,,0,1,1,0,,,2.0,2.1,4.1,3.1,,72,,WhitMi01
499,500,Sean Clifford,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,0,,0,1,0,0,,,1.0,1.3,1.3,1.3,,73,,ClifSe00
512,513,A.J. McCarron,CIN,QB,33,2,0,4,5,19,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1.0,0.8,0.8,0.8,,74,,McCaA.00
527,528,Matt Barkley,JAX,QB,33,1,0,0,0,0,0,0,3,-3,-1.0,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,80,,BarkMa00
530,531,Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1.0,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,79,,BridTe00
542,543,Malik Cunningham,2TM,QB,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,CunnMa00
550,551,Sam Ehlinger,IND,QB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,75,,EhliSa00
595,596,Nathan Peterman,CHI,QB,29,2,0,0,0,0,0,0,2,-4,-2.0,0,0,0,0,,0,1,0,0,,,,-0.4,-0.4,-0.4,,82,,PeteNa00
600,601,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,RodgAa00
610,611,Kyle Trask,TAM,QB,25,2,0,0,1,0,0,0,1,-1,-1.0,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,78,,TrasKy00
624,625,Logan Woodside,ATL,QB,28,1,0,3,4,27,0,1,1,6,6.0,0,0,0,0,,0,0,0,0,,,,-0.3,0.7,0.7,,81,,WoodLo00
627,628,Kyle Allen,BUF,QB,27,7,0,0,0,0,0,0,13,-13,-1.0,0,0,0,0,,0,0,0,0,,,-1.0,-1.3,-1.3,-1.3,,83,,AlleKy00
