,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
10,11,Sam LaPorta*,DET,TE,22,17,14,0,0,0,0,0,1,4,4.0,0,120,86,889,10.34,10,0,0,10,2.0,,153.0,239.3,242.3,196.3,65.0,1,11.0,LaPoSa01
21,22,George Kittle*+,SFO,TE,30,16,16,0,0,0,0,0,1,2,2.0,0,90,65,1020,15.69,6,0,0,6,,,138.0,203.2,206.2,170.7,51.0,2,22.0,KittGe00
25,26,Travis Kelce*,KAN,TE,34,15,15,0,0,0,0,0,0,0,,0,121,93,984,10.58,5,1,1,5,,,126.0,219.4,223.4,172.9,40.0,3,26.0,KelcTr00
27,28,T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,0,,0,127,95,960,10.11,5,1,1,5,,,124.0,219.0,223.0,171.5,37.0,4,28.0,HockTJ00
29,30,David Njoku*,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,123,81,882,10.89,6,2,2,6,,,120.0,201.2,206.2,160.7,34.0,5,30.0,NjokDa00
35,36,Evan Engram*,JAX,TE,29,17,15,0,0,0,0,0,0,0,,0,143,114,963,8.45,4,3,2,4,,,116.0,230.3,235.3,173.3,30.0,6,36.0,EngrEv00
40,41,Taysom Hill,NOR,TE,33,16,7,6,11,83,1,0,81,401,4.95,4,40,33,291,8.82,2,1,1,6,,,111.0,143.5,150.5,127.0,25.0,7,41.0,HillTa00
45,46,Cole Kmet,CHI,TE,24,17,17,0,0,0,0,0,3,2,0.67,0,90,73,719,9.85,6,1,0,6,,,108.0,181.1,184.1,144.6,22.0,8,46.0,KmetCo00
47,48,Jake Ferguson*,DAL,TE,24,17,16,0,0,0,0,0,0,0,,0,102,71,761,10.72,5,0,0,5,,,106.0,177.1,180.1,141.6,21.0,9,48.0,FergJa00
55,56,Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,0,,0,106,81,825,10.19,3,1,0,3,,,101.0,181.5,184.5,141.0,15.0,10,56.0,McBrTr01
66,67,Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,0,,0,88,59,635,10.76,5,1,1,5,,,92.0,150.5,154.5,121.0,7.0,11,67.0,SchuDa00
67,68,Mark Andrews,BAL,TE,28,10,9,0,0,0,0,0,1,0,0.0,0,61,45,544,12.09,6,1,0,6,,,90.0,135.4,138.4,112.9,6.0,12,68.0,AndrMa00
141,142,Kyle Pitts,ATL,TE,23,17,15,0,0,0,0,0,1,-4,-4.0,0,90,53,667,12.58,3,0,0,3,,,84.0,137.3,140.3,110.8,,13,,PittKy00
150,151,Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,0,,0,61,42,419,9.98,6,1,0,6,,,78.0,119.9,122.9,98.9,,14,,HenrHu00
