RK,NAME,TEAM,POS,GMS,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_PCT,RECEIVING_YDS,RECEIVING_TD,RECEIVING_LNG,RECEIVING_Y/T,RECEIVING_Y/R,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES_FUM,FUMBLES_LST,PPG,FPTS
1,Travis Kelce,KC,TE,17,152,110,72.4,1338,12,52,8.8,12.2,2,5,2.5,0,1,1,18.6,316.3
2,T.J. Hockenson,MIN,TE,17,129,86,66.7,914,6,81,7.1,10.6,0,0,0,0,1,1,12.7,215.4
3,George Kittle,SF,TE,15,86,60,69.8,765,11,54,8.9,12.8,0,0,0,0,1,1,13.4,200.5
4,Mark Andrews,BAL,TE,15,113,73,64.6,847,5,36,7.5,11.6,3,8,2.7,0,1,0,12.7,190.5
5,Evan Engram,JAX,TE,17,98,73,74.5,766,4,36,7.8,10.5,2,13,6.5,0,0,0,10.4,176.9
6,Tyler Higbee,LAR,TE,17,108,72,66.7,620,3,26,5.7,8.6,0,0,0,0,0,0,8.9,152
7,Pat Freiermuth,PIT,TE,15,96,63,65.6,732,2,57,7.6,11.6,0,0,0,0,0,0,9.9,148.2
8,Cole Kmet,CHI,TE,17,69,50,72.5,544,7,50,7.9,10.9,2,9,4.5,0,1,0,8.7,147.3
9,Taysom Hill,NO,TE,16,13,9,69.2,77,2,30,5.9,8.6,96,575,6,7,2,0,9.1,145.8
10,Dalton Schultz,DAL,TE,15,89,57,64,577,5,30,6.5,10.1,0,0,0,0,1,1,9.5,142.7
11,Dallas Goedert,PHI,TE,12,69,55,79.7,702,3,31,10.2,12.8,0,0,0,0,1,1,11.8,141.2
12,Gerald Everett,LAC,TE,16,87,58,66.7,555,4,26,6.4,9.6,1,0,0,0,0,0,8.7,139.5
13,Dawson Knox,BUF,TE,15,65,48,73.8,517,6,45,8,10.8,0,0,0,0,0,0,9,135.7
14,Juwan Johnson,NO,TE,16,65,42,64.6,508,7,41,7.8,12.1,0,0,0,0,0,0,8.4,134.8
15,Tyler Conklin,NYJ,TE,16,83,56,67.5,539,3,30,6.5,9.6,2,3,1.5,0,2,0,8,128.2
16,David Njoku,CLE,TE,13,75,54,72,586,3,38,7.8,10.9,2,-8,-4,0,1,1,9.8,127.8
17,Noah Fant,SEA,TE,17,63,50,79.4,486,4,51,7.7,9.7,0,0,0,0,0,0,7.2,122.6
18,Zach Ertz,ARI,TE,10,69,47,68.1,406,4,32,5.9,8.6,0,0,0,0,0,0,11.6,115.6
19,Robert Tonyan,GB,TE,17,67,53,79.1,470,2,24,7,8.9,0,0,0,0,0,0,6.6,112
20,Hayden Hurst,CIN,TE,13,68,52,76.5,414,2,29,6.1,8,0,0,0,0,0,0,8.1,105.4
21,Hunter Henry,NE,TE,17,59,41,69.5,509,2,39,8.6,12.4,0,0,0,0,0,0,6.1,103.9
22,Austin Hooper,TEN,TE,17,60,41,68.3,444,2,24,7.4,10.8,0,0,0,0,0,0,5.7,97.4
23,Chigoziem Okonkwo,TEN,TE,17,46,32,69.6,450,3,48,9.8,14.1,3,2,0.7,0,0,0,5.7,97.2
24,Cade Otton,TB,TE,16,65,42,64.6,391,2,35,6,9.3,0,0,0,0,0,0,5.8,93.1
25,Jordan Akins,HOU,TE,14,46,33,71.7,425,3,46,9.2,12.9,0,0,0,0,1,1,6.5,91.5
26,Isaiah Likely,BAL,TE,16,60,36,60,373,3,34,6.2,10.4,0,0,0,0,0,0,5.7,91.3
27,Mike Gesicki,MIA,TE,16,46,28,60.9,316,5,30,6.9,11.3,0,0,0,0,0,0,5.6,89.6
28,Will Dissly,SEA,TE,15,38,34,89.5,349,3,38,9.2,10.3,0,0,0,0,0,0,5.8,86.9
29,Greg Dulcich,DEN,TE,10,55,33,60,411,2,39,7.5,12.5,0,0,0,0,0,0,8.6,86.1
30,Foster Moreau,LV,TE,15,54,33,61.1,420,2,33,7.8,12.7,0,2,0,0,1,1,5.7,85.2
31,Darren Waller,LV,TE,9,43,28,65.1,388,3,34,9,13.9,0,0,0,0,0,0,9.4,84.8
32,Logan Thomas,WAS,TE,14,61,39,63.9,323,1,27,5.3,8.3,0,0,0,0,0,0,5.5,77.3
33,Kyle Pitts,ATL,TE,10,59,28,47.5,356,2,33,6,12.7,0,0,0,0,0,0,7.6,75.6
34,Daniel Bellinger,NYG,TE,12,35,30,85.7,268,2,24,7.7,8.9,1,2,2,1,1,1,6.2,75
35,Jelani Woods,IND,TE,14,36,24,66.7,303,3,36,8.4,12.6,0,0,0,0,1,0,5.2,72.3
36,Noah Gray,KC,TE,17,34,28,82.4,299,1,27,8.8,10.7,1,1,1,1,0,0,4.1,70
37,Colby Parkinson,SEA,TE,17,34,25,73.5,322,2,39,9.5,12.9,0,0,0,0,0,0,4.1,69.2
38,Brock Wright,DET,TE,17,24,18,75,216,4,51,9,12,0,0,0,0,0,0,3.7,63.6
