rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,266.84670846517827,1.0,0.5,1.01,1.05
1,Najee Harris,RB,24.0,2022,258.4037982581513,7.0,2.0,1.01,2.03
2,Alvin Kamara,RB,27.0,2022,233.42527498810827,18.0,3.4,1.03,3.06
3,James Conner,RB,27.0,2022,233.42527498810827,33.0,3.8,1.12,4.09
4,Austin Ekeler,RB,27.0,2022,217.15353052266335,5.0,1.4,1.01,1.11
5,Jamaal Williams,RB,27.0,2022,217.15353052266335,142.0,9.4,8.12,15.06
6,Dalvin Cook,RB,27.0,2022,207.73779419257204,8.0,1.8,1.01,2.03
7,Aaron Jones,RB,28.0,2022,207.16130766361624,16.0,2.6,1.02,3.02
8,Javonte Williams,RB,22.0,2022,199.06239100900555,21.0,3.6,1.01,3.1
9,Ezekiel Elliott,RB,27.0,2022,192.40439626176902,27.0,3.6,1.05,4.06
10,Justin Herbert,QB,24.0,2022,190.7096158021649,35.0,5.1,1.02,5.08
11,Antonio Gibson,RB,24.0,2022,190.7096158021649,45.0,5.3,1.06,6.08
12,Josh Jacobs,RB,24.0,2022,190.27287372169508,48.0,5.4,1.12,7.02
13,Christian McCaffrey,RB,26.0,2022,185.75506507542264,2.0,0.8,1.01,1.08
14,Nick Chubb,RB,27.0,2022,183.6262741062871,14.0,2.8,1.01,3.01
15,D'Andre Swift,RB,23.0,2022,179.07850384613496,12.0,2.1,1.02,2.09
16,David Montgomery,RB,25.0,2022,174.9184022686298,32.0,3.8,2.04,5.11
17,James Robinson,RB,24.0,2022,174.17795377937185,86.0,7.0,3.1,9.1
18,Leonard Fournette,RB,27.0,2022,163.9284504899627,24.0,3.7,1.01,3.12
19,Joe Mixon,RB,26.0,2022,158.2871267578753,10.0,2.0,1.01,2.07
20,Michael Carter,RB,23.0,2022,153.02558254268607,104.0,7.4,2.05,11.06
21,Elijah Mitchell,RB,24.0,2022,151.28795901447447,47.0,4.9,2.11,6.04
22,Miles Sanders,RB,25.0,2022,149.1714433088015,64.0,5.6,3.07,7.11
