,Model Name,Position,Mean Square Error,R2 Score
0,LinearRegression,QB,14525.000299243286,0.0
4,Ridge,QB,14459.716758605475,0.0
8,Lasso,QB,13732.873348733561,0.0
12,BayesianRidge,QB,11496.713988486628,0.0
16,RandomForestRegressor,QB,18741.926320438924,0.0
20,KNeighborsRegressor,QB,14433.145586666667,0.0
24,MLPRegressor,QB,16050.90377811545,0.0
13,BayesianRidge,RB,7780.016148557114,-3.852477398634275e+31
9,Lasso,RB,7884.613381918976,-3.904271439905125e+31
5,Ridge,RB,8134.71245491381,-4.0281145024045096e+31
1,LinearRegression,RB,8135.5944343069,-4.028551237446322e+31
25,MLPRegressor,RB,8805.016052309596,-4.360032767081818e+31
21,KNeighborsRegressor,RB,9125.833303030304,-4.518893775066066e+31
17,RandomForestRegressor,RB,9324.516542138963,-4.617276949797074e+31
23,KNeighborsRegressor,TE,6473.462222222223,-1.2822012924304327e+32
7,Ridge,TE,6575.771066245471,-1.3024656467327337e+32
3,LinearRegression,TE,6575.872476078872,-1.3024857330196367e+32
11,Lasso,TE,6588.878467453393,-1.3050618350153359e+32
15,BayesianRidge,TE,6768.694451331036,-1.3406780599986366e+32
27,MLPRegressor,TE,7504.014817505707,-1.4863232636769744e+32
19,RandomForestRegressor,TE,9636.07933438806,-1.9086221487631033e+32
14,BayesianRidge,WR,8658.660337813393,-1.715024371000236e+32
2,LinearRegression,WR,8849.363015245994,-1.7527969277990747e+32
6,Ridge,WR,8849.640282634191,-1.7528518462633047e+32
10,Lasso,WR,8879.347831955134,-1.7587360326270552e+32
26,MLPRegressor,WR,9880.80960849298,-1.957095973585466e+32
22,KNeighborsRegressor,WR,11936.649095890409,-2.3642969361123794e+32
18,RandomForestRegressor,WR,13158.706572653758,-2.6063503570393257e+32
