,Model Name,Position,Mean Square Error,R2 Score
28,MLPRegressor,QB,6773.577637991938,0.5342256322980135
20,RandomForestRegressor,QB,6806.946161393314,0.5319310984904654
12,BayesianRidge,QB,6995.271666914542,0.5189811925553337
16,ElasticNet,QB,7480.596389621179,0.4856086045479362
8,Lasso,QB,7751.51944410393,0.4669790086177411
24,KNeighborsRegressor,QB,8261.663836144578,0.43189973525019054
0,LinearRegression,QB,9366.085846485525,0.3559559000961565
4,Ridge,QB,9503.154583222495,0.34653058490861266
21,RandomForestRegressor,RB,3786.8014481658165,0.4192169900764109
29,MLPRegressor,RB,3986.4492635857396,0.3885969375726245
13,BayesianRidge,RB,4079.805600625799,0.37427884480654383
17,ElasticNet,RB,4168.693896248318,0.3606460170532879
9,Lasso,RB,4182.660296372389,0.35850398557556573
5,Ridge,RB,4233.73472862022,0.3506706827480828
1,LinearRegression,RB,4234.382491166385,0.3505713351888229
25,KNeighborsRegressor,RB,4423.786454761905,0.32152238567979985
31,MLPRegressor,TE,1789.5932354300246,0.5162791686041444
15,BayesianRidge,TE,1936.4116665663921,0.47659465696904446
23,RandomForestRegressor,TE,1951.8260480269057,0.4724282032364784
19,ElasticNet,TE,1973.3430949273136,0.46661222024671933
11,Lasso,TE,1974.5857482636839,0.4662763353690246
7,Ridge,TE,1974.9659861245475,0.46617355839683683
3,LinearRegression,TE,1974.9870108336788,0.4661678754910348
27,KNeighborsRegressor,TE,2005.8400949152544,0.45782839410074005
22,RandomForestRegressor,WR,3872.2135538598636,0.45969474914224195
30,MLPRegressor,WR,4044.7820453669124,0.43561558594605954
10,Lasso,WR,4283.665839526015,0.402283186652036
18,ElasticNet,WR,4289.293986278167,0.40149786910679
6,Ridge,WR,4289.56590099211,0.4014599277727996
2,LinearRegression,WR,4289.61386142384,0.4014532356643359
14,BayesianRidge,WR,4318.747232008942,0.3973881414014886
26,KNeighborsRegressor,WR,5038.30771629956,0.29698502505362345
