,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
116,Breece Hall,RB,21,2022,58.961000000000006,31.0,6.3,14.0,51.0
117,D'Onta Foreman,RB,26,2022,58.052,,,,
118,Justice Hill,RB,25,2022,57.79900000000001,,,,
119,Jamaal Williams,RB,27,2022,57.605999999999995,99.0,12.0,63.0,124.0
120,Zamir White,RB,23,2022,55.696000000000055,170.0,19.6,95.0,185.0
121,Dare Ogunbowale,RB,28,2022,53.39600000000002,,,,
122,Javonte Williams,RB,22,2022,52.595,65.0,14.8,31.0,90.0
123,Kyren Williams,RB,22,2022,52.595,,,,
125,Malik Davis,RB,24,2022,52.49,,,,
127,Tony Pollard,RB,25,2022,51.300999999999995,15.0,2.9,7.0,25.0
128,Demetric Felton,RB,24,2022,50.44600000000005,,,,
129,Khalil Herbert,RB,24,2022,49.76200000000003,109.0,9.3,81.0,121.0
130,Craig Reynolds,RB,26,2022,48.779999999999994,,,,
131,Jonathan Williams,RB,28,2022,48.53500000000001,,,,
132,Keaontay Ingram,RB,23,2022,43.370000000000026,,,,
134,Kenneth Gainwell,RB,23,2022,43.370000000000026,127.0,18.2,74.0,176.0
135,Zonovan Knight,RB,21,2022,43.123999999999995,,,,
136,Trayveon Williams,RB,25,2022,42.156000000000006,,,,
137,Kevin Harris,RB,22,2022,41.83800000000003,,,,
138,Matt Breida,RB,27,2022,40.331999999999965,,,,
139,Mike Boone,RB,27,2022,40.331999999999965,,,,
140,J.K. Dobbins,RB,24,2022,40.21800000000002,54.0,8.1,34.0,78.0
141,Pierre Strong,RB,24,2022,40.21800000000002,,,,
142,Hassan Haskins,RB,23,2022,39.486,,,,
143,Anthony McFarland Jr.,RB,23,2022,39.480000000000004,,,,
144,Trey Sermon,RB,23,2022,39.480000000000004,,,,
145,Jaret Patterson,RB,23,2022,39.480000000000004,,,,
146,Travis Homer,RB,24,2022,38.729999999999976,,,,
147,Benny Snell Jr.,RB,24,2022,38.729999999999976,,,,
148,Royce Freeman,RB,26,2022,37.82599999999999,,,,
150,Mike Boone,RB,27,2022,37.799000000000014,,,,
151,Matt Breida,RB,27,2022,37.799000000000014,,,,
152,Jordan Mason,RB,23,2022,37.73,,,,
153,Jaret Patterson,RB,23,2022,37.568000000000005,,,,
154,Trey Sermon,RB,23,2022,37.568000000000005,,,,
155,Anthony McFarland Jr.,RB,23,2022,37.568000000000005,,,,
156,Corey Clement,RB,28,2022,37.54600000000001,,,,
157,J.J. Taylor,RB,24,2022,30.630999999999993,,,,
158,Raheem Blackshear,RB,23,2022,30.483999999999984,,,,
159,Avery Williams,RB,24,2022,29.923000000000012,,,,
160,Darrynton Evans,RB,24,2022,29.923000000000012,,,,
161,Tyrion Davis-Price,RB,22,2022,29.912000000000006,,,,
162,Gary Brightwell,RB,23,2022,29.877000000000002,,,,
163,Michael Carter,RB,23,2022,29.877000000000002,145.0,16.7,100.0,180.0
164,Ke'Shawn Vaughn,RB,25,2022,29.785000000000014,,,,
165,Godwin Igwebuike,RB,28,2022,28.96400000000001,,,,
166,Kene Nwangwu,RB,24,2022,25.71300000000001,,,,
167,Tony Jones,RB,25,2022,25.63900000000001,,,,
168,Trestan Ebner,RB,23,2022,23.53900000000001,,,,
169,Ty Chandler,RB,24,2022,22.636999999999986,,,,
170,Dwayne Washington,RB,28,2022,22.383000000000006,,,,
171,Jerome Ford,RB,23,2022,22.215999999999994,186.0,23.0,107.0,210.0
172,Deon Jackson,RB,23,2022,20.704999999999995,,,,
174,Isaiah Spiller,RB,21,2022,19.976999999999983,197.0,15.4,122.0,178.0
175,Julius Chestnut,RB,22,2022,17.74499999999999,,,,
176,Larry Rountree,RB,23,2022,15.74299999999999,,,,
178,Ronnie Rivers,RB,23,2022,15.74299999999999,,,,
179,Kylin Hill,RB,24,2022,15.409,,,,
180,Spencer Brown,RB,24,2022,15.409,,,,
181,Snoop Conner,RB,22,2022,14.590999999999985,,,,
182,Kylin Hill,RB,24,2022,14.360000000000005,,,,
183,Spencer Brown,RB,24,2022,14.360000000000005,,,,
185,Reggie Bonnafon,RB,26,2022,11.481000000000005,,,,
186,Patrick Taylor,RB,24,2022,10.394999999999996,,,,
187,Tyler Badie,RB,22,2022,9.298000000000002,,,,
188,Devine Ozigbo,RB,26,2022,8.146000000000006,,,,
190,Ronnie Rivers,RB,23,2022,7.9325,,,,
191,Larry Rountree,RB,23,2022,7.9325,,,,
