,Player,Position,Age,ovr_score,passing_yds_score,rush_yds_score,Overall,High,Low
64,Jeff Driskel,QB,29,0.15764182104401175,0.10048672249516857,0.057155098548843195,,,
65,Jordan Love,QB,24,0.15513540350333108,0.14594517214086322,0.009190231362467865,158.9,103.0,205.0
66,Anthony Brown,QB,24,0.15378275307191042,0.14465678906162766,0.009125964010282775,,,
67,Brett Rypien,QB,26,0.14907425756511056,0.13442130126691004,0.014652956298200511,,,
68,Nick Foles,QB,33,0.14853793728810372,0.13409920549710114,0.014438731791002569,,,
69,Bryce Perkins,QB,26,0.1381637210714829,0.08923484360747262,0.04892887746401028,,,
70,Trevor Siemian,QB,31,0.1354484334885941,0.1248443203779257,0.010604113110668379,,,
71,John Wolford,QB,27,0.12573091635693345,0.09805311001503114,0.02767780634190231,,,
72,C.J. Beathard,QB,29,0.10510296392504694,0.09278505475628086,0.012317909168766067,,,
73,Brandon Allen,QB,30,0.10490523062643743,0.09372271134636032,0.01118251928007712,,,
74,Tyrod Taylor,QB,33,0.0796939823412752,0.049531171715696806,0.0301628106255784,,,
75,Nick Mullens,QB,27,0.07967400430447501,0.053174432753575265,0.026499571550899742,,,
76,Brian Hoyer,QB,37,0.07845971429249608,0.06817693794288168,0.010282776349614395,,,
77,Tim Boyle,QB,28,0.054475125576826905,0.04453510843890917,0.009940017137917739,,,
78,Jacob Eason,QB,25,0.05062859735710347,0.04857204208718059,0.002056555269922879,,,
79,Nathan Peterman,QB,28,0.030942501351035816,0.012690573330470259,0.018251928020565557,,,
80,Chase Daniel,QB,36,0.02929357985248704,0.012948249946317372,0.016345329906169666,,,
81,Davis Webb,QB,27,0.024785775492673516,0.0,0.024785775492673516,,,
82,Chris Streveler,QB,27,0.019215938303727503,0.0,0.019215938303727503,,,
83,Case Keenum,QB,34,0.012392887746786633,0.0,0.012392887746786633,,,
84,Josh Johnson,QB,36,0.012317909168766066,0.0,0.012317909168766066,,,
85,Chad Henne,QB,37,0.01030419880025707,0.0,0.01030419880025707,,,
86,Taysom Hill,QB,32,0.010282776349614395,0.0,0.010282776349614395,155.8,120.0,202.0
87,Logan Thomas,QB,31,0.010282776349614395,0.0,0.010282776349614395,,,
88,Taysom Hill,QB,32,0.010282776349614395,0.0,0.010282776349614395,155.8,120.0,202.0
89,Ryan Griffin,QB,32,0.010282776349614395,0.0,0.010282776349614395,,,
90,Blaine Gabbert,QB,33,0.006448815476936341,0.00027914966716770457,0.006169665809768637,,,
91,Feleipe Franks,QB,25,0.002056555269922879,0.0,0.002056555269922879,,,
92,Kyle Trask,QB,24,0.0004938801803736311,0.0004938801803736311,0.0,,,
