,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
173,Pharaoh Brown,TE,28,2022,7.810532031434278,,,,
176,Maxx Williams,TE,28,2022,7.741192325295259,,,,
177,Stephen Anderson,TE,29,2022,6.8382396394908085,,,,
182,Devin Asiasi,TE,25,2022,6.656560784008903,,,,
183,Zach Gentry,TE,26,2022,6.535908590353273,,,,
187,Jesper Horsted,TE,25,2022,5.952377811790697,,,,
188,Albert Okwuegbunam,TE,24,2022,5.876251400080676,,,,
189,Grant Calcaterra,TE,24,2022,5.876251400080676,,,,
191,Josh Oliver,TE,25,2022,5.236311279952702,,,,
192,Feleipe Franks,TE,25,2022,3.6671720144654216,,,,
193,Noah Togiai,TE,25,2022,3.6671720144654216,,,,
194,Charlie Woerner,TE,25,2022,3.6671720144654216,,,,
198,Sean McKeon,TE,25,2022,3.3439199379301385,,,,
199,T.J. Hockenson,TE,25,2022,3.3439199379301385,40.0,7.0,24.0,64.0
201,Jake Tonges,TE,23,2022,3.1141133084138204,,,,
203,Tyler Davis,TE,25,2022,2.6505571090121123,,,,
205,Jeremy Ruckert,TE,22,2022,2.465170910196875,,,,
206,Brevin Jordan,TE,22,2022,2.465170910196875,,,,
207,Teagan Quitoriano,TE,22,2022,2.465170910196875,,,,
209,MyCole Pruitt,TE,30,2022,1.6475674899723458,,,,
210,Trey McBride,TE,23,2022,0.7563912395907124,,,,
211,Colby Parkinson,TE,23,2022,0.7563912395907124,,,,
213,Stone Smartt,TE,24,2022,0.14905291778765672,,,,
214,Miller Forristall,TE,24,2022,-0.7564372238158086,,,,
215,Tanner Conner,TE,24,2022,-0.7564372238158086,,,,
216,Miller Forristall,TE,24,2022,-0.7564372238158086,,,,
217,Tanner Conner,TE,24,2022,-0.7564372238158086,,,,
220,Charlie Kolar,TE,23,2022,-1.4629025187274038,,,,
222,Giovanni Ricci,TE,26,2022,-4.530719587388305,,,,
223,Feleipe Franks,TE,25,2022,-4.6269877560454375,,,,
224,Charlie Woerner,TE,25,2022,-4.6269877560454375,,,,
225,Noah Togiai,TE,25,2022,-4.6269877560454375,,,,
226,Jack Stoll,TE,24,2022,-5.540114810704665,,,,
229,Charlie Woerner,TE,25,2022,-6.0449721995195915,,,,
230,Noah Togiai,TE,25,2022,-6.0449721995195915,,,,
231,Feleipe Franks,TE,25,2022,-6.0449721995195915,,,,
233,David Njoku,TE,26,2022,-6.174296420380443,107.0,11.4,72.0,144.0
235,Shane Zylstra,TE,26,2022,-6.174296420380443,,,,
236,Lawrence Cager,TE,25,2022,-6.223323474388621,,,,
239,Kendall Blanton,TE,27,2022,-6.262308706153277,,,,
240,Tommy Sweeney,TE,27,2022,-6.262308706153277,,,,
241,Armani Rogers,TE,25,2022,-6.981346199948746,,,,
242,Donald Parham,TE,25,2022,-6.981346199948746,,,,
243,Tyler Kroft,TE,30,2022,-7.566269852489668,,,,
244,Stephen Sullivan,TE,26,2022,-7.961657705266276,,,,
248,Ross Dwelley,TE,27,2022,-8.705288160450223,,,,
257,Luke Farrell,TE,25,2022,-9.55675321161354,,,,
258,Eric Saubert,TE,28,2022,-13.094983777828261,,,,
259,Parker Hesse,TE,27,2022,-13.790960942691981,,,,
260,Drew Sample,TE,26,2022,-14.242056737243331,,,,
263,Ben Ellefson,TE,26,2022,-14.242056737243331,,,,
265,Tyler Mabry,TE,26,2022,-14.242056737243331,,,,
267,Trevon Wesco,TE,27,2022,-14.441116562800815,,,,
270,Mitchell Wilcox,TE,26,2022,-14.780122522691428,,,,
273,John Bates,TE,25,2022,-17.779695623582356,,,,
274,Brycen Hopkins,TE,25,2022,-17.779695623582356,,,,
275,Chris Manhertz,TE,30,2022,-18.4563655297992,,,,
276,Johnny Mundt,TE,28,2022,-19.874495347620694,,,,
278,Ben Ellefson,TE,26,2022,-20.175108184437832,,,,
279,Tyler Mabry,TE,26,2022,-20.175108184437832,,,,
282,Drew Sample,TE,26,2022,-20.175108184437832,,,,
283,Tanner Hudson,TE,28,2022,-21.203062918902262,,,,
284,Gerald Everett,TE,28,2022,-21.203062918902262,155.0,16.9,96.0,180.0
286,Mason Schreck,TE,29,2022,-22.06792952898897,,,,
289,Marcedes Lewis,TE,38,2022,-25.5419636579216,,,,
292,Blake Bell,TE,31,2022,-26.377952565688446,,,,
293,Jordan Akins,TE,30,2022,-30.23676685039986,,,,
294,Eric Tomlinson,TE,30,2022,-30.23676685039986,,,,
296,Kendall Blanton,TE,27,2022,-35.10810099010719,,,,
297,Tommy Sweeney,TE,27,2022,-35.10810099010719,,,,
