,Rushing_Rk,Player,Rushing_Age,Rushing_Team,Rushing_Pos,Rushing_G,Rushing_GS,Rushing_Att,Rushing_Yds,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Rushing_Awards,Rushing_-9999,Receiving_Rk,Receiving_Age,Receiving_Team,Receiving_Pos,Receiving_G,Receiving_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Receiving_Awards,Receiving_-9999,great_season_probability_prediction
14,15,Rico Dowdle,26,DAL,RB,16,15,235,1079,53,570,2.4,509,2.2,11,21.4,,DowdRi01,116,26,DAL,RB,16,15,49,39,249,13,-23,-0.6,272,7.0,-0.1,3,13.0,2,4.1,0,108.2,,DowdRi01,0.6400622
12,13,Joe Mixon,28,HOU,RB,14,14,245,1016,52,549,2.2,467,1.9,19,12.9,PB,MixoJo00,134,28,HOU,RB,14,14,52,36,309,12,-51,-1.4,360,10.0,-0.5,6,6.0,4,7.7,0,90.9,PB,MixoJo00,0.6400622
9,10,D'Andre Swift,25,CHI,RB,17,17,253,959,43,511,2.0,448,1.8,7,36.1,,SwifDA00,107,25,CHI,RB,17,17,52,42,386,12,-19,-0.5,405,9.6,0.0,2,21.0,3,5.8,1,89.6,,SwifDA00,0.6400622
13,14,James Conner,29,ARI,RB,16,16,236,1094,67,528,2.2,566,2.4,24,9.8,,ConnJa00,85,29,ARI,RB,16,16,55,47,414,17,-69,-1.5,483,10.3,-1.6,12,3.9,2,3.6,2,88.9,,ConnJa00,0.6277901
7,8,Tony Pollard,27,TEN,RB,16,16,260,1079,53,521,2.0,558,2.1,22,11.8,,PollTo00,109,27,TEN,RB,16,16,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14.0,1,72.1,,PollTo00,0.6277901
19,20,Bucky Irving,22,TAM,RB,17,3,207,1122,52,566,2.7,556,2.7,12,17.3,AP ORoY-6,IrviBu00,88,22,TAM,RB,17,3,52,47,392,16,-136,-2.9,528,11.2,-2.7,6,7.8,1,1.9,0,98.1,AP ORoY-6,IrviBu00,0.6277901
6,7,Najee Harris,26,PIT,RB,17,17,263,1043,50,502,1.9,541,2.1,22,12.0,,HarrNa00,130,26,PIT,RB,17,17,48,36,283,13,-46,-1.3,329,9.1,-1.5,7,5.1,4,8.3,0,89.1,,HarrNa00,0.6277901
21,22,De'Von Achane,23,MIA,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,,AchaDe00,24,23,MIA,RB,17,16,87,78,592,30,-73,-0.9,665,8.5,-0.4,5,15.6,2,2.3,0,118.0,,AchaDe00,0.41390815
16,17,Alvin Kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,,KamaAl00,35,29,NOR,RB,14,14,89,68,543,18,1,0.0,542,8.0,0.9,2,34.0,8,9.0,1,94.0,,KamaAl00,0.40231502
24,25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,39,511,2.7,328,1.7,6,32.0,,TracTy00,122,25,NYG,RB,17,12,53,38,284,13,3,0.1,281,7.4,0.3,6,6.3,5,9.4,1,82.6,,TracTy00,0.27611557
15,16,Chase Brown,24,CIN,RB,16,10,229,990,49,599,2.6,391,1.7,23,10.0,,BrowCh10,65,24,CIN,RB,16,10,65,54,360,23,34,0.6,326,6.0,0.8,2,27.0,2,3.1,0,110.3,,BrowCh10,0.27611557
27,29,Jordan Mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,,MasoJo00,270,25,SFO,RB,12,6,14,11,91,5,32,2.9,59,5.4,3.7,1,11.0,0,0.0,0,93.7,,MasoJo00,0.19719075
17,18,Breece Hall,23,NYJ,RB,16,16,209,876,40,432,2.1,444,2.1,7,29.9,,HallBr03,60,23,NYJ,RB,16,16,76,57,483,15,-13,-0.2,496,8.7,0.2,6,9.5,9,11.8,0,104.2,,HallBr03,0.15279497
23,24,J.K. Dobbins,26,LAC,RB,13,11,195,905,47,416,2.1,489,2.5,24,8.1,AP CPoY-2,DobbJK00,146,26,LAC,RB,13,11,38,32,153,6,-51,-1.6,204,6.4,-1.2,1,32.0,2,5.3,0,83.4,AP CPoY-2,DobbJK00,0.104303904
22,23,Kareem Hunt,29,KAN,RB,13,8,200,728,42,399,2.0,329,1.6,7,28.6,,HuntKa00,186,29,KAN,RB,13,8,32,23,176,10,-40,-1.7,216,9.4,-1.9,4,5.8,0,0.0,0,84.9,,HuntKa00,0.05902482
25,26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,47,378,2.0,421,2.3,10,18.7,,RobiBr01,200,25,WAS,RB,14,13,25,20,159,4,-20,-1.0,179,9.0,-0.9,1,20.0,0,0.0,1,76.5,,RobiBr01,0.0436142
20,21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,40,370,1.8,431,2.1,14,14.8,,StevRh00,142,26,NWE,RB,15,14,41,33,168,8,-69,-2.1,237,7.2,-1.0,3,11.0,1,2.4,0,91.9,,StevRh00,0.0436142
26,27,David Montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,,MontDa01,135,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0.0,0,104.1,,MontDa01,0.0436142
54,70,Ameer Abdullah,31,LVR,RB,16,3,66,311,14,183,2.8,128,1.9,5,13.2,,AbduAm00,111,31,LVR,RB,16,3,47,40,261,16,9,0.2,252,6.3,0.7,2,20.0,0,0.0,0,111.1,,AbduAm00,0.041548356
47,55,Isaac Guerendo,24,SFO,RB,16,3,84,420,18,180,2.1,240,2.9,3,28.0,,GuerIs00,231,24,SFO,RB,16,3,16,15,152,7,45,3.0,107,7.1,3.1,1,15.0,0,0.0,0,106.2,,GuerIs00,0.041548356
48,56,Tyjae Spears,23,TEN,RB,12,1,84,312,19,128,1.5,184,2.2,13,6.5,,SpeaTy00,162,23,TEN,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4,7.5,1,2.9,0,102.9,,SpeaTy00,0.041548356
49,57,Isiah Pacheco,25,KAN,RB,7,6,83,310,14,182,2.2,128,1.5,0,,,PachIs00,258,25,KAN,RB,7,6,16,12,79,4,-40,-3.3,119,9.9,-1.4,1,12.0,1,6.3,0,85.2,,PachIs00,0.041548356
50,60,Austin Ekeler,29,WAS,RB,12,6,77,367,19,231,3.0,136,1.8,3,25.7,AP-2,EkelAu00,137,29,WAS,RB,12,6,41,35,366,14,-58,-1.7,424,12.1,-1.4,4,8.8,2,4.9,0,103.9,AP-2,EkelAu00,0.041548356
51,62,Kenneth Gainwell,25,PHI,RB,17,1,75,290,12,162,2.2,128,1.7,3,25.0,,GainKe00,226,25,PHI,RB,17,1,22,16,116,5,8,0.5,108,6.8,1.0,4,4.0,0,0.0,0,84.7,,GainKe00,0.041548356
52,63,Ezekiel Elliott,29,DAL,RB,15,2,74,226,14,115,1.6,111,1.5,2,37.0,,ElliEz00,249,29,DAL,RB,15,2,15,12,69,3,-28,-2.3,97,8.1,-1.8,1,12.0,0,0.0,0,85.8,,ElliEz00,0.041548356
53,64,Zack Moss,27,CIN,RB,8,6,74,242,13,166,2.2,76,1.0,4,18.5,,MossZa00,188,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,,MossZa00,0.041548356
55,79,Trey Sermon,25,IND,RB,17,3,56,159,14,75,1.3,84,1.5,3,18.7,,SermTr00,228,25,IND,RB,17,3,19,16,99,3,0,0.0,99,6.2,0.3,1,16.0,1,5.3,0,88.4,,SermTr00,0.041548356
56,81,Roschon Johnson,23,CHI,RB,14,0,55,150,17,80,1.5,70,1.3,0,,,JohnRo07,227,23,CHI,RB,14,0,20,16,104,6,8,0.5,96,6.0,0.6,4,4.0,0,0.0,0,88.3,,JohnRo07,0.041548356
57,83,Miles Sanders,27,CAR,RB,11,2,55,205,12,124,2.3,81,1.5,2,27.5,,SandMi01,183,27,CAR,RB,11,2,30,24,148,5,-2,-0.1,150,6.3,1.4,1,24.0,0,0.0,1,84.4,,SandMi01,0.041548356
58,87,Christian McCaffrey,28,SFO,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,,McCaCh01,232,28,SFO,RB,4,4,19,15,146,6,48,3.2,98,6.5,3.2,1,15.0,0,0.0,1,76.8,,McCaCh01,0.041548356
59,90,Justice Hill,27,BAL,RB,15,0,47,228,14,90,1.9,138,2.9,6,7.8,,HillJu00,105,27,BAL,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5,8.4,2,3.9,1,109.4,,HillJu00,0.041548356
60,96,Deebo Samuel,28,SFO,WR,15,15,42,136,5,67,1.6,69,1.6,1,42.0,,SamuDe00,74,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,,SamuDe00,0.041548356
61,97,Ty Johnson,27,BUF,RB,17,1,41,213,13,106,2.6,107,2.6,2,20.5,,JohnTy02,216,27,BUF,RB,17,1,25,18,284,14,114,6.3,170,9.4,8.2,1,18.0,0,0.0,0,149.0,,JohnTy02,0.041548356
45,51,Braelon Allen,20,NYJ,RB,17,2,92,334,22,143,1.6,191,2.1,4,23.0,,AlleBr05,205,20,NYJ,RB,17,2,27,19,148,8,-15,-0.8,163,8.6,-0.2,2,9.5,4,14.8,0,95.9,,AlleBr05,0.041548356
46,54,Raheem Mostert,32,MIA,RB,13,1,85,278,13,143,1.7,135,1.6,1,85.0,,MostRa00,211,32,MIA,RB,13,1,23,19,161,10,15,0.8,146,7.7,0.6,2,9.5,0,0.0,0,95.8,,MostRa00,0.041548356
31,36,Javonte Williams,24,DEN,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,,WillJa10,70,24,DEN,RB,17,11,70,52,346,14,-49,-0.9,395,7.6,-0.3,4,13.0,7,10.0,0,84.6,,WillJa10,0.041548356
44,47,Emanuel Wilson,25,GNB,RB,17,0,103,502,27,260,2.5,242,2.3,9,11.4,,WilsEm00,273,25,GNB,RB,17,0,14,11,48,3,-51,-4.6,99,9.0,-4.5,1,11.0,0,0.0,0,104.8,,WilsEm00,0.041548356
35,40,Antonio Gibson,26,NWE,RB,17,3,120,538,24,215,1.8,323,2.7,12,10.0,,GibsAn00,184,26,NWE,RB,17,3,29,23,206,11,-7,-0.3,213,9.3,1.8,3,7.7,1,3.4,2,67.5,,GibsAn00,0.041548356
28,30,Kenneth Walker III,24,SEA,RB,11,11,153,573,28,263,1.7,310,2.0,13,11.8,,WalkKe00,94,24,SEA,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5,9.2,2,3.8,1,88.6,,WalkKe00,0.041548356
29,31,Travis Etienne,25,JAX,RB,15,15,150,558,31,283,1.9,275,1.8,3,50.0,,EtieTr00,117,25,JAX,RB,15,15,52,39,254,13,-42,-1.1,296,7.6,0.2,4,9.8,2,3.8,1,76.9,,EtieTr00,0.041548356
30,34,Rachaad White,25,TAM,RB,16,15,144,613,35,231,1.6,382,2.7,9,16.0,,WhitRa01,75,25,TAM,RB,16,15,57,51,393,18,-123,-2.4,516,10.1,-1.9,3,17.0,0,0.0,0,130.5,,WhitRa01,0.041548356
32,37,Tyler Allgeier,24,ATL,RB,17,0,137,644,43,288,2.1,356,2.6,7,19.6,,AllgTy00,241,24,ATL,RB,17,0,13,13,88,2,-5,-0.4,93,7.2,-0.4,2,6.5,0,0.0,0,94.9,,AllgTy00,0.041548356
33,38,Zach Charbonnet,23,SEA,RB,17,6,135,569,32,267,2.0,302,2.2,12,11.3,,CharZa00,103,23,SEA,RB,17,6,52,42,340,6,-37,-0.9,377,9.0,-0.9,0,,0,0.0,1,92.3,,CharZa00,0.041548356
34,39,Alexander Mattison,26,LVR,RB,14,7,132,420,25,209,1.6,211,1.6,7,18.9,,MattAl01,133,26,LVR,RB,14,7,48,36,294,13,-20,-0.6,314,8.7,-0.1,6,6.0,2,4.2,2,79.7,,MattAl01,0.041548356
36,41,Jaylen Warren,26,PIT,RB,15,0,120,511,28,279,2.3,232,1.9,10,12.0,,WarrJa01,123,26,PIT,RB,15,0,47,38,310,16,-5,-0.1,315,8.3,-0.1,5,7.6,1,2.1,0,94.1,,WarrJa01,0.041548356
43,46,Cam Akers,25,MIN,RB,12,0,64,297,16,142,2.2,155,2.4,5,12.8,,AkerCa00,240,25,2TM,RB,17,2,18,14,68,4,-15,-1.1,83,5.9,-1.5,0,,0,0.0,0,122.0,AP CPoY-19,AkerCa00,0.041548356
37,42,Ray Davis,25,BUF,RB,17,0,113,442,25,217,1.9,225,2.0,6,18.8,,DaviRa04,221,25,BUF,RB,17,0,19,17,189,8,25,1.5,164,9.6,0.8,0,,0,0.0,0,147.7,,DaviRa04,0.041548356
38,43,Jaleel McLaughlin,24,DEN,RB,16,5,113,496,25,302,2.7,194,1.7,8,14.1,,McLaJa00,180,24,DEN,RB,16,5,27,24,76,3,-91,-3.8,167,7.0,-3.8,1,24.0,0,0.0,0,103.9,,McLaJa00,0.041548356
39,44,Devin Singletary,27,NYG,RB,15,5,113,437,24,206,1.8,231,2.0,10,11.3,,SingDe00,195,27,NYG,RB,15,5,24,21,119,4,-59,-2.8,178,8.5,-2.8,1,21.0,1,4.2,2,52.6,,SingDe00,0.041548356
40,45,Jerome Ford,25,CLE,RB,14,6,104,565,25,345,3.3,220,2.1,5,20.8,,FordJe00,125,25,CLE,RB,14,6,43,37,225,10,-69,-1.9,294,7.9,-0.3,7,5.3,1,2.3,0,88.5,,FordJe00,0.041548356
41,46,Cam Akers,25,2TM,RB,17,2,104,444,21,226,2.2,218,2.1,7,14.9,AP CPoY-19,AkerCa00,240,25,2TM,RB,17,2,18,14,68,4,-15,-1.1,83,5.9,-1.5,0,,0,0.0,0,122.0,AP CPoY-19,AkerCa00,0.041548356
42,46,Cam Akers,25,HOU,RB,5,2,40,147,5,84,2.1,63,1.6,2,20.0,,AkerCa00,240,25,2TM,RB,17,2,18,14,68,4,-15,-1.1,83,5.9,-1.5,0,,0,0.0,0,122.0,AP CPoY-19,AkerCa00,0.041548356
62,99,Taysom Hill,34,NOR,TE,8,8,39,278,18,108,2.8,170,4.4,4,9.8,,HillTa00,185,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6.0,3.5,2,11.5,2,6.5,0,89.0,,HillTa00,0.041548356
