,Rushing_Rk,Player,Rushing_Age,Rushing_Team,Rushing_Pos,Rushing_G,Rushing_GS,Rushing_Att,Rushing_Yds,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Rushing_Awards,Rushing_-9999,Receiving_Rk,Receiving_Age,Receiving_Team,Receiving_Pos,Receiving_G,Receiving_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Receiving_Awards,Receiving_-9999,great_season_probability_prediction
0,1,Saquon Barkley,27,PHI,RB,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00,139,27,PHI,RB,16,16,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00,0.8228806
3,4,Bijan Robinson,22,ATL,RB,17,17,304,1456,82,728,2.4,728,2.4,23,13.2,PB,RobiBi01,52,22,ATL,RB,17,17,72,61,431,20,-100,-1.6,531,8.7,-0.5,5,12.2,3,4.2,0,96.2,PB,RobiBi01,0.8228806
5,6,Josh Jacobs,26,GNB,RB,17,17,301,1329,73,592,2.0,737,2.4,35,8.6,PBAP OPoY-11,JacoJo01,132,26,GNB,RB,17,17,43,36,342,15,-61,-1.7,403,11.2,-1.0,13,2.8,0,0.0,1,97.9,PBAP OPoY-11,JacoJo01,0.8228806
1,2,Derrick Henry,30,BAL,RB,17,17,325,1921,94,1012,3.1,909,2.8,42,7.7,PBAP-2AP OPoY-4,HenrDe00,207,30,BAL,RB,17,17,22,19,193,11,-23,-1.2,216,11.4,-1.1,8,2.4,1,4.5,0,133.5,PBAP-2AP OPoY-4,HenrDe00,0.8228806
11,12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,62,656,2.6,539,2.2,14,17.9,,HubbCh01,101,25,CAR,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7,6.1,2,3.7,0,86.0,,HubbCh01,0.66501015
2,3,Kyren Williams,24,LAR,RB,16,16,316,1299,85,693,2.2,606,1.9,27,11.7,AP OPoY-11,WillKy02,138,24,LAR,RB,16,16,40,34,182,6,-13,-0.4,195,5.7,-0.7,2,17.0,1,2.5,0,102.3,AP OPoY-11,WillKy02,0.66501015
4,5,Jonathan Taylor,25,IND,RB,14,13,303,1431,71,859,2.8,572,1.9,15,20.2,PBAP CPoY-19,TaylJo02,220,25,IND,RB,14,13,31,18,136,7,-14,-0.8,150,8.3,-0.3,2,9.0,3,9.7,1,66.1,PBAP CPoY-19,TaylJo02,0.66501015
8,9,Aaron Jones,30,MIN,RB,17,17,255,1138,49,614,2.4,524,2.1,11,23.2,,JoneAa00,73,30,MIN,RB,17,17,62,51,408,20,-3,-0.1,411,8.1,0.9,1,51.0,2,3.2,1,98.1,,JoneAa00,0.66501015
10,11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,70,813,3.3,599,2.4,21,11.9,PBAP OPoY-8,GibbJa01,68,22,DET,RB,17,4,63,52,517,25,-76,-1.5,593,11.4,-0.2,4,13.0,2,3.2,1,115.4,PBAP OPoY-8,GibbJa01,0.66501015
18,19,James Cook,25,BUF,RB,16,16,207,1009,48,530,2.6,479,2.3,14,14.8,PB,CookJa01,145,25,BUF,RB,16,16,38,32,258,14,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,PB,CookJa01,0.6400622
