,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
0,Justin Jefferson,WR,23.0,2022,286.70581512143076,,,6.0,1.05,WR,MIN,7.0,5.1,1.6,1.01,1.11,5284.0
1,Ja'Marr Chase,WR,22.0,2022,274.6474006643623,,,9.0,1.09,WR,CIN,10.0,8.6,1.9,1.01,2.06,5769.0
2,Cooper Kupp,WR,29.0,2022,268.6277189150926,,,4.0,1.05,WR,LAR,7.0,4.5,1.7,1.01,2.05,3991.0
3,Davante Adams,WR,30.0,2022,255.57966020719977,,,11.0,1.11,WR,LV,6.0,11.4,2.2,1.01,2.09,4020.0
4,Amon-Ra St. Brown,WR,23.0,2022,224.38353807675475,,,84.0,7.08,WR,DET,6.0,80.4,7.8,4.01,10.11,5143.0
5,Stefon Diggs,WR,29.0,2022,220.6934898362789,,,13.0,2.01,WR,BUF,7.0,13.3,2.3,1.01,2.1,5034.0
6,Chris Godwin,WR,26.0,2022,216.84161781291184,,,58.0,5.07,WR,TB,11.0,55.5,6.1,2.09,7.05,4057.0
7,D.K. Metcalf,WR,25.0,2022,215.1225027960374,,,42.0,4.03,WR,SEA,11.0,39.5,4.6,2.07,5.12,2710.0
8,CeeDee Lamb,WR,23.0,2022,212.2841216200918,,,17.0,2.04,WR,DAL,9.0,16.2,2.6,1.01,3.01,4155.0
9,Antonio Gibson,WR,24.0,2022,209.6843735523994,,,45.0,4.06,RB,WAS,14.0,42.4,5.3,1.06,6.08,2224.0
10,Deebo Samuel,WR,26.0,2022,208.72762756806662,,,19.0,2.06,WR,SF,9.0,17.8,2.7,1.03,3.04,4174.0
11,Jaylen Waddle,WR,24.0,2022,207.26552545737047,,,49.0,4.11,WR,MIA,11.0,46.8,5.6,2.09,6.06,4712.0
12,Diontae Johnson,WR,26.0,2022,203.21468060548335,,,46.0,4.08,WR,PIT,9.0,43.8,4.8,2.12,6.1,3126.0
13,Tee Higgins,WR,23.0,2022,202.90826826283313,,,34.0,3.08,WR,CIN,10.0,31.9,3.5,1.09,4.09,3797.0
14,A.J. Brown,WR,25.0,2022,199.39326582818705,,,30.0,3.04,WR,PHI,7.0,27.8,3.3,1.12,4.11,3395.0
15,DeAndre Hopkins,WR,30.0,2022,198.95486882811826,,,55.0,5.04,WR,ARI,13.0,51.7,6.2,2.08,6.12,2841.0
16,Mike Evans,WR,29.0,2022,193.7787216474139,,,25.0,2.12,WR,TB,11.0,24.5,3.1,1.02,3.12,4382.0
17,Tyler Lockett,WR,30.0,2022,193.36677456906148,,,111.0,9.11,WR,SEA,11.0,107.5,7.2,6.02,11.1,1673.0
