,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
3,6.416666666666667,237.0,4.75,33.5,23.0,119.0,6.9,4.4,2018.0,402.6
5,6.5,236.0,4.68,35.5,23.0,123.0,7.06,4.46,2020.0,380.8
6,6.333333333333333,211.0,5.28,24.5,23.0,99.0,7.2,4.38,2000.0,374.7
12,6.166666666666667,225.0,4.8,30.0,23.0,114.0,6.88,4.08,2017.0,361.7
17,6.166666666666667,223.0,4.71,34.5,23.0,110.0,7.38,4.28,2005.0,333.3
19,6.166666666666667,225.0,4.81,30.5,23.0,107.0,7.06,4.47,2009.0,329.7
22,6.166666666666667,226.0,4.79,32.5,23.0,116.0,7.11,4.32,2016.0,320.6
28,6.25,221.0,4.82,31.0,23.0,110.0,7.09,4.28,2020.0,314.2
30,6.083333333333333,222.0,4.59,35.0,23.0,125.0,7.09,4.28,2020.0,312.2
39,5.833333333333333,207.0,4.82,31.0,23.0,110.0,7.09,4.28,2019.0,300.5
40,6.25,214.0,4.84,28.5,23.0,109.0,7.05,4.5,2012.0,300.3
75,6.333333333333333,221.0,4.65,31.0,23.0,110.0,7.09,4.28,2012.0,268.4
76,6.416666666666667,237.0,4.77,30.5,23.0,118.0,6.86,4.15,2016.0,258.0
77,6.166666666666667,214.0,4.69,34.5,23.0,110.0,7.09,4.2,2014.0,257.0
78,5.916666666666667,204.0,4.53,34.0,23.0,118.0,6.97,4.09,2012.0,242.8
79,6.166666666666667,216.0,4.82,31.0,23.0,110.0,7.09,4.28,2018.0,240.0
80,6.166666666666667,226.0,4.97,30.5,23.0,110.0,7.04,4.26,2014.0,227.5
81,6.166666666666667,217.0,4.72,32.0,23.0,116.0,7.04,4.39,2021.0,224.9
82,6.416666666666667,228.0,4.89,31.0,23.0,110.0,7.4,4.51,2008.0,222.9
83,6.25,225.0,4.82,31.0,23.0,110.0,7.09,4.28,2012.0,222.9
84,6.416666666666667,241.0,4.75,31.0,23.0,110.0,7.09,4.28,2004.0,218.1
85,6.166666666666667,214.0,4.82,30.0,23.0,113.0,7.17,4.2,2014.0,202.7
86,6.416666666666667,213.0,4.82,31.0,23.0,110.0,7.09,4.28,2021.0,199.0
87,6.333333333333333,215.0,4.82,27.0,23.0,110.0,7.17,4.47,2016.0,194.5
88,6.083333333333333,215.0,4.84,29.0,23.0,111.0,7.0,4.28,2018.0,180.9
89,6.0,217.0,4.82,31.0,23.0,110.0,7.09,4.28,2020.0,180.9
90,6.416666666666667,221.0,4.81,33.5,23.0,120.0,7.0,4.41,2019.0,167.5
91,6.25,221.0,4.85,26.5,23.0,105.0,6.96,4.4,2018.0,157.3
92,6.25,217.0,4.82,32.0,23.0,110.0,6.95,4.4,2021.0,157.0
93,6.166666666666667,214.0,4.82,31.0,23.0,110.0,7.09,4.28,2021.0,151.9
96,6.166666666666667,227.0,4.45,31.0,23.0,110.0,7.09,4.28,2021.0,126.8
103,6.25,225.0,4.82,31.0,23.0,110.0,7.09,4.28,2012.0,121.7
106,6.333333333333333,231.0,4.97,28.5,23.0,103.0,7.16,4.36,2015.0,117.4
141,6.25,225.0,4.82,31.0,23.0,110.0,7.09,4.28,2012.0,90.2
