,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
1,6.166666666666667,204.0,4.62,31.0,15.0,116.0,6.75,4.08,2017.0,439.5
2,5.916666666666667,214.0,4.48,39.0,15.0,122.0,7.03,4.14,2019.0,339.0
8,6.0,201.0,4.34,41.0,15.0,132.0,6.96,3.99,2021.0,304.6
9,6.083333333333333,202.0,4.43,37.5,15.0,126.0,6.915,4.21,2020.0,330.4
11,6.083333333333333,212.0,4.56,39.5,14.0,123.0,6.82,4.3,2014.0,344.3
16,6.416666666666667,231.0,4.53,37.0,12.0,121.0,7.08,4.26,2014.0,262.5
18,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,296.5
20,6.0,195.0,4.46,35.0,15.0,115.0,7.03,4.32,2015.0,285.5
24,6.333333333333333,218.0,4.48,32.5,15.0,121.0,6.915,4.21,2017.0,246.6
25,6.25,228.0,4.33,40.5,27.0,134.0,7.38,4.5,2019.0,244.3
26,5.833333333333333,182.0,4.4,35.5,15.0,121.0,6.89,4.07,2015.0,241.4
29,5.833333333333333,183.0,4.53,33.5,15.0,123.0,7.09,4.45,2019.0,274.4
37,5.833333333333333,184.0,4.59,35.0,7.0,116.0,6.8,4.19,2019.0,259.1
38,6.166666666666667,198.0,4.5,34.5,11.0,124.0,6.915,4.21,2020.0,232.8
42,6.166666666666667,206.0,4.58,36.0,15.0,121.0,6.915,4.21,2013.0,257.8
44,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,238.6
48,6.333333333333333,216.0,4.48,36.0,15.0,121.0,6.915,4.21,2020.0,219.1
50,6.0,210.0,4.42,39.5,15.0,132.0,6.95,4.07,2018.0,237.5
51,6.083333333333333,209.0,4.42,36.0,19.0,126.0,7.01,4.0,2017.0,242.4
54,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,245.8
55,5.833333333333333,189.0,4.33,36.0,16.0,120.0,6.76,3.81,2014.0,231.8
57,5.833333333333333,176.0,4.38,37.0,9.0,124.0,6.915,4.21,2020.0,219.7
60,5.916666666666667,197.0,4.51,38.5,20.0,127.0,6.88,4.17,2021.0,227.3
62,6.0,208.0,4.35,37.5,18.0,125.0,7.01,4.15,2019.0,213.5
63,5.75,166.0,4.48,36.0,15.0,121.0,6.915,4.21,2019.0,226.3
64,6.083333333333333,211.0,4.42,33.0,15.0,120.0,6.71,3.98,2015.0,202.5
66,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,199.8
67,5.833333333333333,201.0,4.47,35.5,20.0,115.0,7.09,4.45,2018.0,207.6
70,6.083333333333333,203.0,4.68,34.0,9.0,125.0,6.73,4.21,2017.0,180.5
100,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,185.6
101,6.0,226.0,4.49,36.5,19.0,120.0,6.915,4.21,2019.0,180.9
104,6.083333333333333,200.0,4.48,36.0,15.0,121.0,6.915,4.21,2020.0,168.2
105,6.083333333333333,197.0,4.58,34.0,11.0,119.0,6.9,4.35,2016.0,183.8
108,6.0,205.0,4.5,40.0,11.0,128.0,6.915,4.21,2020.0,170.3
111,5.916666666666667,203.0,4.48,37.5,18.0,123.0,7.0,4.35,2020.0,158.5
113,6.333333333333333,238.0,4.42,40.5,19.0,126.0,6.915,4.21,2020.0,166.6
114,6.166666666666667,199.0,4.46,33.0,22.0,112.0,6.81,4.11,2012.0,180.2
115,6.083333333333333,205.0,4.55,38.0,15.0,126.0,6.915,4.21,2020.0,151.8
116,6.083333333333333,214.0,4.57,36.0,15.0,115.0,6.915,4.5,2013.0,147.2
118,6.333333333333333,211.0,4.48,34.5,18.0,126.0,6.91,4.21,2011.0,156.8
119,6.416666666666667,227.0,4.55,38.0,17.0,122.0,6.915,4.21,2018.0,142.5
120,6.166666666666667,203.0,4.63,37.0,13.0,118.0,7.07,4.23,2019.0,186.3
121,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,156.4
122,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,147.8
126,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,163.0
127,6.083333333333333,203.0,4.35,36.0,17.0,121.0,6.63,4.07,2021.0,138.2
133,6.25,218.0,4.54,35.5,18.0,124.0,6.57,4.11,2018.0,150.2
134,6.0,201.0,4.51,33.5,14.0,117.0,7.15,4.47,2013.0,137.2
135,6.166666666666667,216.0,4.54,35.0,14.0,124.0,7.08,4.59,2020.0,125.9
140,5.916666666666667,186.0,4.4,39.5,12.0,126.0,6.64,4.1,2010.0,131.7
143,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,138.5
147,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,129.1
151,6.083333333333333,203.0,4.46,33.5,15.0,120.0,6.87,4.4,2018.0,126.8
155,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,132.4
159,5.833333333333333,187.0,4.33,36.5,17.0,119.0,6.915,4.21,2019.0,140.9
163,5.916666666666667,205.0,4.65,28.5,12.0,110.0,6.915,4.21,2014.0,133.0
164,5.833333333333333,186.0,4.56,33.5,13.0,105.0,6.98,4.18,2010.0,121.1
168,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,159.3
170,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,113.1
171,6.166666666666667,212.0,4.48,44.5,15.0,139.0,6.915,4.21,2020.0,109.7
172,5.75,184.0,4.48,36.0,11.0,121.0,6.915,4.21,2018.0,121.1
173,6.25,212.0,4.48,36.0,15.0,121.0,6.915,4.21,2020.0,109.1
176,6.0,185.0,4.35,36.5,15.0,125.0,7.28,4.36,2020.0,116.0
179,6.25,209.0,4.48,36.0,15.0,121.0,6.915,4.21,2017.0,105.2
181,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,107.6
183,6.0,198.0,4.42,36.0,12.0,121.0,6.915,4.21,2015.0,103.4
184,5.833333333333333,191.0,4.46,33.5,16.0,115.0,7.08,4.34,2011.0,93.6
185,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,97.2
189,6.25,209.0,4.45,36.5,17.0,125.0,6.915,4.21,2015.0,103.5
190,6.083333333333333,227.0,4.58,36.0,17.0,121.0,6.915,4.21,2020.0,127.0
191,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,86.5
192,6.0,197.0,4.46,36.5,16.0,124.0,7.05,4.26,2020.0,86.5
195,5.916666666666667,188.0,4.27,42.0,15.0,131.0,6.915,4.21,2020.0,84.5
196,6.333333333333333,206.0,4.37,30.5,15.0,124.0,6.915,4.21,2018.0,87.0
198,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,92.9
199,5.666666666666667,185.0,4.56,37.0,10.0,115.0,7.17,4.32,2015.0,109.7
200,6.166666666666667,201.0,4.45,36.5,15.0,133.0,6.79,4.01,2017.0,105.9
201,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,89.8
202,6.0,190.0,4.39,36.0,15.0,123.0,6.915,4.21,2021.0,103.5
203,6.25,215.0,4.72,29.0,15.0,119.0,6.915,4.21,2020.0,82.2
205,6.083333333333333,205.0,4.51,36.0,10.0,122.0,6.95,4.37,2018.0,91.5
206,6.166666666666667,219.0,4.55,36.0,14.0,126.0,7.11,4.29,2017.0,94.5
208,5.833333333333333,169.0,4.35,36.0,15.0,120.0,6.915,4.21,2008.0,75.8
210,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,87.7
213,5.583333333333333,180.0,4.28,42.5,15.0,121.0,6.65,4.06,2021.0,109.1
218,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,76.0
219,6.333333333333333,218.0,4.5,35.5,18.0,120.0,7.0,4.15,2017.0,89.1
220,6.25,194.0,4.52,37.0,15.0,124.0,6.83,4.13,2017.0,80.6
221,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,78.9
222,6.333333333333333,215.0,4.43,37.5,14.0,125.0,6.78,4.29,2021.0,83.6
223,5.75,183.0,4.34,36.0,15.0,121.0,6.915,4.21,2012.0,74.1
226,5.833333333333333,200.0,4.39,35.5,15.0,123.0,7.13,4.2,2020.0,83.2
229,6.25,220.0,4.34,38.5,17.0,135.0,6.66,4.25,2011.0,80.4
230,6.25,220.0,4.6,39.0,15.0,127.0,7.0,4.0,2014.0,87.0
231,6.166666666666667,221.0,4.52,33.0,12.0,117.0,6.915,4.21,2016.0,82.4
233,6.083333333333333,193.0,4.45,35.0,15.0,120.0,6.915,4.53,2020.0,85.0
234,6.333333333333333,221.0,4.53,36.0,15.0,121.0,6.915,4.21,2017.0,60.3
239,5.833333333333333,183.0,4.58,27.5,13.0,103.0,6.81,4.25,2008.0,68.8
241,5.916666666666667,206.0,4.47,42.0,17.0,138.0,7.31,4.46,2020.0,78.1
245,6.083333333333333,203.0,4.59,34.5,15.0,123.0,6.77,4.19,2016.0,69.4
247,6.166666666666667,213.0,4.35,45.0,18.0,139.0,7.06,4.3,2015.0,64.6
249,6.083333333333333,190.0,4.39,40.5,11.0,135.0,7.0,4.15,2019.0,68.6
250,5.916666666666667,193.0,4.39,39.5,9.0,136.0,6.88,4.25,2021.0,82.4
251,6.083333333333333,211.0,4.43,34.0,16.0,126.0,6.95,4.34,2014.0,70.4
253,5.833333333333333,194.0,4.48,41.0,20.0,123.0,7.0,4.35,2016.0,77.7
254,5.916666666666667,213.0,4.54,34.5,14.0,120.0,7.11,4.32,2018.0,65.8
262,6.0,189.0,4.43,31.0,15.0,110.0,6.88,4.41,2018.0,71.1
263,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,64.9
265,6.083333333333333,215.0,4.43,38.0,13.0,121.0,7.0,4.22,2019.0,51.5
270,6.333333333333333,206.0,4.48,37.0,6.0,117.0,7.07,4.26,2019.0,57.8
272,6.083333333333333,203.0,4.48,36.0,15.0,121.0,6.915,4.21,2013.0,79.3
