,PLAYER,GP,TGT,REC,YDS,YDS/G,AVG,TD,ATT,YDS.1,AVG.1,TD.1,FL,FPTS,FPPG
37,Keenan Allen,17,106,76,876,51.5,11.5,6,2,7,3.5,0,1,200.0,11.8
38,Diontae Johnson,17,108,64,800,47.1,12.5,8,2,10,5.0,0,0,195.2,11.5
39,Malik Nabers,17,109,68,969,57.0,14.3,5,2,10,5.0,0,2,194.2,11.4
40,Ladd McConkey,17,116,71,930,54.7,13.1,5,2,9,4.5,0,2,192.1,11.3
41,Christian Watson,17,87,48,732,43.1,15.3,10,6,27,4.5,1,0,191.4,11.3
42,Mike Williams,17,99,66,896,52.7,13.6,5,2,5,2.5,0,0,187.7,11.0
43,Xavier Worthy,17,91,56,940,55.3,16.8,6,2,11,5.5,0,2,184.8,10.9
44,Jakobi Meyers,17,91,61,717,42.2,11.8,7,3,16,5.3,1,0,183.7,10.8
45,Courtland Sutton,17,87,55,757,44.5,13.8,9,0,1,0.0,0,2,183.1,10.8
46,Keon Coleman,17,106,65,888,52.2,13.7,5,2,13,6.5,0,2,182.7,10.7
47,Tyler Lockett,17,99,66,780,45.9,11.8,6,0,1,0.0,0,0,181.8,10.7
48,Romeo Doubs,17,87,56,739,43.5,13.2,8,0,1,0.0,0,0,180.4,10.6
49,Khalil Shakir,17,73,61,861,50.6,14.1,5,1,8,8.0,0,0,179.3,10.5
50,Brian Thomas,17,100,62,883,51.9,14.2,5,2,9,4.5,0,2,178.0,10.5
51,Jerry Jeudy,17,97,62,891,52.4,14.4,4,1,7,7.0,0,0,177.7,10.5
52,Brandin Cooks,17,90,60,725,42.6,12.1,7,5,33,6.6,0,0,177.7,10.5
53,Jaxon Smith-Njigba,17,105,71,700,41.2,9.9,6,0,0,0.0,0,0,176.7,10.4
54,Wan'Dale Robinson,17,92,71,672,39.5,9.5,4,8,78,9.8,1,0,175.2,10.3
55,Kendrick Bourne,17,87,61,723,42.5,11.9,6,5,38,7.6,0,1,171.8,10.1
56,Rome Odunze,17,95,58,836,49.2,14.4,5,2,10,5.0,0,2,170.6,10.0
57,Josh Palmer,17,97,61,841,49.5,13.8,4,1,7,7.0,0,1,169.6,10.0
58,Adam Thielen,17,92,68,696,40.9,10.2,5,1,5,5.0,0,0,169.3,10.0
59,Rashid Shaheed,17,78,49,805,47.4,16.4,6,7,43,6.1,0,1,168.3,9.9
60,Demario Douglas,17,106,67,808,47.5,12.1,3,9,44,4.9,0,2,166.3,9.8
61,Noah Brown,17,88,52,880,51.8,16.9,4,1,0,0.0,0,0,162.7,9.6
62,Jameson Williams,17,73,43,643,37.8,15.0,5,4,70,17.5,2,0,155.8,9.2
63,Curtis Samuel,17,79,54,579,34.1,10.7,5,16,82,5.1,1,0,155.7,9.2
64,Tim Patrick,17,75,47,647,38.1,13.8,7,0,0,0.0,0,0,153.6,9.0
65,Jahan Dotson,17,86,50,607,35.7,12.1,7,0,0,0.0,0,0,151.5,8.9
66,Troy Franklin,17,91,56,730,42.9,13.0,4,2,10,5.0,0,2,150.7,8.9
67,Michael Wilson,17,73,48,703,41.4,14.7,5,0,0,0.0,0,0,147.7,8.7
68,Josh Downs,17,86,60,708,41.6,11.8,3,0,0,0.0,0,0,147.7,8.7
69,Adonai Mitchell,17,78,48,733,43.1,15.3,4,2,11,5.5,0,2,144.4,8.5
70,A.T. Perry,17,62,40,655,38.5,16.4,6,1,3,3.0,0,0,143.9,8.5
71,Darius Slayton,17,72,44,692,40.7,15.7,5,0,0,0.0,0,0,142.0,8.4
72,Gabe Davis,17,74,41,664,39.1,16.2,6,1,0,0.0,0,1,141.3,8.3
73,Odell Beckham,17,82,46,675,39.7,14.7,4,0,2,0.0,0,1,137.6,8.1
74,DJ Chark,17,70,37,560,32.9,15.1,8,0,0,0.0,0,1,137.4,8.1
75,Rashod Bateman,17,80,47,629,37.0,13.4,4,1,14,14.0,0,0,137.2,8.1
76,Jermaine Burton,17,76,47,656,38.6,14.0,4,2,7,3.5,0,1,136.9,8.1
77,Zay Jones,17,96,56,521,30.6,9.3,4,1,5,5.0,0,0,134.3,7.9
78,Quentin Johnston,17,83,47,602,35.4,12.8,4,3,8,2.7,0,0,133.8,7.9
79,Dontayvion Wicks,17,57,38,578,34.0,15.2,6,1,1,1.0,0,1,133.1,7.8
80,Demarcus Robinson,17,68,43,579,34.1,13.5,5,1,20,20.0,0,1,133.1,7.8
81,Elijah Moore,17,91,53,600,35.3,11.3,3,8,18,2.3,0,2,130.8,7.7
82,Roman Wilson,17,77,47,641,37.7,13.6,3,2,11,5.5,0,1,129.2,7.6
83,Xavier Legette,17,74,46,634,37.3,13.8,3,2,10,5.0,0,2,126.2,7.4
84,Rondale Moore,17,62,43,457,26.9,10.6,3,25,136,5.4,1,0,124.9,7.3
85,Josh Reynolds,17,65,40,575,33.8,14.4,5,0,0,0.0,0,1,124.1,7.3
86,Greg Dortch,17,70,45,489,28.8,10.9,4,3,20,6.7,0,0,120.9,7.1
87,Darnell Mooney,17,72,40,599,35.2,15.0,3,2,8,4.0,0,0,120.8,7.1
88,Robert Woods,17,79,43,483,28.4,11.2,3,2,11,5.5,0,0,111.9,6.6
89,Cedrick Wilson,17,57,34,438,25.8,12.9,5,1,3,3.0,0,0,109.8,6.5
90,Tyler Boyd,17,62,43,514,30.2,12.0,2,2,11,5.5,0,0,109.3,6.4
91,Ja'Lynn Polk,17,70,43,529,31.1,12.3,2,2,9,4.5,0,1,109.0,6.4
92,Jonathan Mingo,17,92,47,505,29.7,10.7,2,0,0,0.0,0,0,108.3,6.4
93,KaVontae Turpin,17,40,26,292,17.2,11.2,6,13,126,9.7,1,1,107.0,6.3
94,Trenton Irwin,17,48,36,488,28.7,13.6,3,0,2,0.0,0,0,104.9,6.2
95,Parris Campbell,17,62,43,407,23.9,9.5,3,2,18,9.0,0,0,104.4,6.1
96,JuJu Smith-Schuster,17,67,44,426,25.1,9.7,2,1,2,2.0,0,0,101.8,6.0
97,Malachi Corley,17,64,39,495,29.1,12.7,2,2,9,4.5,0,1,101.6,6.0
98,Marquez Callaway,17,67,36,470,27.6,13.1,3,0,0,0.0,0,0,99.9,5.9
99,Brandon Johnson,17,43,26,374,22.0,14.4,6,0,0,0.0,0,0,99.4,5.8
