,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
22,23,Puka Nacua,23,LAR,WR,11,11,106,79,990,47,472,6.0,518,6.6,7.9,10,7.9,1,0.9,1,108.6,,NacuPu00,0.08482595
76,77,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,,GodwCh00,0.08482595
26,27,Khalil Shakir,24,BUF,WR,15,9,100,76,821,35,224,2.9,597,7.9,5.5,6,12.7,1,1.0,1,108.8,,ShakKh00,0.08482595
10,11,D.J. Moore,27,CHI,WR,17,17,140,98,966,43,378,3.9,588,6.0,7.5,5,19.6,3,2.1,3,94.5,,MoorD.00,0.08482595
19,20,Terry McLaurin,29,WAS,WR,17,17,117,82,1096,56,804,9.8,292,3.6,13.4,2,41.0,4,3.4,1,133.0,PBAP-2,McLaTe00,0.08164502
16,17,Brian Thomas,22,JAX,WR,17,16,133,87,1282,53,720,8.3,562,6.5,11.4,0,,7,5.3,5,106.2,PBAP ORoY-4,ThomBr06,0.07981748
28,29,Zay Flowers,24,BAL,WR,17,15,116,74,1059,48,596,8.1,463,6.3,10.0,7,10.6,6,5.2,0,104.8,PB,FlowZa00,0.07981748
180,179,Van Jefferson,28,PIT,WR,17,12,40,24,276,12,198,8.3,78,3.3,11.6,0,,0,0.0,0,97.5,,JeffVa00,0.07944558
175,174,Brandin Cooks,31,DAL,WR,10,9,54,26,259,19,204,7.8,55,2.1,11.7,0,,1,1.9,2,65.3,,CookBr00,0.07944558
169,168,Troy Franklin,21,DEN,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1,28.0,3,5.7,1,71.5,,FranTr00,0.07618675
207,206,Jahan Dotson,24,PHI,WR,17,6,33,19,216,12,144,7.6,72,3.8,9.9,0,,0,0.0,0,77.3,,DotsJa00,0.075852394
4,5,Malik Nabers,21,NYG,WR,15,13,170,109,1204,55,742,6.8,462,4.2,9.1,8,13.6,9,5.3,2,93.8,PBAP ORoY-5,NabeMa00,0.075631015
225,224,Jonathan Mingo,23,2TM,WR,17,6,42,17,167,6,100,5.9,67,3.9,10.5,1,17.0,2,4.8,1,42.5,,MingJo00,0.07550889
62,63,Quentin Johnston,23,LAC,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8,6.9,7,7.7,1,109.7,,JohnQu02,0.07314791
90,91,Tre Tucker,23,LVR,WR,17,14,81,47,539,24,331,7.0,208,4.4,12.7,3,15.7,2,2.5,1,85.4,,TuckTr00,0.06922388
6,7,CeeDee Lamb,25,DAL,WR,15,15,152,101,1194,54,657,6.5,537,5.3,7.6,11,9.2,7,4.6,6,86.9,PBAP-2,LambCe00,0.06903896
49,50,Ray-Ray McCloud,28,ATL,WR,17,13,87,62,686,29,351,5.7,335,5.4,6.8,1,62.0,3,3.4,3,83.8,,McClRa00,0.068268076
130,129,Calvin Austin III,25,PIT,WR,17,8,58,36,548,18,396,11.0,152,4.2,12.4,1,36.0,3,5.2,0,116.2,,AustCa00,0.06694305
