,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
105,104,Dallas Goedert,29,PHI,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2,21.0,1,1.9,1,111.2,,GoedDa00,0.30851287
88,89,Cole Kmet,25,CHI,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1,47.0,1,1.8,1,119.2,,KmetCo00,0.2054759
245,244,Adam Trautman,27,DEN,TE,17,14,22,13,188,8,90,6.9,98,7.5,5.5,0,,1,4.5,0,117.2,,TrauAd00,0.20120977
82,83,Noah Fant,27,SEA,TE,14,9,64,48,500,25,223,4.6,277,5.8,5.4,2,24.0,1,1.6,3,82.8,,FantNo00,0.18826373
24,25,George Kittle,31,SFO,TE,15,15,94,78,1106,50,584,7.5,522,6.7,8.1,4,19.5,2,2.1,2,135.2,PBAP-2AP OPoY-11,KittGe00,0.18019497
190,189,Tommy Tremble,24,CAR,TE,12,11,32,23,234,12,109,4.7,125,5.4,5.7,1,23.0,1,3.1,1,100.3,,TremTo00,0.16967888
179,178,Grant Calcaterra,26,PHI,TE,17,13,30,24,298,15,172,7.2,126,5.3,7.3,0,,0,0.0,0,119.2,,CalcGr00,0.16773243
3,4,Trey McBride,25,ARI,TE,16,16,147,111,1146,63,633,5.7,513,4.6,6.1,5,22.2,3,2.0,1,99.2,PB,McBrTr01,0.15598375
109,108,T.J. Hockenson,27,MIN,TE,10,9,62,41,455,30,310,7.6,145,3.5,8.4,1,41.0,2,3.2,2,74.3,AP CPoY-19,HockTJ00,0.13237108
113,112,Jordan Akins,32,CLE,TE,17,6,58,40,390,20,213,5.3,177,4.4,6.0,1,40.0,1,1.7,1,91.9,,AkinJo00,0.118959054
248,247,Mo Alie-Cox,31,IND,TE,17,13,22,12,147,7,98,8.2,49,4.1,9.6,0,,1,4.5,1,71.6,,AlieMo00,0.11714488
191,190,Dawson Knox,28,BUF,TE,16,13,33,22,311,12,217,9.9,94,4.3,8.8,0,,1,3.0,1,94.4,,KnoxDa00,0.11517433
39,40,Zach Ertz,34,WAS,TE,17,17,91,66,654,38,467,7.1,187,2.8,7.4,0,,4,4.4,2,109.0,AP CPoY-17,ErtzZa00,0.11259025
267,266,Payne Durham,24,TAM,TE,16,6,14,11,115,5,91,8.3,24,2.2,8.9,0,,0,0.0,0,140.5,,DurhPa00,0.09829115
89,90,Kyle Pitts,24,ATL,TE,17,15,74,47,602,21,330,7.0,272,5.8,8.6,4,11.8,4,5.4,4,84.4,,PittKy00,0.089285
66,67,Dalton Schultz,28,HOU,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0,,4,4.7,1,83.1,,SchuDa00,0.08899689
202,201,Drew Sample,28,CIN,TE,17,15,22,20,109,8,28,1.4,81,4.1,1.5,1,20.0,0,0.0,0,102.5,,SampDr00,0.08899689
237,236,Daniel Bellinger,24,NYG,TE,17,8,17,14,125,8,72,5.1,53,3.8,5.1,0,,0,0.0,0,97.3,,BellDa00,0.08899689
215,214,Darnell Washington,23,PIT,TE,17,9,25,19,200,9,74,3.9,126,6.6,4.3,2,9.5,0,0.0,1,95.4,,WashDa03,0.08482595
234,233,Cade Stover,24,HOU,TE,15,9,22,15,133,5,39,2.6,94,6.3,5.4,2,7.5,1,4.5,0,99.2,,StovCa00,0.08482595
107,106,Isaiah Likely,24,BAL,TE,16,9,58,42,477,26,221,5.3,256,6.1,8.0,3,14.0,2,3.4,0,131.2,,LikeIs00,0.08482595
246,245,Brock Wright,26,DET,TE,17,8,16,13,100,7,25,1.9,75,5.8,5.1,1,13.0,0,0.0,1,106.2,,WrigBr01,0.08482595
224,223,Nick Vannett,31,TEN,TE,17,10,20,17,135,7,25,1.5,110,6.5,1.1,0,,0,0.0,1,113.5,,VannNi00,0.08482595
149,148,Foster Moreau,27,NOR,TE,17,17,43,32,413,21,255,8.0,158,4.9,9.2,2,16.0,0,0.0,1,133.2,,MoreFo00,0.07915277
