Player,Team,REC,YDS,TDS,FL,FPTS,actuals,mae
Armani Rogers,WAS,6.2,64.9,0.5,0,9.5,14,-4.5
Jesse James,CLE,7.1,67.7,0.5,0,9.4,#N/A,#N/A
Blake Bell,KC,6.6,61.8,0.6,0,9.4,10,-0.6
Nick Boyle,BAL,5.9,55.9,0.6,0,9.1,#N/A,#N/A
Tyler Kroft,SF,5.5,56.3,0.6,0,9,9.7,-0.7
Eric Tomlinson,DEN,5.4,57.9,0.5,0,8.9,28.9,-20
Tommy Sweeney,BUF,5.8,57.2,0.6,0,8.9,#N/A,#N/A
Ben Ellefson,MIN,5.6,58.3,0.5,0,8.9,#N/A,#N/A
Jack Stoll,PHI,4.6,46.3,0.5,0,7.5,23.3,-15.8
Ko Kieft,TB,4.4,46.5,0.4,0,7,21,-14
Jesper Horsted,LV,3.9,40.3,0.4,0,6.5,#N/A,#N/A
Grant Calcaterra,PHI,3.8,38.9,0.4,0,6.2,13.1,-6.9
Hunter Long,MIA,3.9,39.8,0.4,0,6,#N/A,#N/A
Jeremy Ruckert,NYJ,3.9,39.3,0.3,0,5.7,#N/A,#N/A
Ross Dwelley,SF,4,37.9,0.3,0,5.6,19.5,-13.9
Mitchell Wilcox,CIN,3.6,36.7,0.3,0,5.6,36.9,-31.3
Jake Tonges,CHI,3.6,37.3,0.3,0,5.3,#N/A,#N/A
Stephen Sullivan,CAR,3.6,37.9,0.3,0,5.3,6.6,-1.3
Charlie Kolar,BAL,2.6,27.6,0.3,0,4.2,8.9,-4.7
Cole Turner,WAS,2.1,22.3,0.2,0,3.3,#N/A,#N/A
Charlie Woerner,SF,2,20.1,0.2,0,3,#N/A,#N/A
Quintin Morris,BUF,1.9,19.3,0.2,0,3,20.4,-17.4
Tanner Conner,MIA,1.9,18.8,0.2,0,2.9,#N/A,#N/A
Juwan Johnson,NO,1.6,17.3,0.2,0,2.8,134.8,-132
Cethan Carter,MIA,1.8,17.9,0.2,0,2.8,#N/A,#N/A
James Mitchell,DET,1.8,18.3,0.2,0,2.7,28.3,-25.6
Shane Zylstra,DET,1.8,18.1,0.2,0,2.7,41,-38.3
Josh Oliver,BAL,1.6,16.1,0.2,0,2.5,40.9,-38.4
Eric Saubert,DEN,1.5,14.8,0.2,0,2.4,35.8,-33.4
