"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"DK Metcalf","SEA","77.8","1,061.1","6.6","0.0","0.0","0.0","0.3","145.0"
"Jaylen Waddle","MIA","91.3","980.5","6.2","8.1","48.2","0.5","0.4","142.4"
"DJ Moore","CAR","76.1","1,007.2","5.3","7.9","54.6","0.3","0.4","139.1"
"Hunter Renfrow","LV","91.6","944.3","6.7","4.0","23.1","0.2","0.5","137.3"
"Amari Cooper","CLE","78.0","993.0","6.3","0.0","0.0","0.0","0.3","136.8"
"Darnell Mooney","CHI","75.8","1,035.1","4.9","4.1","24.7","0.2","0.2","136.4"
"Terry McLaurin","WAS","69.6","988.3","5.5","0.0","0.0","0.0","0.2","131.6"
"Elijah Moore","NYJ","66.3","903.3","5.7","6.0","38.7","0.3","0.3","129.4"
"Jerry Jeudy","DEN","67.2","953.9","5.0","4.1","24.3","0.2","0.4","128.0"
"Robert Woods","TEN","76.5","956.0","5.1","2.4","15.1","0.1","0.2","127.7"
"Marquez Valdes-Scantling","KC","54.0","903.6","5.8","1.8","10.9","0.1","0.1","126.6"
"DeVonta Smith","PHI","63.9","908.7","5.9","0.0","0.0","0.0","0.2","126.1"
"Marquise Brown","ARI","75.0","951.9","5.2","0.0","0.0","0.0","0.4","125.7"
"Brandon Aiyuk","SF","60.0","894.6","5.7","2.5","15.3","0.1","0.3","125.6"
"Adam Thielen","MIN","71.1","850.2","6.8","0.0","0.0","0.0","0.3","125.2"
"Allen Lazard","GB","58.9","805.0","6.9","4.0","26.7","0.2","0.2","125.0"
"Courtland Sutton","DEN","58.6","851.3","6.3","0.0","0.0","0.0","0.2","122.6"
"Mecole Hardman","KC","66.5","808.7","5.3","10.7","71.1","0.6","0.5","122.2"
"Michael Thomas","NO","78.8","876.1","5.5","0.0","0.0","0.0","0.2","120.3"
"Christian Kirk","JAC","72.4","886.1","4.7","0.0","0.0","0.0","0.2","116.4"
"Chase Claypool","PIT","60.9","810.5","4.1","11.7","71.2","0.6","0.3","115.9"
"Allen Robinson II","LAR","65.7","839.2","4.6","0.0","0.0","0.0","0.2","110.9"
"Jakobi Meyers","NE","76.5","840.4","4.5","0.0","0.0","0.0","0.2","110.8"
"JuJu Smith-Schuster","KC","72.5","791.8","5.3","0.0","0.0","0.0","0.3","110.1"
"Michael Gallup","DAL","54.8","793.5","5.2","0.0","0.0","0.0","0.1","110.1"
"Drake London","ATL","63.9","821.8","4.4","0.0","0.0","0.0","0.2","108.4"
"Marvin Jones Jr.","JAC","60.6","760.1","5.4","0.0","0.0","0.0","0.1","107.9"
"Rashod Bateman","BAL","68.7","817.7","4.4","0.0","0.0","0.0","0.3","107.4"
"DeVante Parker","NE","58.6","795.5","4.5","0.0","0.0","0.0","0.2","106.4"
"Treylon Burks","TEN","52.7","705.6","4.4","7.2","44.1","0.3","0.2","102.4"
"D.J. Chark Jr.","DET","48.9","729.6","4.8","0.0","0.0","0.0","0.1","101.4"
"Russell Gage","TB","62.1","718.8","5.0","0.0","0.0","0.0","0.3","101.1"
"Chris Olave","NO","52.0","727.5","4.7","0.0","0.0","0.0","0.2","100.5"
"Tyler Boyd","CIN","61.4","697.2","4.5","2.1","13.1","0.1","0.2","97.9"
"Alec Pierce","IND","52.9","714.9","4.4","0.0","0.0","0.0","0.2","97.5"
"Jahan Dotson","WAS","54.8","721.8","4.3","0.0","0.0","0.0","0.2","97.5"
"Sterling Shepard","NYG","68.9","745.0","3.8","0.0","0.0","0.0","0.2","97.2"
"Garrett Wilson","NYJ","54.4","703.2","4.2","2.0","12.1","0.1","0.2","97.0"
"Jarvis Landry","NO","60.5","712.2","4.3","0.1","0.7","0.0","0.3","96.4"
"DeAndre Hopkins","ARI","57.1","665.1","4.6","0.0","0.0","0.0","0.4","93.2"
"Randall Cobb","GB","48.9","621.6","4.9","2.0","11.9","0.1","0.2","92.8"
"Nico Collins","HOU","53.1","699.6","3.9","0.0","0.0","0.0","0.2","92.6"
