,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
618,Amari Cooper,2021,27.0,WR,65.4,41.0,8.3,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,14.464285714285714
621,Christian Kirk,2021,25.0,WR,74.8,50.0,9.5,4.47,5.833333333,201.0,35.5,20.0,7.09,4.45,18.87272727272727
655,A.J. Brown,2021,24.0,WR,60,57.0,8.3,4.49,6.0,226.0,36.5,19.0,0.0,0.0,13.915384615384616
658,Van Jefferson,2021,25.0,WR,56.2,79.0,9.0,0.0,6.083333333,200.0,0.0,0.0,0.0,0.0,9.894117647058822
659,Tyler Boyd,2021,27.0,WR,71.3,68.0,8.8,4.58,6.083333333,197.0,34.0,11.0,6.9,4.35,18.380000000000003
662,Brandon Aiyuk,2021,23.0,WR,66.7,43.0,9.8,4.5,6.0,205.0,40.0,11.0,0.0,0.0,10.64375
667,Chase Claypool,2021,23.0,WR,56.2,59.0,8.2,4.42,6.333333333,238.0,40.5,19.0,0.0,0.0,12.815384615384614
668,Marvin Jones,2021,31.0,WR,60.8,33.0,6.9,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,11.2625
669,Marquez Callaway,2021,23.0,WR,54.8,58.0,8.3,4.55,6.083333333,205.0,38.0,0.0,0.0,0.0,13.8
670,DeAndre Hopkins,2021,29.0,WR,65.6,55.0,8.9,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,14.719999999999999
673,Allen Lazard,2021,26.0,WR,66.7,42.0,8.6,4.55,6.416666667,227.0,38.0,17.0,0.0,0.0,10.961538461538462
674,Jakobi Meyers,2021,25.0,WR,65.9,39.0,6.9,4.63,6.166666667,203.0,37.0,13.0,7.07,4.23,11.64375
687,Courtland Sutton,2021,26.0,WR,59.2,55.0,7.9,4.54,6.25,218.0,35.5,18.0,6.57,4.11,9.3875
694,Emmanuel Sanders,2021,34.0,WR,58.3,41.0,8.7,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,10.13076923076923
717,Jarvis Landry,2021,29.0,WR,59.8,38.0,6.6,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,11.083333333333334
727,Bryan Edwards,2021,23.0,WR,57.6,51.0,9.7,0.0,6.25,212.0,0.0,0.0,0.0,0.0,9.091666666666667
730,Quez Watkins,2021,23.0,WR,69.4,91.0,10.4,4.35,6.0,185.0,36.5,0.0,7.28,4.36,9.666666666666666
737,Nelson Agholor,2021,28.0,WR,57.8,44.0,7.4,4.42,6.0,198.0,0.0,12.0,0.0,0.0,7.953846153846154
