,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
1878,Danny Amendola,2019,34.0,WR,63.9,47.0,7.0,4.58,5.833333333,183.0,27.5,13.0,6.81,4.25,14.059999999999999
1879,Alshon Jeffery,2019,29.0,WR,58.9,38.0,6.7,4.48,6.25,216.0,0.0,0.0,0.0,0.0,12.22
1882,Brandin Cooks,2019,26.0,WR,58.3,57.0,8.1,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,8.392857142857142
1892,Corey Davis,2019,24.0,WR,62.3,38.0,8.7,0.0,6.25,209.0,0.0,0.0,0.0,0.0,10.463636363636363
1897,JuJu Smith-Schuster,2019,23.0,WR,60,76.0,7.9,4.54,6.083333333,215.0,32.5,15.0,0.0,0.0,9.433333333333334
1900,Demarcus Robinson,2019,25.0,WR,58.2,44.0,8.2,4.59,6.083333333,203.0,34.5,0.0,6.77,4.19,10.09
1907,Mohamed Sanu,2019,30.0,WR,66.3,28.0,5.8,4.62,6.083333333,211.0,36.0,19.0,6.88,4.22,10.341666666666667
1912,Willie Snead,2019,27.0,WR,67.4,50.0,7.4,4.62,5.916666667,195.0,33.5,11.0,7.19,4.39,8.645454545454545
1914,Auden Tate,2019,22.0,WR,50,33.0,7.2,4.68,6.416666667,228.0,31.0,0.0,0.0,0.0,10.15
1918,Marquez Valdes-Scantling,2019,25.0,WR,46.4,74.0,8.1,4.37,6.333333333,206.0,30.5,15.0,0.0,0.0,8.41
1926,Nelson Agholor,2019,26.0,WR,56.5,43.0,5.3,4.42,6.0,198.0,0.0,12.0,0.0,0.0,9.4
1950,Demaryius Thomas,2019,32.0,WR,62.1,47.0,7.5,4.52,6.25,224.0,0.0,0.0,0.0,0.0,8.53
1969,Cody Latimer,2019,27.0,WR,57.1,43.0,7.1,4.52,6.166666667,215.0,0.0,23.0,0.0,0.0,6.6
1982,Miles Boykin,2019,23.0,WR,59.1,50.0,9.0,4.42,6.333333333,220.0,43.5,12.0,6.77,4.07,4.618181818181818
2294,Antonio Brown,2018,30.0,WR,61.9,78.0,7.7,4.56,5.833333333,186.0,33.5,13.0,6.98,4.18,21.58
2295,Davante Adams,2018,26.0,WR,65.7,57.0,8.2,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,21.973333333333336
2296,DeAndre Hopkins,2018,26.0,WR,70.6,49.0,9.6,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,20.84375
2297,Julio Jones,2018,29.0,WR,66.5,58.0,9.9,4.34,6.25,220.0,38.5,17.0,6.66,4.25,20.36875
2300,Mike Evans,2018,25.0,WR,62.3,72.0,11.0,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,18.15
2304,Michael Thomas,2018,25.0,WR,85,72.0,9.6,4.57,6.25,212.0,35.0,18.0,6.8,4.13,19.71875
2307,JuJu Smith-Schuster,2018,22.0,WR,66.9,97.0,8.6,4.54,6.083333333,215.0,32.5,15.0,0.0,0.0,22.838461538461537
2310,Robert Woods,2018,26.0,WR,66.2,39.0,9.4,4.51,6.0,201.0,33.5,14.0,7.15,4.47,16.6
2317,Tyler Lockett,2018,26.0,WR,81.4,52.0,13.8,4.4,5.833333333,182.0,35.5,0.0,6.89,4.07,15.885714285714286
2318,Stefon Diggs,2018,25.0,WR,68.5,75.0,6.9,4.46,6.0,195.0,35.0,0.0,7.03,4.32,19.021428571428572
2319,Brandin Cooks,2018,25.0,WR,68.4,57.0,10.3,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,15.2
2320,Keenan Allen,2018,26.0,WR,71.3,54.0,8.8,4.58,6.166666667,206.0,0.0,0.0,0.0,0.0,18.57857142857143
2321,T.Y. Hilton,2018,29.0,WR,63.3,68.0,10.6,4.34,5.75,183.0,0.0,0.0,0.0,0.0,17.071428571428573
2329,Tyler Boyd,2018,24.0,WR,70.4,49.0,9.5,4.58,6.083333333,197.0,34.0,11.0,6.9,4.35,15.792857142857143
2336,Amari Cooper,2018,24.0,WR,70.1,90.0,9.4,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,14.366666666666667
2339,Kenny Golladay,2018,25.0,WR,58.8,60.0,8.9,4.5,6.333333333,218.0,35.5,18.0,7.0,4.15,15.930769230769231
2340,Jarvis Landry,2018,26.0,WR,54.4,51.0,6.6,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,15.507142857142856
2345,Emmanuel Sanders,2018,31.0,WR,72.4,64.0,8.9,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,16.516666666666666
2352,Alshon Jeffery,2018,28.0,WR,70.7,52.0,9.2,4.48,6.25,216.0,0.0,0.0,0.0,0.0,14.253846153846155
2356,Corey Davis,2018,23.0,WR,58,51.0,8.0,0.0,6.25,209.0,0.0,0.0,0.0,0.0,11.475
2358,Larry Fitzgerald,2018,35.0,WR,61.6,37.0,6.6,4.48,6.25,225.0,0.0,0.0,0.0,0.0,11.60625
2359,Sterling Shepard,2018,25.0,WR,61.7,58.0,8.1,4.48,5.833333333,194.0,41.0,20.0,7.0,4.35,11.40625
2363,Mohamed Sanu,2018,29.0,WR,70.2,44.0,8.9,4.62,6.083333333,211.0,36.0,19.0,6.88,4.22,11.4
2395,DeSean Jackson,2018,32.0,WR,55.4,75.0,10.5,4.35,5.833333333,169.0,0.0,0.0,0.0,0.0,15.13
2397,Zay Jones,2018,23.0,WR,54.9,57.0,6.4,4.45,6.166666667,201.0,36.5,15.0,6.79,4.01,11.013333333333332
2403,John Brown,2018,28.0,WR,43.3,71.0,7.4,4.34,5.833333333,179.0,36.5,0.0,6.91,4.12,9.593333333333334
2406,D.J. Moore,2018,21.0,WR,67.1,82.0,9.6,4.42,6.0,210.0,39.5,15.0,6.95,4.07,15.7
2407,Nelson Agholor,2018,25.0,WR,66,83.0,7.6,4.42,6.0,198.0,0.0,12.0,0.0,0.0,10.3375
2411,Allen Robinson,2018,25.0,WR,58.5,43.0,8.0,4.6,6.25,220.0,39.0,0.0,7.0,4.0,12.775
2413,Demaryius Thomas,2018,31.0,WR,66.3,45.0,7.6,4.52,6.25,224.0,0.0,0.0,0.0,0.0,10.446666666666665
2414,Kenny Stills,2018,26.0,WR,57.8,75.0,8.6,4.38,6.0,194.0,33.5,16.0,0.0,4.35,8.96
2418,Jordy Nelson,2018,33.0,WR,71.6,66.0,8.4,4.51,6.25,217.0,31.0,0.0,7.03,4.35,11.192857142857141
2423,Antonio Callaway,2018,21.0,WR,54.4,71.0,7.4,4.41,5.916666667,200.0,34.0,0.0,0.0,0.0,12.02727272727273
2435,Donte Moncrief,2018,25.0,WR,53.9,80.0,7.5,4.4,6.166666667,221.0,39.5,13.0,7.02,4.3,9.342857142857143
2439,Michael Crabtree,2018,31.0,WR,54,27.0,6.1,4.54,6.083333333,215.0,0.0,0.0,0.0,0.0,8.29375
2440,Devin Funchess,2018,24.0,WR,55.7,27.0,6.9,4.7,6.333333333,232.0,38.5,17.0,0.0,0.0,10.241666666666667
2458,Marquez Valdes-Scantling,2018,24.0,WR,52.1,60.0,8.0,4.37,6.333333333,206.0,30.5,15.0,0.0,0.0,11.1
2460,Willie Snead,2018,26.0,WR,65.3,28.0,6.9,4.62,5.916666667,195.0,33.5,11.0,7.19,4.39,13.440000000000001
2465,Danny Amendola,2018,33.0,WR,74.7,39.0,7.3,4.58,5.833333333,183.0,27.5,13.0,6.81,4.25,8.493333333333334
2469,Josh Doctson,2018,26.0,WR,56.4,32.0,6.8,4.5,6.166666667,202.0,41.0,14.0,6.84,4.08,9.1
2475,John Ross,2018,23.0,WR,36.2,39.0,3.6,4.22,5.916666667,188.0,37.0,0.0,0.0,0.0,8.49
2486,Chris Conley,2018,26.0,WR,61.5,27.0,6.4,4.35,6.166666667,213.0,45.0,18.0,7.06,4.3,7.0307692307692315
2506,Quincy Enunwa,2018,26.0,WR,55.9,42.0,6.6,4.41,6.166666667,225.0,0.0,19.0,0.0,0.0,8.690000000000001
2521,Tajae Sharpe,2018,24.0,WR,55.3,28.0,6.7,4.55,6.166666667,194.0,33.5,11.0,0.0,0.0,5.476923076923077
2524,Kelvin Benjamin,2018,27.0,WR,37.3,40.0,5.7,4.61,6.416666667,240.0,32.5,13.0,7.33,4.39,6.9
2537,Ryan Grant,2018,28.0,WR,67.3,23.0,6.4,4.64,6.0,199.0,35.5,8.0,6.68,4.11,7.44
2841,DeAndre Hopkins,2017,25.0,WR,55.2,72.0,7.9,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,20.653333333333332
2842,Antonio Brown,2017,29.0,WR,62,57.0,9.4,4.56,5.833333333,186.0,33.5,13.0,6.98,4.18,22.164285714285715
2847,Keenan Allen,2017,25.0,WR,64.2,51.0,8.8,4.58,6.166666667,206.0,0.0,0.0,0.0,0.0,18.946666666666665
2851,Marvin Jones,2017,27.0,WR,57,58.0,10.3,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,14.06875
2852,Julio Jones,2017,28.0,WR,59.5,53.0,9.8,4.34,6.25,220.0,38.5,17.0,6.66,4.25,15.74375
2857,Brandin Cooks,2017,24.0,WR,57,64.0,9.5,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,14.746666666666666
2860,Michael Thomas,2017,24.0,WR,69.8,43.0,8.4,4.57,6.25,212.0,35.0,18.0,6.8,4.13,18.464285714285715
2861,Larry Fitzgerald,2017,34.0,WR,67.7,37.0,7.2,4.48,6.25,225.0,0.0,0.0,0.0,0.0,16.3375
2862,A.J. Green,2017,29.0,WR,52.4,77.0,7.5,4.48,6.333333333,211.0,34.5,18.0,6.91,4.21,14.175
2866,Davante Adams,2017,25.0,WR,63.2,55.0,7.6,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,15.892857142857142
2869,Jarvis Landry,2017,25.0,WR,69.6,49.0,6.1,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,16.25
2873,Alshon Jeffery,2017,27.0,WR,47.5,53.0,6.6,4.48,6.25,216.0,0.0,0.0,0.0,0.0,12.24375
2877,Stefon Diggs,2017,24.0,WR,67.4,59.0,8.9,4.46,6.0,195.0,35.0,0.0,7.03,4.32,14.157142857142857
2879,Golden Tate,2017,29.0,WR,76.7,71.0,8.4,4.42,5.833333333,199.0,35.0,17.0,7.12,4.34,18.708333333333332
2881,Mike Evans,2017,24.0,WR,52.2,42.0,7.4,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,13.54
2882,Devin Funchess,2017,23.0,WR,56.8,44.0,7.6,4.7,6.333333333,232.0,38.5,17.0,0.0,0.0,12.1875
2884,Nelson Agholor,2017,24.0,WR,65.3,72.0,8.1,4.42,6.0,198.0,0.0,12.0,0.0,0.0,19.35
2896,Demaryius Thomas,2017,30.0,WR,59.3,40.0,6.8,4.52,6.25,224.0,0.0,0.0,0.0,0.0,12.86875
2897,T.Y. Hilton,2017,28.0,WR,52.3,80.0,8.9,4.34,5.75,183.0,0.0,0.0,0.0,0.0,10.975
2900,Dez Bryant,2017,29.0,WR,52.3,50.0,6.3,4.52,6.166666667,225.0,0.0,0.0,0.0,0.0,11.65
2901,Kenny Stills,2017,25.0,WR,55.2,61.0,8.1,4.38,6.0,194.0,33.5,16.0,0.0,4.35,10.91875
2906,Michael Crabtree,2017,30.0,WR,57.4,41.0,6.1,4.54,6.083333333,215.0,0.0,0.0,0.0,0.0,12.271428571428572
2908,Marquise Goodwin,2017,27.0,WR,53.3,83.0,9.2,4.27,5.75,183.0,0.0,13.0,0.0,0.0,10.5375
2910,Jermaine Kearse,2017,27.0,WR,63.7,51.0,7.9,4.5,6.083333333,209.0,34.0,14.0,7.03,4.12,12.571428571428571
2944,Amari Cooper,2017,23.0,WR,50,87.0,7.1,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,13.200000000000001
2949,Mohamed Sanu,2017,28.0,WR,69.8,25.0,7.3,4.62,6.083333333,211.0,36.0,19.0,6.88,4.22,11.620000000000001
2950,Sammy Watkins,2017,24.0,WR,55.7,67.0,8.5,4.43,6.083333333,211.0,34.0,16.0,6.95,4.34,10.450000000000001
2951,Robert Woods,2017,25.0,WR,65.9,94.0,9.2,4.51,6.0,201.0,33.5,14.0,7.15,4.47,14.845454545454546
2952,Paul Richardson,2017,25.0,WR,55,61.0,8.8,4.4,6.0,175.0,38.0,0.0,7.09,0.0,11.561538461538463
2953,Rishard Matthews,2017,28.0,WR,60.9,75.0,9.1,4.54,6.0,217.0,36.0,20.0,6.88,4.19,14.2
2959,Mike Wallace,2017,31.0,WR,56.5,66.0,8.1,4.33,6.0,199.0,40.0,14.0,6.9,4.27,10.799999999999999
2964,Randall Cobb,2017,27.0,WR,71.7,46.0,7.1,4.46,5.833333333,191.0,33.5,16.0,7.08,4.34,11.385714285714286
2965,Marqise Lee,2017,26.0,WR,58.3,45.0,7.3,4.52,6.0,192.0,38.0,0.0,0.0,4.01,10.564285714285715
2968,DeSean Jackson,2017,31.0,WR,55.6,41.0,7.4,4.35,5.833333333,169.0,0.0,0.0,0.0,0.0,10.661538461538461
2969,Kelvin Benjamin,2017,26.0,WR,61.5,43.0,8.9,4.61,6.416666667,240.0,32.5,13.0,7.33,4.39,9.657142857142857
2972,Sterling Shepard,2017,24.0,WR,70.2,77.0,8.7,4.48,5.833333333,194.0,41.0,20.0,7.0,4.35,14.45
2973,Josh Doctson,2017,25.0,WR,44.9,52.0,6.4,4.5,6.166666667,202.0,41.0,14.0,6.84,4.08,8.557142857142857
2974,Will Fuller,2017,23.0,WR,56,59.0,8.5,4.32,6.0,186.0,33.5,10.0,6.93,4.27,11.32
2975,Jordy Nelson,2017,32.0,WR,60.2,58.0,5.5,4.51,6.25,217.0,31.0,0.0,7.03,4.35,9.146666666666667
2995,Brandon LaFell,2017,31.0,WR,58.4,45.0,6.2,4.58,6.166666667,211.0,36.0,0.0,6.81,4.23,8.32
2996,DeVante Parker,2017,24.0,WR,59.4,36.0,7.0,4.45,6.25,209.0,36.5,17.0,0.0,0.0,10.833333333333334
3009,Emmanuel Sanders,2017,30.0,WR,51.1,38.0,6.0,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,10.409090909090908
3024,Jeremy Maclin,2017,29.0,WR,55.6,48.0,6.1,4.43,6.0,198.0,0.0,0.0,0.0,0.0,8.5
3032,Terrance Williams,2017,28.0,WR,67.9,56.0,7.3,4.52,6.166666667,208.0,32.5,11.0,7.01,4.32,7.95
3039,Torrey Smith,2017,28.0,WR,53.7,59.0,6.4,4.41,6.083333333,204.0,41.0,19.0,6.72,4.13,6.478571428571429
3068,Zay Jones,2017,22.0,WR,36.5,33.0,4.3,4.45,6.166666667,201.0,36.5,15.0,6.79,4.01,7.06
3212,Brandon Williams,2017,30.0,WR,76.5,32.0,7.1,4.48,5.75,179.0,34.5,0.0,6.87,4.07,2.5100000000000002
3383,Mike Evans,2016,23.0,WR,55.5,45.0,7.6,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,19.00625
3384,Jordy Nelson,2016,31.0,WR,63.8,60.0,8.3,4.51,6.25,217.0,31.0,0.0,7.03,4.35,19.04375
3385,Antonio Brown,2016,28.0,WR,68.8,51.0,8.3,4.56,5.833333333,186.0,33.5,13.0,6.98,4.18,20.486666666666668
3391,T.Y. Hilton,2016,27.0,WR,58.7,63.0,9.3,4.34,5.75,183.0,0.0,0.0,0.0,0.0,17.1125
3394,Julio Jones,2016,27.0,WR,64.3,75.0,10.9,4.34,6.25,220.0,38.5,17.0,6.66,4.25,18.564285714285713
3396,Davante Adams,2016,24.0,WR,62,66.0,8.2,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,16.446666666666665
3397,Brandin Cooks,2016,23.0,WR,66.7,98.0,10.0,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,20.525000000000002
3403,Michael Thomas,2016,23.0,WR,76,46.0,9.4,4.57,6.25,212.0,35.0,18.0,6.8,4.13,21.308333333333334
3413,Michael Crabtree,2016,29.0,WR,61.4,56.0,6.9,4.54,6.083333333,215.0,0.0,0.0,0.0,0.0,14.95625
3415,Amari Cooper,2016,22.0,WR,62.9,64.0,8.7,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,16.592857142857145
3426,Jarvis Landry,2016,24.0,WR,71.8,71.0,8.7,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,14.45625
3427,Larry Fitzgerald,2016,33.0,WR,71.3,33.0,6.8,4.48,6.25,225.0,0.0,0.0,0.0,0.0,15.2375
3430,Demaryius Thomas,2016,29.0,WR,62.5,55.0,7.5,4.52,6.25,224.0,0.0,0.0,0.0,0.0,14.14375
3432,Kelvin Benjamin,2016,25.0,WR,53.4,50.0,8.0,4.61,6.416666667,240.0,32.5,13.0,7.33,4.39,15.161538461538461
3436,Emmanuel Sanders,2016,29.0,WR,57.7,64.0,7.5,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,13.2875
3439,Golden Tate,2016,28.0,WR,67.4,67.0,8.0,4.42,5.833333333,199.0,35.0,17.0,7.12,4.34,13.94375
3440,Mike Wallace,2016,30.0,WR,62.1,95.0,8.8,4.33,6.0,199.0,40.0,14.0,6.9,4.27,12.675
3442,Dez Bryant,2016,28.0,WR,52.1,56.0,8.3,4.52,6.166666667,225.0,0.0,0.0,0.0,0.0,13.846153846153847
3444,Kenny Britt,2016,28.0,WR,61.3,66.0,9.0,4.47,6.25,218.0,37.0,23.0,0.0,4.47,13.08
3446,Kenny Stills,2016,24.0,WR,51.9,74.0,9.0,4.38,6.0,194.0,33.5,16.0,0.0,4.35,10.5375
3447,Allen Robinson,2016,23.0,WR,48.3,42.0,5.8,4.6,6.25,220.0,39.0,0.0,7.0,4.0,12.45625
3470,DeSean Jackson,2016,30.0,WR,56,80.0,10.1,4.35,5.833333333,169.0,0.0,0.0,0.0,0.0,12.033333333333333
3471,Pierre Garcon,2016,30.0,WR,69.3,70.0,9.1,4.42,6.0,210.0,36.5,20.0,6.9,4.19,12.56875
3472,Brandon LaFell,2016,30.0,WR,59.8,86.0,8.1,4.58,6.166666667,211.0,36.0,0.0,6.81,4.23,13.285714285714286
3474,A.J. Green,2016,28.0,WR,66,54.0,9.6,4.48,6.333333333,211.0,34.5,18.0,6.91,4.21,18.64
3476,DeAndre Hopkins,2016,24.0,WR,51.7,51.0,6.3,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,12.3375
3477,Sterling Shepard,2016,23.0,WR,61.9,32.0,6.5,4.48,5.833333333,194.0,41.0,20.0,7.0,4.35,11.525
3479,Marvin Jones,2016,26.0,WR,53.4,73.0,9.0,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,11.486666666666668
3486,Quincy Enunwa,2016,24.0,WR,55.2,69.0,8.2,4.41,6.166666667,225.0,0.0,19.0,0.0,0.0,12.992307692307692
3489,Stefon Diggs,2016,23.0,WR,75,46.0,8.1,4.46,6.0,195.0,35.0,0.0,7.03,4.32,17.572727272727274
3491,Anquan Boldin,2016,36.0,WR,70.5,35.0,6.1,4.72,6.083333333,216.0,33.5,0.0,7.35,4.33,10.8375
3501,Jordan Matthews,2016,24.0,WR,62.4,54.0,6.9,4.46,6.25,212.0,35.5,21.0,6.95,4.18,13.184615384615386
3503,Brandon Marshall,2016,32.0,WR,46.1,41.0,6.2,4.52,6.333333333,229.0,37.0,0.0,0.0,0.0,10.386666666666667
3505,Alshon Jeffery,2016,26.0,WR,55.3,54.0,8.7,4.48,6.25,216.0,0.0,0.0,0.0,0.0,12.174999999999999
3509,Mohamed Sanu,2016,27.0,WR,72.8,59.0,8.1,4.62,6.083333333,211.0,36.0,19.0,6.88,4.22,9.92
3510,Tavon Austin,2016,26.0,WR,54.7,43.0,4.8,4.34,5.666666667,174.0,32.0,14.0,0.0,4.01,9.786666666666667
3511,Randall Cobb,2016,26.0,WR,71.4,47.0,7.3,4.46,5.833333333,191.0,33.5,16.0,7.08,4.34,14.830000000000002
3519,Jeremy Kerley,2016,28.0,WR,55.7,33.0,5.8,4.56,5.75,189.0,34.5,16.0,0.0,0.0,11.284615384615384
3525,Will Fuller,2016,22.0,WR,51.1,53.0,6.9,4.32,6.0,186.0,33.5,10.0,6.93,4.27,9.86153846153846
3526,Terrance Williams,2016,27.0,WR,72.1,47.0,9.7,4.52,6.166666667,208.0,32.5,11.0,7.01,4.32,8.360000000000001
3557,Robert Woods,2016,24.0,WR,67.1,34.0,8.1,4.51,6.0,201.0,33.5,14.0,7.15,4.47,11.89
3561,Allen Hurns,2016,25.0,WR,46.1,42.0,6.3,4.55,6.083333333,198.0,31.0,14.0,7.23,4.5,9.154545454545454
3562,Jeremy Maclin,2016,28.0,WR,57.9,44.0,7.1,4.43,6.0,198.0,0.0,0.0,0.0,0.0,9.125
3566,Tajae Sharpe,2016,22.0,WR,49.4,34.0,6.3,4.55,6.166666667,194.0,33.5,11.0,0.0,0.0,10.53
3574,Corey Coleman,2016,22.0,WR,45.2,58.0,5.7,4.42,5.916666667,194.0,40.5,17.0,0.0,0.0,9.33
3578,Jermaine Kearse,2016,26.0,WR,46.1,36.0,5.7,4.5,6.083333333,209.0,34.0,14.0,7.03,4.12,6.533333333333333
3586,Chris Conley,2016,24.0,WR,63.8,39.0,7.7,4.35,6.166666667,213.0,45.0,18.0,7.06,4.3,8.818181818181818
3588,Nelson Agholor,2016,23.0,WR,52.2,40.0,5.3,4.42,6.0,198.0,0.0,12.0,0.0,0.0,6.278571428571429
3608,Torrey Smith,2016,27.0,WR,40.8,53.0,5.4,4.41,6.083333333,204.0,41.0,19.0,6.72,4.13,5.391666666666667
3617,Quinton Patton,2016,26.0,WR,58.7,45.0,6.5,4.53,6.0,204.0,33.0,8.0,6.91,4.01,5.557142857142857
3917,Antonio Brown,2015,27.0,WR,70.5,59.0,9.5,4.56,5.833333333,186.0,33.5,13.0,6.98,4.18,24.2625
3919,Julio Jones,2015,26.0,WR,67,70.0,9.2,4.34,6.25,220.0,38.5,17.0,6.66,4.25,23.44375
3921,Brandon Marshall,2015,31.0,WR,63,69.0,8.7,4.52,6.333333333,229.0,37.0,0.0,0.0,0.0,21.2
3922,Allen Robinson,2015,22.0,WR,53,90.0,9.3,4.6,6.25,220.0,39.0,0.0,7.0,4.0,19.0
3925,DeAndre Hopkins,2015,23.0,WR,57.8,61.0,7.9,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,20.69375
3937,A.J. Green,2015,27.0,WR,65.2,80.0,9.8,4.48,6.333333333,211.0,34.5,18.0,6.91,4.21,17.10625
3942,Calvin Johnson,2015,30.0,WR,59.1,57.0,8.1,4.35,6.416666667,239.0,0.0,0.0,0.0,0.0,16.3375
3944,Eric Decker,2015,28.0,WR,60.6,35.0,7.8,4.54,6.25,217.0,0.0,15.0,0.0,0.0,19.43846153846154
3945,Larry Fitzgerald,2015,32.0,WR,75.2,44.0,8.4,4.48,6.25,225.0,0.0,0.0,0.0,0.0,17.53125
3946,Brandin Cooks,2015,22.0,WR,65.1,71.0,8.8,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,21.133333333333333
3948,Jarvis Landry,2015,23.0,WR,66.3,50.0,7.0,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,19.67142857142857
3953,Demaryius Thomas,2015,28.0,WR,59.3,72.0,7.4,4.52,6.25,224.0,0.0,0.0,0.0,0.0,16.7125
3955,Allen Hurns,2015,24.0,WR,61,80.0,9.8,4.55,6.083333333,198.0,31.0,14.0,7.23,4.5,15.006666666666666
3956,Sammy Watkins,2015,22.0,WR,62.5,63.0,10.9,4.43,6.083333333,211.0,34.0,16.0,6.95,4.34,16.83076923076923
3958,Jeremy Maclin,2015,27.0,WR,70.2,61.0,8.8,4.43,6.0,198.0,0.0,0.0,0.0,0.0,16.21333333333333
3965,Emmanuel Sanders,2015,28.0,WR,55.9,75.0,8.3,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,14.96
3966,Tavon Austin,2015,25.0,WR,59.8,66.0,5.4,4.34,5.666666667,174.0,32.0,14.0,0.0,4.01,13.246666666666666
3969,Michael Crabtree,2015,28.0,WR,58.2,38.0,6.3,4.54,6.083333333,215.0,0.0,0.0,0.0,0.0,15.413333333333332
3970,Jordan Matthews,2015,23.0,WR,67.5,78.0,7.9,4.46,6.25,212.0,35.5,21.0,6.95,4.18,19.224999999999998
3972,John Brown,2015,25.0,WR,64.4,68.0,9.9,4.34,5.833333333,179.0,36.5,0.0,6.91,4.12,18.863636363636363
3973,T.Y. Hilton,2015,26.0,WR,51.5,87.0,8.4,4.34,5.75,183.0,0.0,0.0,0.0,0.0,14.093333333333334
3976,James Jones,2015,31.0,WR,50.5,65.0,9.0,4.54,6.083333333,207.0,34.0,22.0,7.06,4.2,12.733333333333333
3977,Amari Cooper,2015,21.0,WR,55.4,68.0,8.2,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,14.18
3981,Mike Evans,2015,22.0,WR,50,68.0,8.1,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,15.042857142857143
3989,Randall Cobb,2015,25.0,WR,61.2,53.0,6.4,4.46,5.833333333,191.0,33.5,16.0,7.08,4.34,13.926666666666668
4009,Travis Benjamin,2015,26.0,WR,54.4,61.0,7.7,4.31,5.833333333,172.0,38.0,14.0,0.0,0.0,13.186666666666667
4011,Rueben Randle,2015,24.0,WR,63.3,72.0,8.9,4.55,6.25,210.0,31.0,15.0,6.99,4.36,11.54375
4018,Golden Tate,2015,27.0,WR,70.3,43.0,6.4,4.42,5.833333333,199.0,35.0,17.0,7.12,4.34,13.0875
4022,Pierre Garcon,2015,29.0,WR,64.9,39.0,7.0,4.42,6.0,210.0,36.5,20.0,6.9,4.19,11.60625
4029,Marvin Jones,2015,25.0,WR,63.1,47.0,7.9,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,13.376923076923077
4030,Donte Moncrief,2015,22.0,WR,61,33.0,7.0,4.4,6.166666667,221.0,39.5,13.0,7.02,4.3,17.330000000000002
4036,Terrance Williams,2015,26.0,WR,55.9,42.0,9.0,4.52,6.166666667,208.0,32.5,11.0,7.01,4.32,11.846153846153847
4038,Anquan Boldin,2015,35.0,WR,62.2,51.0,7.1,4.72,6.083333333,216.0,33.5,0.0,7.35,4.33,13.069230769230769
4041,Jermaine Kearse,2015,25.0,WR,72.1,50.0,10.1,4.5,6.083333333,209.0,34.0,14.0,7.03,4.12,9.21875
4050,Torrey Smith,2015,26.0,WR,53.2,76.0,10.7,4.41,6.083333333,204.0,41.0,19.0,6.72,4.13,10.441666666666666
4060,Kenny Britt,2015,27.0,WR,50,60.0,9.5,4.47,6.25,218.0,37.0,23.0,0.0,4.47,8.721428571428572
4082,Andre Johnson,2015,34.0,WR,53.2,35.0,6.5,4.41,6.166666667,230.0,39.0,0.0,0.0,0.0,8.235714285714286
4084,Corey Brown,2015,24.0,WR,57.4,39.0,8.3,4.51,5.916666667,178.0,33.0,0.0,7.16,4.22,9.409090909090908
4085,Corey Brown,2015,24.0,WR,57.4,39.0,8.3,4.63,6.0,202.0,39.5,0.0,0.0,0.0,9.409090909090908
4116,Mike Wallace,2015,29.0,WR,54.2,34.0,6.6,4.33,6.0,199.0,40.0,14.0,6.9,4.27,8.241666666666667
4117,Albert Wilson,2015,23.0,WR,61.4,44.0,7.9,4.43,5.75,202.0,37.5,10.0,7.0,4.21,7.891666666666667
4125,Roddy White,2015,34.0,WR,61.4,25.0,7.2,4.46,6.083333333,207.0,0.0,0.0,0.0,0.0,6.225
4126,Davante Adams,2015,23.0,WR,53.2,40.0,5.1,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,8.858333333333333
4136,Harry Douglas,2015,31.0,WR,50,51.0,5.7,4.51,5.916666667,176.0,31.0,0.0,6.57,4.12,7.208333333333333
