,Player,Year,Age,Position,Passing_TD%,Passing_Int%,Passing_NY/A,Passing_ANY/A,Passing_Sk%,Rushing_Y/G,Drop%,Bad%,OnTgt%,Prss%,Pts_Per_Start
50,Derek Carr,2022,31.0,QB,4.8,2.8,6.3,6.01,5.1,6.8,0.053,0.2,0.718,18.40%,14.606666666666666
60,Kyler Murray,2022,25.0,QB,3.6,1.8,5.24,5.16,6.0,38.0,0.059,0.119,0.779,18.50%,18.227272727272727
64,Dak Prescott,2022,29.0,QB,5.8,3.8,6.6,6.08,4.8,15.2,0.062,0.173,0.763,20.00%,16.55
67,Marcus Mariota,2022,29.0,QB,5.0,3.0,6.17,5.85,8.5,33.7,0.028,0.225,0.706,20.90%,15.123076923076923
73,Davis Mills,2022,24.0,QB,3.5,3.1,5.64,4.98,6.1,7.2,0.039,0.232,0.706,23.60%,12.1
84,Andy Dalton,2022,35.0,QB,4.8,2.4,6.66,6.54,6.2,3.9,0.069,0.124,0.78,14.70%,12.442857142857141
86,Mac Jones,2022,24.0,QB,3.2,2.5,5.81,5.36,7.1,7.3,0.066,0.134,0.75,19.20%,12.15
88,Jacoby Brissett,2022,30.0,QB,3.3,1.6,6.23,6.15,6.1,15.2,0.071,0.137,0.757,24.50%,15.327272727272726
97,Jimmy Garoppolo,2022,31.0,QB,5.2,1.3,7.17,7.6,5.5,3.0,0.069,0.127,0.745,15.50%,16.48
100,Ryan Tannehill,2022,34.0,QB,4.0,1.8,6.42,6.39,9.2,8.2,0.063,0.12,0.741,24.30%,13.433333333333332
106,Matt Ryan,2022,37.0,QB,3.0,2.8,5.55,4.94,7.6,5.8,0.043,0.135,0.767,24.00%,12.941666666666668
112,Kenny Pickett,2022,24.0,QB,1.8,2.3,5.34,4.7,6.5,18.2,0.043,0.182,0.721,21.00%,12.491666666666667
140,Baker Mayfield,2022,27.0,QB,3.0,2.4,5.25,4.81,9.7,7.4,0.053,0.188,0.708,20.70%,12.14
560,Tom Brady,2021,44.0,QB,6.0,1.7,6.98,7.41,3.0,4.8,4.5,18.0,75.4,11.1,22.041176470588233
566,Patrick Mahomes,2021,26.0,QB,5.6,2.0,6.84,7.07,4.1,22.4,5.0,18.8,77.5,22.1,21.276470588235295
571,Aaron Rodgers,2021,38.0,QB,7.0,0.8,7.0,8.0,5.3,6.3,2.5,18.2,77.3,22.3,20.83125
573,Matthew Stafford,2021,33.0,QB,6.8,2.8,7.36,7.45,4.8,2.5,5.2,18.6,76.6,16.3,19.394117647058824
576,Dak Prescott,2021,28.0,QB,6.2,1.7,6.88,7.34,4.8,9.1,4.8,14.7,77.3,19.2,20.0375
582,Joe Burrow,2021,25.0,QB,6.5,2.7,7.43,7.51,8.9,7.4,4.5,10.7,82.8,24.5,19.6375
584,Jalen Hurts,2021,23.0,QB,3.7,2.1,6.54,6.35,5.7,52.3,5.4,14.0,78.2,26.4,20.813333333333333
593,Kyler Murray,2021,24.0,QB,5.0,2.1,6.84,6.9,6.1,30.2,3.5,14.1,79.4,20.7,21.464285714285715
594,Kirk Cousins,2021,33.0,QB,5.9,1.2,6.83,7.42,4.8,7.2,4.1,17.1,77.0,26.6,18.76875
629,Ryan Tannehill,2021,33.0,QB,4.0,2.6,5.89,5.53,8.1,15.9,4.4,15.9,78.9,23.8,15.788235294117646
630,Carson Wentz,2021,29.0,QB,5.2,1.4,6.09,6.5,5.8,12.6,5.0,18.8,73.7,25.8,15.176470588235293
631,Derek Carr,2021,30.0,QB,3.7,2.2,6.85,6.6,6.0,6.4,4.3,15.6,77.4,21.4,15.117647058823529
632,Russell Wilson,2021,33.0,QB,6.3,1.5,6.58,7.11,7.6,13.1,4.1,18.6,76.5,27,17.342857142857145
633,Lamar Jackson,2021,24.0,QB,4.2,3.4,6.41,5.78,9.0,63.9,4.9,19.7,73.3,22.6,20.0
634,Jimmy Garoppolo,2021,30.0,QB,4.5,2.7,7.68,7.38,6.2,3.4,5.4,12.9,81.5,18.7,15.166666666666666
635,Mac Jones,2021,23.0,QB,4.2,2.5,6.48,6.22,5.1,7.6,3.1,17.7,76.0,18.4,13.229411764705883
636,Matt Ryan,2021,36.0,QB,3.6,2.1,6.16,5.92,6.7,4.8,3.9,14.5,78.1,27.9,13.111764705882353
637,Taylor Heinicke,2021,28.0,QB,4.0,3.0,5.9,5.39,7.1,19.6,3.7,16.6,75.6,24.6,14.860000000000001
638,Ben Roethlisberger,2021,39.0,QB,3.6,1.7,5.44,5.43,5.9,0.3,5.0,18.4,75.5,18.6,13.63125
639,Teddy Bridgewater,2021,29.0,QB,4.2,1.6,6.22,6.32,6.8,7.6,3.2,16.7,77.8,29,14.478571428571428
640,Trevor Lawrence,2021,22.0,QB,2.0,2.8,5.37,4.54,5.0,19.6,5.7,20.5,71.3,22.6,11.705882352941176
641,Jared Goff,2021,27.0,QB,3.8,1.6,5.6,5.64,6.6,6.2,4.5,16.5,80.1,24.6,13.892857142857142
642,Baker Mayfield,2021,26.0,QB,4.1,3.1,5.95,5.41,9.3,9.6,5.0,20.9,73.6,23.3,12.921428571428573
643,Tua Tagovailoa,2021,23.0,QB,4.1,2.6,6.13,5.81,4.9,9.8,4.5,16.3,80.1,20.9,15.075000000000001
644,Daniel Jones,2021,24.0,QB,2.8,1.9,5.92,5.62,5.7,27.1,5.5,18.4,76.1,23.3,15.227272727272727
645,Sam Darnold,2021,24.0,QB,2.2,3.2,5.27,4.35,7.9,18.5,7.0,18.5,74.5,29.1,14.3
646,Davis Mills,2021,23.0,QB,4.1,2.5,5.78,5.48,7.3,3.4,3.2,17.4,75.7,20.9,14.272727272727273
647,Zach Wilson,2021,22.0,QB,2.3,2.9,4.6,3.86,10.3,14.2,6.8,23.8,69.9,30.6,11.684615384615386
650,Justin Fields,2021,22.0,QB,2.6,3.7,5.25,4.24,11.8,35.0,6.9,21.9,72.7,27.3,12.68
1156,Josh Allen,2020,24.0,QB,6.5,1.7,7.33,7.82,4.3,26.3,4.5,16.0,79.1,21.9,24.75625
1157,Aaron Rodgers,2020,37.0,QB,9.1,1.0,7.54,8.89,3.7,9.3,5.4,13.8,81.2,14.2,23.95625
1158,Kyler Murray,2020,23.0,QB,4.7,2.2,6.49,6.45,4.6,51.2,2.5,16.8,77.1,16.7,23.66875
1159,Patrick Mahomes,2020,25.0,QB,6.5,1.0,7.53,8.33,3.6,20.5,4.9,17.6,76.9,22,24.959999999999997
1160,Deshaun Watson,2020,25.0,QB,6.1,1.3,7.64,8.22,8.3,27.8,3.6,15.1,80.3,26.1,23.08125
1165,Russell Wilson,2020,32.0,QB,7.2,2.3,6.46,6.82,7.8,32.1,5.1,15.8,79.5,27.2,22.4875
1172,Ryan Tannehill,2020,32.0,QB,6.9,1.5,7.22,7.9,4.8,16.6,4.3,13.6,77.3,23,21.525
1174,Tom Brady,2020,43.0,QB,6.6,2.0,7.12,7.53,3.3,0.4,5.2,20.6,73.9,17.8,21.11875
1178,Justin Herbert,2020,22.0,QB,5.2,1.7,6.57,6.84,5.1,15.6,3.9,18.0,76.5,28.7,22.186666666666667
1179,Lamar Jackson,2020,23.0,QB,6.9,2.4,6.41,6.7,7.2,67.0,5.5,17.6,75.3,22.5,22.186666666666667
1194,Kirk Cousins,2020,32.0,QB,6.8,2.5,7.22,7.43,7.0,9.8,3.7,13.8,81.3,30.2,19.1375
1224,Matt Ryan,2020,35.0,QB,4.2,1.8,6.48,6.52,6.1,5.8,5.4,14.7,75.5,24.3,17.65
1227,Derek Carr,2020,29.0,QB,5.2,1.7,7.28,7.53,4.8,8.8,4.1,16.0,78.9,19.8,17.00625
1228,Ben Roethlisberger,2020,38.0,QB,5.4,1.6,5.93,6.27,2.1,0.7,6.4,15.0,76.4,17,17.813333333333333
1229,Matthew Stafford,2020,32.0,QB,4.9,1.9,6.77,6.89,6.7,7.0,6.4,18.3,77.6,21,16.2875
1230,Cam Newton,2020,31.0,QB,2.2,2.7,6.17,5.44,7.8,39.5,4.2,19.7,74.6,26,17.4
1231,Baker Mayfield,2020,25.0,QB,5.3,1.6,6.64,6.96,5.1,10.3,4.6,18.8,74.8,18.8,15.5375
1232,Teddy Bridgewater,2020,28.0,QB,3.0,2.2,6.75,6.37,5.9,18.6,4.2,13.0,80.5,19.8,16.08
1233,Jared Goff,2020,26.0,QB,3.6,2.4,6.59,6.27,4.0,6.6,5.1,16.0,78.5,19.9,16.0
1234,Philip Rivers,2020,39.0,QB,4.4,2.0,7.21,7.18,3.4,-0.5,3.2,16.0,77.2,16.5,15.0
1235,Drew Brees,2020,41.0,QB,6.2,1.5,7.08,7.6,3.2,-0.2,5.5,13.4,80.8,14.6,17.458333333333332
1236,Carson Wentz,2020,28.0,QB,3.7,3.4,4.71,3.98,10.3,23.0,5.5,21.7,70.4,29.3,16.533333333333335
1237,Drew Lock,2020,24.0,QB,3.6,3.4,6.08,5.31,4.1,12.3,5.8,22.9,68.9,24.4,13.946153846153846
1238,Daniel Jones,2020,23.0,QB,2.5,2.2,5.39,4.92,9.1,30.2,5.3,17.6,75.2,30.3,12.857142857142858
1239,Joe Burrow,2020,24.0,QB,3.2,1.2,5.64,5.72,7.3,14.2,4.8,14.8,75.3,24.1,17.369999999999997
1247,Sam Darnold,2020,23.0,QB,2.5,3.0,4.95,4.16,8.8,18.1,4.1,18.2,71.8,27.3,11.166666666666666
1729,Lamar Jackson,2019,22.0,QB,9.0,1.5,7.13,8.19,5.4,80.4,3.6,17.5,76.0,16.2,27.71333333333333
1739,Dak Prescott,2019,26.0,QB,5.0,1.8,7.68,7.84,3.7,17.3,6.2,14.8,77.6,18.8,21.1125
1741,Russell Wilson,2019,31.0,QB,6.0,1.0,6.72,7.42,8.5,21.4,3.4,18.5,76.3,28.9,20.5375
1744,Deshaun Watson,2019,24.0,QB,5.3,2.4,6.67,6.63,8.2,27.5,4.4,16.7,76.8,22.3,21.4
1757,Jameis Winston,2019,25.0,QB,5.3,4.8,7.17,6.15,7.0,15.6,3.8,20.6,69.9,22.9,19.0875
1771,Josh Allen,2019,23.0,QB,4.3,2.0,5.72,5.71,7.6,31.9,7.2,20.3,73.2,23.2,18.0375
1775,Patrick Mahomes,2019,24.0,QB,5.4,1.0,7.79,8.38,3.4,15.6,5.4,18.3,77.2,20,20.5
1777,Kyler Murray,2019,22.0,QB,3.7,2.2,5.78,5.55,8.1,34.0,3.3,17.9,73.5,20.6,17.83125
1783,Aaron Rodgers,2019,36.0,QB,4.6,0.7,6.15,6.71,6.0,11.4,4.5,21.2,74.7,21.9,17.4
1787,Carson Wentz,2019,27.0,QB,4.4,1.2,5.91,6.26,5.7,15.2,4.7,17.8,72.3,23.4,17.24375
1796,Matt Ryan,2019,34.0,QB,4.2,2.3,6.25,6.08,7.2,9.8,2.9,14.6,75.3,23.9,17.82
1804,Tom Brady,2019,42.0,QB,3.9,1.3,6.05,6.24,4.2,2.1,5.9,20.6,73.1,18.5,16.48125
1805,Jared Goff,2019,25.0,QB,3.5,2.6,6.9,6.46,3.4,2.5,4.4,20.2,71.6,18.5,15.46875
1806,Jimmy Garoppolo,2019,28.0,QB,5.7,2.7,7.31,7.22,7.0,3.9,6.0,13.7,80.7,20.8,15.45625
1807,Derek Carr,2019,28.0,QB,4.1,1.6,7.14,7.25,5.4,5.1,5.2,11.0,82.6,20.3,15.275
1808,Kirk Cousins,2019,31.0,QB,5.9,1.4,7.2,7.73,5.9,4.2,4.0,15.5,79.0,22,16.293333333333333
1809,Ryan Fitzpatrick,2019,37.0,QB,4.0,2.6,6.13,5.78,7.4,16.2,5.7,17.7,72.8,26.7,18.576923076923077
1810,Philip Rivers,2019,38.0,QB,3.9,3.4,7.03,6.32,5.4,1.8,4.4,15.4,76.7,20.6,14.71875
1811,Baker Mayfield,2019,24.0,QB,4.1,3.9,6.17,5.29,7.0,8.8,5.8,18.1,70.6,21.8,14.325
1812,Gardner Minshew II,2019,23.0,QB,4.5,1.3,6.14,6.44,6.6,24.6,5.3,18.6,73.6,21.2,19.099999999999998
1813,Drew Brees,2019,40.0,QB,7.1,1.1,7.41,8.33,3.1,-0.4,3.6,10.7,84.1,13.8,20.436363636363637
1814,Ryan Tannehill,2019,31.0,QB,7.7,2.1,7.98,8.52,9.8,15.4,3.2,12.6,80.9,24.1,22.419999999999998
1815,Jacoby Brissett,2019,27.0,QB,4.0,1.3,5.87,6.06,5.7,15.2,5.7,18.4,74.5,27,14.513333333333332
1816,Daniel Jones,2019,22.0,QB,5.2,2.6,5.5,5.38,7.6,21.5,3.8,17.9,71.1,29,17.916666666666668
1817,Andy Dalton,2019,32.0,QB,3.0,2.7,5.74,5.19,6.5,5.6,5.4,18.3,71.8,16.9,15.669230769230769
1818,Mitchell Trubisky,2019,25.0,QB,3.3,1.9,5.24,5.04,6.9,12.9,5.5,18.4,74.5,21.9,13.520000000000001
1819,Sam Darnold,2019,22.0,QB,4.3,2.9,5.93,5.5,7.0,4.8,6.0,17.8,75.2,28,14.553846153846154
1820,Kyle Allen,2019,23.0,QB,3.5,3.3,5.47,4.76,8.6,8.2,6.0,16.6,76.2,22.4,14.791666666666666
