,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
11,Travis Kelce,2022,33.0,TE,72.40%,52.0,8.8,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,18.605882352941176
54,T.J. Hockenson,2022,25.0,TE,66.70%,81.0,7.1,4.7,6.416666667,251.0,37.5,17.0,7.02,4.18,15.385714285714286
61,George Kittle,2022,29.0,TE,69.80%,54.0,8.9,4.52,6.333333333,247.0,35.0,18.0,0.0,0.0,13.366666666666667
70,Mark Andrews,2022,27.0,TE,64.60%,36.0,7.5,4.67,6.416666667,256.0,31.0,17.0,7.34,4.38,12.7
80,Evan Engram,2022,28.0,TE,74.50%,36.0,7.8,4.42,6.25,234.0,36.0,19.0,6.92,4.23,12.635714285714286
110,Tyler Higbee,2022,29.0,TE,66.70%,26.0,5.7,4.77,6.5,249.0,0.0,0.0,0.0,0.0,8.941176470588236
115,Cole Kmet,2022,23.0,TE,72.50%,50.0,7.9,4.7,6.5,262.0,37.0,0.0,7.44,4.41,8.664705882352942
120,Dalton Schultz,2022,26.0,TE,64.00%,30.0,6.5,4.75,6.416666667,244.0,32.0,15.0,7.0,4.4,9.513333333333332
122,David Njoku,2022,26.0,TE,72.50%,38.0,7.9,4.64,6.333333333,246.0,37.5,21.0,6.97,4.34,10.142857142857142
124,Dallas Goedert,2022,27.0,TE,79.70%,31.0,10.2,0.0,6.416666667,256.0,0.0,23.0,0.0,0.0,11.766666666666666
125,Gerald Everett,2022,28.0,TE,66.70%,26.0,6.4,4.62,6.25,239.0,37.5,22.0,6.99,4.33,12.681818181818182
127,Dawson Knox,2022,26.0,TE,73.80%,45.0,8.0,0.0,6.333333333,254.0,34.5,16.0,7.12,4.27,9.046666666666665
129,Juwan Johnson,2022,26.0,TE,64.60%,41.0,7.8,4.58,6.333333333,230.0,33.0,14.0,6.94,4.37,11.233333333333334
131,Tyler Conklin,2022,27.0,TE,66.70%,30.0,6.3,4.8,6.25,254.0,38.0,18.0,7.13,4.23,8.21875
138,Noah Fant,2022,25.0,TE,79.40%,51.0,7.7,4.5,6.333333333,249.0,39.5,20.0,6.81,4.22,7.6625
149,Zach Ertz,2022,32.0,TE,68.10%,32.0,5.9,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,11.559999999999999
163,Hayden Hurst,2022,29.0,TE,76.50%,29.0,6.1,4.67,6.333333333,250.0,31.5,0.0,7.19,4.37,8.107692307692307
167,Hunter Henry,2022,28.0,TE,69.50%,39.0,8.6,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,7.421428571428572
186,Cade Otton,2022,23.0,TE,64.60%,35.0,6.0,0.0,6.416666667,247.0,0.0,0.0,0.0,0.0,8.463636363636363
198,Will Dissly,2022,26.0,TE,89.50%,38.0,9.2,4.87,6.333333333,262.0,28.0,15.0,7.07,4.4,5.793333333333334
202,Foster Moreau,2022,25.0,TE,61.10%,33.0,7.8,4.66,6.333333333,253.0,36.5,22.0,7.16,4.11,6.085714285714286
218,Logan Thomas,2022,31.0,TE,63.90%,27.0,5.3,4.61,6.5,248.0,35.5,0.0,7.05,4.18,5.946153846153846
220,Kyle Pitts,2022,22.0,TE,47.50%,33.0,6.0,4.44,6.416666667,245.0,33.5,22.0,7.12,4.3,7.56
222,Daniel Bellinger,2022,22.0,TE,85.70%,24.0,7.7,4.63,6.416666667,253.0,34.5,22.0,7.05,4.47,6.818181818181818
238,Brock Wright,2022,24.0,TE,75.00%,51.0,9.0,4.62,6.333333333,257.0,31.5,26.0,7.27,4.25,6.36
