,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
1171,Nick Chubb,2020,25.0,RB,5.6,4.52,227.0,38.5,29.0,7.09,4.25,8.3,88.9,17.308333333333334
1182,Ezekiel Elliott,2020,25.0,RB,4.0,4.47,225.0,32.5,0.0,0.0,0.0,4.8,73.2,14.913333333333332
1184,Kenyan Drake,2020,26.0,RB,4.0,4.45,210.0,34.5,10.0,7.04,4.21,4.4,80.6,14.784615384615384
1185,Melvin Gordon,2020,27.0,RB,4.6,4.52,215.0,35.0,19.0,7.04,4.07,3.6,72.7,19.84
1196,Chris Carson,2020,26.0,RB,4.8,4.58,218.0,37.0,23.0,0.0,0.0,6.2,80.4,15.65
1203,Mike Davis,2020,27.0,RB,3.9,4.61,217.0,34.0,17.0,7.0,4.18,5.3,84.3,17.208333333333332
1204,David Johnson,2020,29.0,RB,4.7,4.5,224.0,41.5,25.0,6.82,4.27,6.8,71.7,14.958333333333334
1209,Miles Sanders,2020,23.0,RB,5.3,4.49,211.0,36.0,20.0,6.89,4.19,3.8,53.8,15.490909090909092
1214,Clyde Edwards-Helaire,2020,21.0,RB,4.4,4.6,207.0,39.5,15.0,0.0,0.0,5.5,66.7,13.538461538461538
1217,Todd Gurley,2020,26.0,RB,3.5,4.52,222.0,0.0,17.0,0.0,0.0,4.7,71.4,10.879999999999999
1248,James Conner,2020,25.0,RB,4.3,4.65,233.0,29.0,20.0,0.0,0.0,5.0,81.4,14.963636363636363
1256,Wayne Gallman,2020,26.0,RB,4.6,4.6,215.0,29.5,21.0,7.17,4.28,4.2,77.8,13.66
1262,Darrell Henderson,2020,23.0,RB,4.5,4.49,208.0,33.5,22.0,0.0,0.0,6.6,66.7,11.845454545454546
1265,Adrian Peterson,2020,35.0,RB,3.9,4.4,217.0,38.5,0.0,7.09,4.4,5.6,66.7,12.45
1266,Giovani Bernard,2020,29.0,RB,3.4,4.53,202.0,33.5,19.0,6.91,4.12,6.0,79.7,15.809999999999999
1274,Devin Singletary,2020,23.0,RB,4.4,4.66,203.0,35.0,15.0,7.32,4.4,5.4,76,8.975
1301,Damien Harris,2020,23.0,RB,5.0,4.57,216.0,37.0,16.0,0.0,0.0,7.4,71.4,9.129999999999999
1303,Frank Gore,2020,37.0,RB,3.5,4.58,217.0,0.0,0.0,0.0,0.0,4.7,84.2,7.1571428571428575
1728,Christian McCaffrey,2019,23.0,RB,4.8,4.48,202.0,37.5,10.0,6.57,4.22,7.1,81.7,29.45
1731,Aaron Jones,2019,25.0,RB,4.6,4.56,208.0,37.5,16.0,6.82,4.2,7.0,72.1,19.675
1732,Ezekiel Elliott,2019,24.0,RB,4.5,4.47,225.0,32.5,0.0,0.0,0.0,5.9,76.1,19.48125
1733,Dalvin Cook,2019,24.0,RB,4.5,4.49,210.0,30.5,22.0,7.27,4.53,8.2,84.1,20.885714285714283
1736,Nick Chubb,2019,24.0,RB,5.0,4.52,227.0,38.5,29.0,7.09,4.25,5.7,73.5,15.95
1738,Mark Ingram,2019,30.0,RB,5.0,4.62,215.0,31.5,21.0,7.13,4.62,8.5,89.7,16.166666666666668
1745,Chris Carson,2019,25.0,RB,4.4,4.58,218.0,37.0,23.0,0.0,0.0,5.7,78.7,15.506666666666666
1748,Saquon Barkley,2019,22.0,RB,4.6,4.4,233.0,41.0,29.0,0.0,4.24,6.0,71.2,18.776923076923076
1751,Todd Gurley,2019,25.0,RB,3.8,4.52,222.0,0.0,17.0,0.0,0.0,4.2,63.3,14.626666666666667
1756,Leonard Fournette,2019,24.0,RB,4.3,4.51,240.0,28.5,0.0,0.0,0.0,5.2,76,17.293333333333333
1763,Josh Jacobs,2019,21.0,RB,4.8,0.0,220.0,0.0,0.0,0.0,0.0,6.1,74.1,14.738461538461538
1765,Miles Sanders,2019,22.0,RB,4.6,4.49,211.0,36.0,20.0,6.89,4.19,8.1,79.4,19.88181818181818
1769,Marlon Mack,2019,23.0,RB,4.4,4.5,213.0,35.5,15.0,0.0,0.0,4.8,82.4,15.108333333333334
1774,Kenyan Drake,2019,25.0,RB,4.8,4.45,210.0,34.5,10.0,7.04,4.21,5.1,73.5,21.419999999999998
1790,Le'Veon Bell,2019,27.0,RB,3.2,4.6,230.0,31.5,24.0,6.75,4.24,5.9,84.6,14.333333333333334
1799,Carlos Hyde,2019,29.0,RB,4.4,4.62,230.0,34.5,19.0,0.0,0.0,2.6,62.5,10.942857142857141
1803,Sony Michel,2019,24.0,RB,3.7,4.54,214.0,0.0,22.0,0.0,4.21,4.7,60,10.9
1822,Devonta Freeman,2019,27.0,RB,3.6,4.58,206.0,31.5,0.0,7.11,4.26,5.9,84.3,14.114285714285714
1823,Melvin Gordon,2019,26.0,RB,3.8,4.52,215.0,35.0,19.0,7.04,4.07,5.4,76.4,16.436363636363637
1825,Adrian Peterson,2019,34.0,RB,4.3,4.4,217.0,38.5,0.0,7.09,4.4,6.2,73.9,9.8
1835,Tevin Coleman,2019,26.0,RB,4.0,4.4,206.0,0.0,22.0,0.0,0.0,6.0,70,12.30909090909091
1836,James Conner,2019,24.0,RB,4.0,4.65,233.0,29.0,20.0,0.0,0.0,6.6,89.5,14.55
1866,Tarik Cohen,2019,24.0,RB,3.3,4.42,179.0,31.5,11.0,0.0,0.0,4.4,76,14.9
2286,Todd Gurley,2018,24.0,RB,4.9,4.52,222.0,0.0,17.0,0.0,0.0,7.2,72.8,26.57857142857143
2287,Saquon Barkley,2018,21.0,RB,5.0,4.4,233.0,41.0,29.0,0.0,4.24,6.0,75.2,24.1125
2288,Christian McCaffrey,2018,22.0,RB,5.0,4.48,202.0,37.5,10.0,6.57,4.22,7.0,86.3,24.09375
2289,Alvin Kamara,2018,23.0,RB,4.6,4.56,214.0,39.5,15.0,0.0,0.0,6.8,77.1,27.246153846153845
2292,Ezekiel Elliott,2018,23.0,RB,4.7,4.47,225.0,32.5,0.0,0.0,0.0,6.0,81.1,21.94
2298,Melvin Gordon,2018,25.0,RB,5.1,4.52,215.0,35.0,19.0,7.04,4.07,7.4,75.8,22.958333333333332
2299,James Conner,2018,23.0,RB,4.5,4.65,233.0,29.0,20.0,0.0,0.0,7.0,77.5,23.333333333333332
2308,Kareem Hunt,2018,23.0,RB,4.6,4.62,216.0,36.5,18.0,0.0,0.0,10.8,74.3,20.927272727272726
2311,David Johnson,2018,27.0,RB,3.6,4.5,224.0,41.5,25.0,6.82,4.27,5.9,65.8,15.4125
2315,Derrick Henry,2018,24.0,RB,4.9,4.54,247.0,37.0,22.0,7.2,4.38,5.5,83.3,16.783333333333335
2322,Chris Carson,2018,24.0,RB,4.7,4.58,218.0,37.0,23.0,0.0,0.0,6.8,83.3,14.385714285714286
2327,Adrian Peterson,2018,33.0,RB,4.2,4.4,217.0,38.5,0.0,7.09,4.4,8.0,76.9,11.8125
