,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
5076,Rashard Mendenhall,2013,26.0,RB,3.2,4.41,225.0,33.5,26.0,0.0,4.18,6.4,85.7,9.606666666666666
5078,C.J. Spiller,2013,26.0,RB,4.6,4.37,196.0,0.0,18.0,0.0,0.0,4.5,80.5,15.48
5080,Ray Rice,2013,26.0,RB,3.1,4.42,199.0,31.5,23.0,6.65,4.2,4.5,80.6,11.873333333333333
5085,BenJarvus Green-Ellis,2013,28.0,RB,3.4,4.6,219.0,30.5,24.0,0.0,0.0,2.8,50,7.4875
5088,Steven Jackson,2013,30.0,RB,3.5,4.55,241.0,0.0,0.0,0.0,0.0,3.9,67.3,12.366666666666667
5093,Trent Richardson,2013,23.0,RB,3.0,4.48,228.0,0.0,0.0,0.0,0.0,6.1,67.3,14.49
5101,Bilal Powell,2013,25.0,RB,4.0,4.51,207.0,0.0,18.0,0.0,0.0,4.8,63.2,12.736363636363636
5110,Lamar Miller,2013,22.0,RB,4.0,4.34,212.0,33.0,0.0,0.0,0.0,4.9,74.3,8.26
5506,Adrian Peterson,2012,27.0,RB,6.0,4.4,217.0,38.5,0.0,7.09,4.4,4.3,78.4,21.7125
5507,Doug Martin,2012,23.0,RB,4.6,4.46,223.0,36.0,28.0,6.79,4.16,6.7,70,19.475
5508,Arian Foster,2012,26.0,RB,4.1,4.69,226.0,0.0,23.0,0.0,0.0,3.7,69,18.88125
5509,Marshawn Lynch,2012,26.0,RB,5.0,4.46,215.0,35.5,20.0,7.05,4.55,6.5,76.7,17.973333333333336
5510,Alfred Morris,2012,24.0,RB,4.8,4.63,219.0,35.5,16.0,7.01,4.19,4.8,68.8,15.75
5511,Ray Rice,2012,25.0,RB,4.4,4.42,199.0,31.5,23.0,6.65,4.2,5.8,73.5,17.69375
5519,Jamaal Charles,2012,26.0,RB,5.3,4.38,200.0,30.5,0.0,6.8,4.22,4.8,71.4,15.966666666666667
5520,Trent Richardson,2012,22.0,RB,3.6,4.48,228.0,0.0,0.0,0.0,0.0,5.2,72.9,16.98
5521,Frank Gore,2012,29.0,RB,4.7,4.58,217.0,0.0,0.0,0.0,0.0,6.5,77.8,14.425
5523,Stevan Ridley,2012,23.0,RB,4.4,4.65,225.0,36.0,18.0,6.78,4.21,3.6,42.9,17.116666666666667
5531,Matt Forte,2012,27.0,RB,4.4,4.44,217.0,33.0,23.0,6.84,4.23,5.8,74.6,14.76
5533,Chris Johnson,2012,27.0,RB,4.5,4.24,197.0,35.0,0.0,0.0,0.0,4.7,73.5,14.1
5536,Reggie Bush,2012,27.0,RB,4.3,4.37,201.0,0.0,0.0,0.0,0.0,5.6,67.3,12.925
5540,Shonn Greene,2012,27.0,RB,3.9,4.55,227.0,37.0,19.0,7.1,4.4,5.0,63.3,13.314285714285715
5544,Steven Jackson,2012,29.0,RB,4.1,4.55,241.0,0.0,0.0,0.0,0.0,6.1,71.7,12.5375
5549,Michael Turner,2012,30.0,RB,3.6,4.49,237.0,31.0,22.0,7.5,4.15,4.3,63.3,10.9875
5550,Ahmad Bradshaw,2012,26.0,RB,4.6,4.55,198.0,34.0,0.0,6.7,4.09,7.9,74.2,14.916666666666666
5553,BenJarvus Green-Ellis,2012,27.0,RB,3.9,4.6,219.0,30.5,24.0,0.0,0.0,3.5,73.3,11.586666666666668
5554,Mikel Leshoure,2012,22.0,RB,3.7,4.56,227.0,38.0,21.0,6.82,4.4,4.4,69.4,13.085714285714285
5555,LeSean McCoy,2012,24.0,RB,4.2,4.5,198.0,0.0,0.0,0.0,0.0,5.6,80.6,16.608333333333334
5569,DeAngelo Williams,2012,29.0,RB,4.3,4.45,214.0,35.5,25.0,0.0,0.0,9.4,65,14.34
5605,Vick Ballard,2012,22.0,RB,3.9,4.59,219.0,33.0,23.0,7.03,4.19,5.6,63,10.966666666666667
5610,Darren McFadden,2012,25.0,RB,3.3,4.33,211.0,33.0,0.0,0.0,0.0,4.1,66.7,12.708333333333334
5611,DeMarco Murray,2012,24.0,RB,4.1,4.37,213.0,34.5,21.0,7.28,4.18,6.0,83.3,14.64
