,Player,Position,Age,ovr_score,passing_yds_score,rush_yds_score,Overall,High,Low
71,Taysom Hill,QB,32,0.09409368634578233,0.0,0.3763747453831293,155.8,120.0,202.0
72,Jeff Driskel,QB,29,0.09313998379184503,0.07826098979398266,0.05951597599144946,,,
73,John Wolford,QB,27,0.08240685495400035,0.07537326558846812,0.02813435746212896,,,
74,Brian Hoyer,QB,37,0.068371118499465,0.06609232013137674,0.009115193472353072,,,
75,Nick Mullens,QB,27,0.05862153347829086,0.051618857506780635,0.028010703886040912,,,
76,Tyrod Taylor,QB,33,0.05730327907752468,0.05191047383483262,0.021571220970768235,,,
77,Tim Boyle,QB,28,0.04878672595120217,0.046565976253234526,0.00888299879187058,,,
78,Jacob Eason,QB,25,0.04271250428111528,0.0421695551067499,0.0021717966974615435,,,
79,Nathan Peterman,QB,28,0.02077493133584539,0.016230046727663264,0.018179538432728504,,,
80,Chase Daniel,QB,36,0.020442775792721923,0.016460721785255317,0.015928216029866424,,,
81,Davis Webb,QB,27,0.006248341493736132,0.0,0.024993365974944528,,,
82,Josh Johnson,QB,36,0.005196559365813628,0.0,0.020786237463254514,,,
83,Chris Streveler,QB,27,0.004766481256032663,0.0,0.019065925024130653,,,
84,Chad Henne,QB,37,0.0025831775692202906,0.0,0.010332710276881162,,,
85,Ryan Griffin,QB,32,0.0025706940874035992,0.0,0.010282776349614397,,,
86,Taysom Hill,QB,32,0.002570694087403599,0.0,0.010282776349614395,155.8,120.0,202.0
87,Taysom Hill,QB,32,0.002570694087403599,0.0,0.010282776349614395,155.8,120.0,202.0
88,Logan Thomas,QB,31,0.002570694087403599,0.0,0.010282776349614395,,,
89,Case Keenum,QB,34,0.002498328023706801,0.0,0.009993312094827204,,,
90,Blaine Gabbert,QB,33,0.0022022640301394276,0.00035103302587878793,0.0074049240170425586,,,
91,Kyle Trask,QB,24,0.000667825922099013,0.000667825922099013,0.0,,,
92,Feleipe Franks,QB,25,0.0005329210525568657,0.0,0.0021316842102274626,,,
