,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Herbert,QB,24.0,2022,331.85463748541133,35,5.1,1.02,5.08
1,Josh Allen,QB,26.0,2022,331.0848478884699,23,5.9,1.01,4.05
2,Patrick Mahomes,QB,27.0,2022,321.6961547952369,40,6.1,1.01,7.04
3,Kyler Murray,QB,25.0,2022,292.273449792428,63,6.3,1.01,8.02
4,Aaron Rodgers,QB,39.0,2022,289.77685921721184,80,9.3,1.1,10.06
5,Russell Wilson,QB,34.0,2022,287.19614799354827,82,8.8,2.11,10.05
6,Tom Brady,QB,45.0,2022,275.8959665372597,96,10.8,1.01,11.04
7,Ryan Tannehill,QB,34.0,2022,261.42418103457936,247,22.1,10.01,18.06
8,Kirk Cousins,QB,34.0,2022,261.42418103457936,123,11.7,1.01,13.12
9,Kirk Cousins,QB,34.0,2022,242.09342733560635,123,11.7,1.01,13.12
10,Ryan Tannehill,QB,34.0,2022,242.09342733560635,247,22.1,10.01,18.06
11,Dak Prescott,QB,29.0,2022,239.34785483677425,93,9.3,2.08,11.01
12,Derek Carr,QB,31.0,2022,234.74264222769034,105,9.0,6.03,14.11
13,Matt Ryan,QB,37.0,2022,229.64452380190033,155,16.0,2.09,15.12
14,Carson Wentz,QB,30.0,2022,227.11609860728413,209,27.0,9.04,18.05
15,Joe Burrow,QB,26.0,2022,222.9338689315827,56,7.4,1.07,8.01
16,Matthew Stafford,QB,34.0,2022,215.20197030232237,85,9.3,1.07,10.07
17,Trevor Lawrence,QB,23.0,2022,206.49095145460515,184,17.2,6.11,16.07
18,Jared Goff,QB,28.0,2022,205.86877109214245,251,24.1,12.06,18.02
19,Jalen Hurts,QB,24.0,2022,194.78525467121193,67,6.3,2.12,9.06
20,Baker Mayfield,QB,27.0,2022,189.75888498738598,222,35.2,1.01,18.02
21,Mac Jones,QB,24.0,2022,186.69055722421913,214,20.6,3.01,18.01
22,Daniel Jones,QB,25.0,2022,180.9972483406846,250,20.4,11.03,18.06
23,Zach Wilson,QB,23.0,2022,161.04256361935904,225,32.3,1.01,18.06
24,Tua Tagovailoa,QB,24.0,2022,153.27047913247026,137,12.5,1.01,15.1
25,Davis Mills,QB,24.0,2022,144.7412445338326,233,20.2,10.04,18.05
26,Justin Fields,QB,23.0,2022,133.93581999063917,166,16.3,4.07,16.03
27,Jameis Winston,QB,28.0,2022,120.75767547043085,186,19.4,1.01,16.05
28,Trey Lance,QB,22.0,2022,68.79330623103239,107,9.9,1.02,13.06
29,Marcus Mariota,QB,29.0,2022,52.93131435131886,271,40.4,2.09,20.12
