Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,-9999
51,Kyle Allen,CAR,22,qb,2,1,20,31,266,0,2.3,11,3,5,8,23.5%,3,5.7,AlleKy00
52,Matt Barkley,BUF,28,qb,1,1,15,25,232,1,2.4,8,2,3,6,23.1%,0,,BarkMa00
53,DeShone Kizer,GNB,22,qb,3,0,20,42,187,4,2.5,5,5,4,13,26.0%,4,10.0,KizeDe00
54,Mike Glennon,ARI,29,qb,2,0,15,21,174,1,2.0,4,1,0,2,9.1%,0,,GlenMi00
55,Mark Sanchez,WAS,32,qb,2,1,19,35,138,7,2.3,8,10,4,21,48.8%,1,8.0,SancMa00
56,Teddy Bridgewater,NOR,26,qb,5,1,14,23,118,2,2.2,6,5,0,7,25.0%,3,3.7,BridTe00
57,Odell Beckham Jr.,NYG,26,WR,12,12,2,2,106,0,3.0,2,0,0,0,0.0%,0,,BeckOd00
58,Kevin Byard,TEN,25,FS,16,16,1,1,66,0,0.0,0,0,0,0,0.0%,0,,ByarKe01
59,Taysom Hill,NOR,28,qb,16,4,3,7,64,1,2.4,1,0,1,2,20.0%,2,7.0,HillTa00
60,Jarvis Landry*,CLE,26,WR,16,14,1,2,63,0,1.9,0,0,0,0,0.0%,0,,LandJa00
61,Matt Cassel,DET,36,qb,2,0,7,17,59,1,2.3,3,1,0,2,10.5%,1,14.0,CassMa00
62,Albert Wilson,MIA,26,wr,7,3,1,1,52,0,1.1,0,0,0,0,0.0%,0,,WilsAl02
63,Christian McCaffrey,CAR,22,RB,16,16,1,1,50,0,2.3,1,0,0,0,0.0%,0,,McCaCh01
64,Joshua Dobbs,PIT,23,qb,5,0,6,12,43,0,2.4,2,1,1,2,14.3%,2,7.5,DobbJo00
65,Julian Edelman,NWE,32,WR,12,12,2,2,43,0,1.0,0,0,0,0,0.0%,0,,EdelJu00
66,Garrett Gilbert,CAR,27,qb,1,0,2,3,40,1,3.3,3,1,1,3,75.0%,0,,GilbGa01
67,Larry Fitzgerald,ARI,35,WR,16,16,1,1,32,0,3.3,0,0,0,0,0.0%,0,,FitzLa00
68,Chad Henne,KAN,33,qb,1,0,2,3,29,0,1.8,2,0,0,0,0.0%,0,,HennCh01
69,Danny Amendola,MIA,33,WR,15,15,1,1,28,0,1.0,0,0,0,0,0.0%,0,,AmenDa00
70,Emmanuel Sanders,DEN,31,WR,12,12,1,1,28,0,3.5,0,0,0,0,0.0%,0,,SandEm00
71,Sean Mannion,LAR,26,qb,3,0,2,3,23,0,2.2,1,0,0,0,0.0%,0,,MannSe00
72,Nate Sudfeld,PHI,25,qb,2,0,1,2,22,0,2.1,1,1,0,1,50.0%,0,,SudfNa00
73,Robert Griffin III,BAL,28,qb,3,0,2,6,21,0,2.4,4,1,0,1,16.7%,0,,GrifRo01
74,Darius Jennings,TEN,26,wr,16,0,1,1,21,0,1.7,1,0,0,0,0.0%,0,,JennDa00
75,Sam Koch,BAL,36,p,16,0,1,1,21,0,0.0,0,0,0,0,0.0%,0,,KochSa20
76,Matt Schaub,ATL,37,qb,3,0,5,7,20,0,1.5,0,0,0,0,0.0%,0,,SchaMa00
77,Johnny Hekker,LAR,28,p,16,0,2,4,19,0,0.0,0,0,0,0,0.0%,0,,HekkJo00
78,Nelson Agholor,PHI,25,WR,16,16,1,1,15,0,1.0,0,0,0,0,0.0%,0,,AghoNe00
79,Logan Thomas,BUF,27,qb,12,3,1,1,15,0,0.0,0,0,0,0,0.0%,0,,ThomLo00
80,Derrick Henry,TEN,24,RB,16,12,2,3,14,0,1.4,0,1,0,1,33.3%,0,,HenrDe00
81,Colby Wadman,DEN,23,p,12,0,1,1,12,0,0.0,0,0,0,0,0.0%,0,,WadmCo00
82,A.J. McCarron,OAK,28,qb,2,0,1,3,8,1,2.6,0,1,1,3,75.0%,0,,McCaA.00
83,Anthony Miller,CHI,24,wr,15,4,1,1,8,0,1.7,1,0,1,1,100.0%,0,,MillAn02
84,Matt Prater,DET,34,k,16,0,1,1,8,0,0.0,0,0,0,0,0.0%,0,,PratMa20
85,Geno Smith,LAC,28,qb,5,0,1,4,8,1,2.5,1,2,2,5,83.3%,1,9.0,SmitGe00
86,Brian Hoyer,NWE,33,qb,5,0,1,2,7,0,1.4,0,0,0,0,0.0%,0,,HoyeBr00
87,Tress Way,WAS,28,p,16,0,1,1,7,0,0.0,0,0,0,0,0.0%,0,,WayxTr00
88,Mohamed Sanu,ATL,29,WR,16,16,1,2,5,0,2.8,1,0,0,0,0.0%,0,,SanuMo00
89,Logan Cooke,JAX,23,p,16,0,1,1,4,0,0.0,0,0,0,0,0.0%,0,,CookLo00
90,Kenny Stills,MIA,26,WR,15,15,1,1,3,0,1.2,0,0,0,0,0.0%,0,,StilKe00
91,Chris Boswell,PIT,27,k,15,0,1,1,2,0,0.0,0,0,0,0,0.0%,0,,BoswCh00
92,Jacoby Brissett,IND,26,qb,4,0,2,4,2,0,2.2,2,1,1,2,50.0%,0,,BrisJa00
93,Tarik Cohen*+,CHI,23,RB,16,7,1,1,1,0,1.5,0,0,0,0,0.0%,0,,CoheTa00
94,Bryan Anger,TAM,30,p,16,0,0,1,0,0,0.0,0,0,0,0,0.0%,0,,AngeBr00
95,Cole Beasley,DAL,29,wr,16,4,0,1,0,0,5.1,1,1,0,1,100.0%,0,,BeasCo00
96,Corey Bojorquez,BUF,22,p,8,0,0,1,0,0,0.0,0,0,0,0,0.0%,0,,BojoCo00
97,Tyler Boyd,CIN,24,WR,14,14,0,1,0,0,3.1,1,0,1,1,100.0%,0,,BoydTy00
98,Antonio Brown*,PIT,30,WR,15,15,0,1,0,0,0.7,0,0,1,1,100.0%,0,,BrowAn04
99,Eric Ebron*,IND,25,TE,16,8,0,1,0,0,2.7,0,0,0,0,0.0%,0,,EbroEr00
100,Bruce Ellington,2TM,27,,7,3,0,1,0,0,,0,0,0,0,0.0%,0,,ElliBr00
101,Dontrell Hilliard,CLE,23,rb,11,0,0,1,0,0,2.7,0,0,0,0,0.0%,0,,HillDo00
102,DeAndre Hopkins*+,HOU,26,WR,16,16,0,1,0,0,1.4,0,0,0,0,0.0%,0,,HopkDe00
103,Zay Jones,BUF,23,WR,16,15,0,1,0,0,1.1,0,0,1,1,100.0%,0,,JoneZa00
104,Kyle Lauletta,NYG,23,qb,2,0,0,5,0,0,2.5,2,0,3,3,60.0%,0,,LaulKy00
105,JK Scott,GNB,23,k,16,0,0,1,0,0,0.0,0,0,0,0,0.0%,0,,ScotJK00
106,Dede Westbrook,JAX,25,wr,16,9,0,1,0,0,2.8,1,0,1,1,100.0%,0,,WestDe00
