Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,-9999
102,Jamal Agnew,DET,25,db,14,2,0,1,0,15,15.0,0,,0.0,0,,AgneJa00
103,Keenan Allen*,LAC,28,WR,14,13,0,1,0,15,15.0,0,,0.0,0,,AlleKe00
104,Randall Cobb,HOU,30,wr,10,2,0,1,0,7,7.0,0,,0.0,0,,CobbRa00
105,Riley Dixon,NYG,27,p,16,0,0,1,0,8,8.0,0,,0.0,0,,DixoRi00
106,Alex Erickson,CIN,28,wr,16,2,0,1,0,21,21.0,0,,0.0,0,,EricAl01
107,Chris Jones,DAL,31,p,8,0,0,1,0,9,9.0,0,,0.0,0,,JoneCh02
108,Brett Kern,TEN,34,p,13,0,0,1,0,18,18.0,0,,0.0,0,,KernBr20
109,D.J. Moore,CAR,23,WR,15,14,0,1,0,6,6.0,0,,0.0,0,,MoorD.00
110,Zach Pascal,IND,26,WR,16,14,0,1,0,13,13.0,0,,0.0,0,,PascZa00
111,Sammy Watkins,KAN,27,WR,10,9,0,1,0,24,24.0,0,,0.0,0,,WatkSa00
112,Isaiah Wright,WAS,23,wr,14,6,0,1,0,-3,-3.0,0,,0.0,0,,WrigIs01
