,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,-additional
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,-9999
51,Kyle Allen,CAR,22,qb,2,1,20,31,266,243,7.8,174,8.7,5.6,92,4.6,AlleKy00
52,Matt Barkley,BUF,28,qb,1,1,15,25,232,310,12.4,155,10.3,6.2,77,5.1,BarkMa00
53,DeShone Kizer,GNB,22,qb,3,0,20,42,187,421,10.0,128,6.4,3.0,59,3.0,KizeDe00
54,Mike Glennon,ARI,29,qb,2,0,15,21,174,177,8.4,90,6.0,4.3,84,5.6,GlenMi00
55,Mark Sanchez,WAS,32,qb,2,1,19,35,138,220,6.3,51,2.7,1.5,87,4.6,SancMa00
56,Teddy Bridgewater,NOR,26,qb,5,1,14,23,118,141,6.1,65,4.6,2.8,53,3.8,BridTe00
57,Odell Beckham Jr.,NYG,26,WR,12,12,2,2,106,68,34.0,68,34.0,34.0,38,19.0,BeckOd00
58,Kevin Byard,TEN,25,FS,16,16,1,1,66,17,17.0,17,17.0,17.0,49,49.0,ByarKe01
59,Taysom Hill,NOR,28,qb,16,4,3,7,64,126,18.0,46,15.3,6.6,18,6.0,HillTa00
60,Jarvis Landry*,CLE,26,WR,16,14,1,2,63,77,38.5,46,46.0,23.0,17,17.0,LandJa00
61,Matt Cassel,DET,36,qb,2,0,7,17,59,124,7.3,30,4.3,1.8,29,4.1,CassMa00
62,Albert Wilson,MIA,26,wr,7,3,1,1,52,19,19.0,19,19.0,19.0,33,33.0,WilsAl02
63,Christian McCaffrey,CAR,22,RB,16,16,1,1,50,13,13.0,13,13.0,13.0,37,37.0,McCaCh01
64,Joshua Dobbs,PIT,23,qb,5,0,6,12,43,59,4.9,24,4.0,2.0,19,3.2,DobbJo00
65,Julian Edelman,NWE,32,WR,12,12,2,2,43,-2,-1.0,-2,-1.0,-1.0,45,22.5,EdelJu00
66,Garrett Gilbert,CAR,27,qb,1,0,2,3,40,17,5.7,10,5.0,3.3,30,15.0,GilbGa01
67,Larry Fitzgerald,ARI,35,WR,16,16,1,1,32,28,28.0,28,28.0,28.0,4,4.0,FitzLa00
68,Chad Henne,KAN,33,qb,1,0,2,3,29,18,6.0,14,7.0,4.7,15,7.5,HennCh01
