Rk,Player,qb_score,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,CAY/PA_scaled,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,OnTgt%_scaled,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Yds/Scr_scaled,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
31,Trevor Lawrence,0.131650985,25,JAX,QB,10,10,172,284,2641,9.3,1211,7,4.3,0.857033899,834,4.8,4,9,1,15,5.5,47,17.2,202,73.7,-0.285121483,2.4,71,13,17,48,15.2,13,8.1,0.239813005,35,302,32,286,3,16,59,620,,LawrTr00
18,Kirk Cousins,0.123617949,36,ATL,QB,14,14,303,453,3392,7.5,1821,6,4,0.452772626,1687,5.6,15,12,4,16,3.7,51,11.7,340,77.8,0.622485722,2.4,106,25,47,100,20.7,3,5.3,-1.203272273,8,28,7,30,1,-2,64,461,AP CPoY-13,CousKi00
14,Josh Allen,0.120661615,28,BUF,QB,17,17,307,483,3836,7.9,1726,5.6,3.6,-0.086242405,2005,6.5,9,22,1,20,4.3,86,18.7,344,74.8,-0.041617111,2.4,136,37,37,88,16.4,41,8.9,0.652123085,51,404,39,335,11,69,90,794,PBAP-2AP MVP-1AP OPoY-6,AlleJo02
3,Patrick Mahomes,0.109359471,29,KAN,QB,16,16,392,581,3601,6.2,1628,4.2,2.8,-1.164272466,2300,5.9,10,26,2,26,4.7,87,15.7,425,76.9,0.423254872,2.3,140,46,70,152,23.3,36,9.1,0.755200605,98,716,97,712,1,4,101,818,AP MVP-6AP OPoY-17,MahoPa00
23,Daniel Jones,0.090662342,27,NYG,QB,10,10,216,341,2443,7.2,1126,5.2,3.3,-0.490503678,944,4.4,7,17,4,24,7.5,40,12.5,254,79.4,0.9766739,2.4,89,21,44,94,24.5,14,5.5,-1.100194753,33,206,25,166,8,40,68,473,,JoneDa05
32,Derek Carr,0.063335784,33,NOR,QB,10,10,189,279,2167,7.8,1058,5.6,3.8,0.18326511,1087,5.8,5,17,0,10,3.8,37,14.1,201,76.7,0.37898135,2.4,79,42,21,71,24.1,8,6.3,-0.687884674,11,153,10,144,1,9,71,779,,CarrDe02
6,Bo Nix,-0.101277902,24,DEN,QB,17,17,376,567,4116,7.3,1703,4.5,3,-0.894764951,2072,5.5,16,18,1,32,5.8,83,15.1,420,76.6,0.356844589,2.5,148,44,34,102,15.9,50,7.2,-0.224035834,92,737,80,692,11,45,117,718,AP ORoY-3,NixxBo00
39,Deshaun Watson,-0.119557878,29,CLE,QB,7,7,137,216,1523,7.1,564,4.1,2.6,-1.433779982,584,4.3,5,5,0,20,9.5,34,16.1,166,78.7,0.821716572,2.6,72,16,37,86,31.9,21,6.3,-0.687884674,32,123,20,110,4,13,48,252,,WatsDe00
19,Jordan Love,-0.119914697,26,GNB,QB,15,15,268,425,3685,8.7,1735,6.5,4.1,0.587526383,1654,6.2,6,14,0,30,7.3,75,18.2,301,73.2,-0.395805289,2.4,142,37,49,100,22.2,12,7.1,-0.275574594,48,342,48,342,0,0,89,825,,LoveJo03
38,Mason Rudolph,-0.127154566,29,TEN,QB,8,5,146,228,1591,7,874,6,3.8,0.18326511,656,4.5,5,10,3,9,4.2,39,18.1,157,73,-0.440078811,2.6,38,15,23,49,19.6,11,8,0.188274246,16,97,14,84,2,13,42,302,,RudoMa00
