Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,-9999
1,Zach Wilson,NYJ,24,QB,12,11,221,368,2271,46,2.5,113,47,41,134,30.5%,25,8.6,WilsZa00
2,Will Levis,TEN,24,QB,9,9,149,255,1808,28,2.5,88,8,46,82,28.1%,9,6.3,LeviWi00
3,Jake Browning,CIN,27,QB,9,7,171,243,1936,24,2.5,80,25,26,75,26.5%,16,7.7,BrowJa08
4,Justin Fields,CHI,24,QB,13,13,227,370,2562,44,2.8,143,44,33,121,26.5%,43,8.4,FielJu00
5,Kenny Pickett,PIT,25,QB,12,12,201,324,2070,23,2.4,81,33,37,93,25.8%,14,5.1,PickKe00
6,Geno Smith*,SEA,33,QB,15,15,323,499,3624,31,2.4,145,63,46,140,25.5%,20,7.9,SmitGe00
7,Russell Wilson,DEN,35,QB,15,15,297,447,3070,45,2.7,144,42,48,135,25.5%,38,7.3,WilsRu00
8,Kirk Cousins,MIN,35,QB,8,8,216,311,2331,17,2.5,106,21,45,83,25.1%,3,7.0,CousKi00
9,Bryce Young,CAR,22,QB,16,16,315,527,2877,62,2.5,166,38,50,150,24.2%,31,8.4,YounBr01
10,Joshua Dobbs,2TM,28,QB,13,12,262,417,2464,30,,121,23,58,111,23.0%,36,9.2,DobbJo00
11,Sam Howell,WAS,23,QB,17,17,388,612,3946,65,2.4,181,39,57,161,22.7%,33,7.4,HoweSa00
12,Patrick Mahomes*,KAN,28,QB,16,16,401,597,4183,27,2.5,133,60,65,152,22.6%,50,8.1,MahoPa00
13,Jared Goff,DET,29,QB,17,17,407,605,4575,30,2.3,212,42,69,141,22.0%,7,4.4,GoffJa00
14,C.J. Stroud*,HOU,22,QB,15,15,319,499,4108,38,2.5,126,47,38,123,22.0%,23,6.4,StroCJ00
15,Justin Herbert,LAC,25,QB,13,13,297,456,3134,29,2.4,158,36,42,107,20.9%,27,8.4,HerbJu00
16,Mac Jones,NWE,25,QB,11,11,224,345,2120,22,2.2,92,30,24,76,20.1%,11,7.3,JoneMa05
17,Brock Purdy*,SFO,24,QB,16,16,308,444,4280,28,2.6,142,28,42,98,20.1%,16,7.8,PurdBr00
18,Jalen Hurts*,PHI,25,QB,17,17,352,538,3858,36,2.6,185,59,29,124,20.0%,47,6.8,HurtJa00
19,Desmond Ridder,ATL,24,QB,15,13,249,388,2836,31,2.3,90,26,28,85,19.4%,19,6.8,RiddDe00
20,Josh Allen,BUF,27,QB,17,17,385,579,4306,24,2.3,181,51,51,126,19.3%,50,7.6,AlleJo02
21,Kyler Murray,ARI,26,QB,8,8,176,268,1799,18,2.4,73,20,19,57,18.8%,18,9.6,MurrKy00
22,Jordan Love,GNB,25,QB,17,17,372,579,4159,30,2.5,215,47,42,119,18.8%,24,8.5,LoveJo03
23,Joe Burrow,CIN,27,QB,10,10,244,365,2309,24,2.2,83,13,37,74,18.4%,14,6.5,BurrJo01
24,Trevor Lawrence,JAX,24,QB,16,16,370,564,4016,35,2.2,158,39,42,116,18.1%,42,7.9,LawrTr00
25,Matthew Stafford*,LAR,35,QB,15,15,326,521,3965,30,2.5,172,27,43,100,17.7%,13,5.5,StafMa00
26,Gardner Minshew II*,IND,27,QB,17,13,305,490,3305,34,2.4,169,32,30,96,17.6%,20,5.5,MinsGa00
27,Baker Mayfield*,TAM,28,QB,17,17,364,566,4044,40,2.4,141,37,35,112,17.6%,29,5.9,MayfBa00
28,Dak Prescott*,DAL,30,QB,17,17,410,590,4516,39,2.4,163,26,47,112,17.0%,28,6.9,PresDa01
29,Tua Tagovailoa*,MIA,25,QB,17,17,388,560,4624,29,2.1,116,39,27,95,15.7%,15,5.3,TagoTu00
30,Lamar Jackson*+,BAL,26,QB,16,16,307,457,3678,37,2.7,169,22,29,88,15.7%,65,6.4,JackLa00
31,Derek Carr,NOR,32,QB,17,17,375,548,3878,31,2.3,172,24,35,90,15.3%,9,5.7,CarrDe02
32,Aidan O'Connell,LVR,25,QB,11,10,213,343,2218,24,2.4,101,7,22,53,14.4%,0,,OConAi00
