,Player,rank,Age,Year,Model_Projection_Points,#,StdDev,High,Low
24,Tom Brady,1.625,45.0,2022.0,366.1932679708759,96.0,10.8,1.01,11.04
13,Justin Herbert,2.5,24.0,2022.0,347.42379560703944,35.0,5.1,1.02,5.08
0,Aaron Rodgers,2.25,39.0,2022.0,346.42246889284513,80.0,9.3,1.1,10.06
11,Josh Allen,3.375,26.0,2022.0,337.92265795280525,23.0,5.9,1.01,4.05
21,Patrick Mahomes,3.125,27.0,2022.0,332.7036857912084,40.0,6.1,1.01,7.04
16,Lamar Jackson,7.75,25.0,2022.0,309.75577236527147,53.0,6.7,1.01,7.08
23,Ryan Tannehill,9.0625,34.0,2022.0,298.2284907315237,247.0,22.1,10.01,18.06
14,Kirk Cousins,8.5625,34.0,2022.0,298.2284907315237,123.0,11.7,1.01,13.12
15,Kyler Murray,10.25,25.0,2022.0,281.8400605990521,63.0,6.3,1.01,8.02
17,Mac Jones,12.5,24.0,2022.0,281.4351226632768,214.0,20.6,3.01,18.01
22,Russell Wilson,10.75,34.0,2022.0,281.1751284883496,82.0,8.8,2.11,10.05
10,Joe Burrow,12.125,26.0,2022.0,279.6151727245325,56.0,7.4,1.07,8.01
3,Dak Prescott,13.0,29.0,2022.0,277.88459560483034,93.0,9.3,2.08,11.01
20,Matthew Stafford,14.375,34.0,2022.0,270.06340856984997,85.0,9.3,1.07,10.07
6,Derek Carr,14.625,31.0,2022.0,250.51219744523695,105.0,9.0,6.03,14.11
9,Jared Goff,16.625,28.0,2022.0,241.25086720261916,251.0,24.1,12.06,18.02
2,Carson Wentz,16.375,30.0,2022.0,238.44331235684308,209.0,27.0,9.04,18.05
19,Matt Ryan,16.25,37.0,2022.0,236.02885225608807,155.0,16.0,2.09,15.12
1,Baker Mayfield,20.5,27.0,2022.0,191.62802114648167,222.0,35.2,1.01,18.02
4,Daniel Jones,22.25,25.0,2022.0,174.07291049645696,250.0,20.4,11.03,18.06
25,Trevor Lawrence,23.125,23.0,2022.0,173.32241714192813,184.0,17.2,6.11,16.07
7,Jalen Hurts,23.125,24.0,2022.0,173.14001737497702,67.0,6.3,2.12,9.06
5,Davis Mills,23.5,24.0,2022.0,168.38938246936172,233.0,20.2,10.04,18.05
27,Tua Tagovailoa,23.5,24.0,2022.0,165.81638524263587,137.0,12.5,1.01,15.1
28,Zach Wilson,26.375,23.0,2022.0,120.03640509724812,225.0,32.3,1.01,18.06
12,Justin Fields,26.75,23.0,2022.0,119.75042424982416,166.0,16.3,4.07,16.03
26,Trey Lance,25.875,22.0,2022.0,114.9715766432212,107.0,9.9,1.02,13.06
8,Jameis Winston,27.625,28.0,2022.0,111.60154147061577,186.0,19.4,1.01,16.05
18,Marcus Mariota,29.625,29.0,2022.0,39.64766209784059,271.0,40.4,2.09,20.12
