,Player,Position,Age,ovr_score,catch_yds_score,Overall,High,Low
0,Cooper Kupp,WR,29,0.9063354606073867,0.9063354606073867,6.5,1.0,15.0
1,Justin Jefferson,WR,23,0.852481747093783,0.852481747093783,1.5,1.0,5.0
2,Davante Adams,WR,30,0.8393553108630714,0.8393553108630714,12.7,6.0,21.0
3,Tyreek Hill,WR,28,0.8309563140378052,0.8309563140378052,6.9,1.0,17.0
4,Ja'Marr Chase,WR,22,0.7931023577717554,0.7931023577717554,3.5,1.0,9.0
5,Jaylen Waddle,WR,24,0.7920850853736664,0.7920850853736664,22.4,12.0,35.0
6,Mike Evans,WR,29,0.7777867863151265,0.7777867863151265,60.6,40.0,82.0
7,Stefon Diggs,WR,29,0.7762060153547232,0.7762060153547232,10.7,3.0,18.0
8,Amari Cooper,WR,28,0.7143891918632791,0.7143891918632791,39.6,19.0,65.0
9,Keenan Allen,WR,30,0.7042490812248672,0.7042490812248672,34.7,17.0,51.0
10,A.J. Brown,WR,25,0.7027026745778685,0.7027026745778685,14.7,4.0,24.0
11,D.K. Metcalf,WR,25,0.7014628671843535,0.7014628671843535,31.8,19.0,48.0
12,D.J. Moore,WR,25,0.6970421949810092,0.6970421949810092,48.7,34.0,71.0
13,Terry McLaurin,WR,27,0.676094874914635,0.676094874914635,50.8,31.0,73.0
14,Amon-Ra St. Brown,WR,23,0.6725936562516265,0.6725936562516265,15.1,7.0,24.0
15,Tyler Boyd,WR,28,0.6696337393054582,0.6696337393054582,123.6,92.0,150.0
16,Tee Higgins,WR,23,0.6621248496713383,0.6621248496713383,28.7,17.0,41.0
17,Tyler Lockett,WR,30,0.6596460993613813,0.6596460993613813,59.5,35.0,81.0
18,Chris Godwin,WR,26,0.6595402605693754,0.6595402605693754,41.7,30.0,63.0
19,Garrett Wilson,WR,22,0.6485561377889272,0.6485561377889272,20.0,7.0,33.0
20,Mike Williams,WR,28,0.6353254576789015,0.6353254576789015,63.0,45.0,84.0
21,Deebo Samuel,WR,26,0.6328306159096608,0.6328306159096608,34.8,21.0,52.0
22,Chris Olave,WR,22,0.6240975584185768,0.6240975584185768,27.8,11.0,43.0
23,CeeDee Lamb,WR,23,0.6220300530681524,0.6220300530681524,15.4,5.0,29.0
24,Robert Woods,WR,30,0.6054785180460486,0.6054785180460486,,,
25,Darnell Mooney,WR,25,0.6025632251862714,0.6025632251862714,106.7,56.0,148.0
26,Brandin Cooks,WR,29,0.5993226385973941,0.5993226385973941,82.3,63.0,102.0
27,Diontae Johnson,WR,26,0.5842904062780784,0.5842904062780784,54.2,40.0,73.0
28,Brandon Aiyuk,WR,24,0.5837649077662563,0.5837649077662563,62.1,34.0,87.0
29,DeVonta Smith,WR,24,0.5834650872230867,0.5834650872230867,29.4,14.0,47.0
30,Marvin Jones,WR,32,0.5796265557662762,0.5796265557662762,,,
31,DeAndre Hopkins,WR,30,0.5784984717050339,0.5784984717050339,48.2,24.0,76.0
32,Christian Kirk,WR,26,0.5684450528201228,0.5684450528201228,63.5,41.0,86.0
33,Marquise Brown,WR,25,0.5672886748198697,0.5672886748198697,65.5,21.0,99.0
34,Jarvis Landry,WR,30,0.5622062754815276,0.5622062754815276,,,
35,DeVante Parker,WR,29,0.5610169731757852,0.5610169731757852,,,
36,Julio Jones,WR,33,0.5589346676682936,0.5589346676682936,,,
37,John Brown,WR,32,0.5571319961676446,0.5571319961676446,,,
38,Adam Thielen,WR,32,0.5525655332994708,0.5525655332994708,122.4,89.0,152.0
39,Christian Watson,WR,23,0.5487205923732136,0.5487205923732136,69.2,21.0,101.0
40,Drake London,WR,21,0.5256914456745012,0.5256914456745012,60.4,12.0,93.0
41,George Pickens,WR,21,0.520930209911809,0.520930209911809,85.3,48.0,122.0
42,K.J. Osborn,WR,25,0.5154661615432957,0.5154661615432957,157.9,118.0,180.0
43,Allen Robinson,WR,29,0.5120479986963828,0.5120479986963828,153.0,113.0,180.0
44,A.J. Green,WR,34,0.4998142947976096,0.4998142947976096,,,
45,Chase Claypool,WR,24,0.49526756732465244,0.49526756732465244,151.9,111.0,180.0
46,Corey Davis,WR,27,0.49503870231148694,0.49503870231148694,,,
47,DJ Chark,WR,26,0.48681093126490943,0.48681093126490943,,,
48,Laviska Shenault Jr.,WR,24,0.4806069776762276,0.4806069776762276,,,
49,T.Y. Hilton,WR,33,0.4770837210884468,0.4770837210884468,,,
50,Sterling Shepard,WR,29,0.46119817357850024,0.46119817357850024,,,
51,Darius Slayton,WR,25,0.46049006315086294,0.46049006315086294,156.6,118.0,207.0
52,Michael Thomas,WR,29,0.4583599510373121,0.4583599510373121,101.4,65.0,147.0
53,Hunter Renfrow,WR,27,0.4576997877761132,0.4576997877761132,141.8,90.0,179.0
54,JuJu Smith-Schuster,WR,26,0.45630099818367226,0.45630099818367226,91.7,71.0,116.0
55,Michael Pittman Jr.,WR,25,0.45009839169267796,0.45009839169267796,54.1,34.0,80.0
56,Jakobi Meyers,WR,26,0.45004440976308874,0.45004440976308874,100.6,80.0,120.0
