,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low,,,,,Model_Projection_Points
20,Keenan Allen,WR,30,2022,187.0416511,28,3.3,2.01,4.03,,,,20,187.0416511
21,D.J. Moore,WR,25,2022,185.0856179,44,5.1,1.12,6.02,,,,21,185.0856179
22,Chase Claypool,WR,24,2022,180.9674559,115,8.3,4.06,13.02,,,,22,180.9674559
23,DeVonta Smith,WR,24,2022,179.5461236,87,6.9,3.01,9.09,,,,23,179.5461236
24,Michael Pittman Jr.,WR,25,2022,176.9713914,31,3.1,1.06,4.05,,,,24,176.9713914
25,Brandon Aiyuk,WR,24,2022,175.0950751,100,7.7,4.09,10.11,,,,25,175.0950751
26,Darren Waller,WR,30,2022,173.071765,52,5.8,1.07,6.1,,,,26,173.071765
27,Terry McLaurin,WR,27,2022,172.4806594,39,3.8,1.07,5.03,,,,27,172.4806594
28,Marquise Brown,WR,25,2022,171.0276409,77,6.3,3.08,8.1,,,,28,171.0276409
29,Calvin Ridley,WR,28,2022,170.2822543,204,15.8,8.05,16.06,,,,29,170.2822543
30,Allen Robinson,WR,29,2022,168.8846497,62,6.1,3.01,7.1,,,,30,168.8846497
31,Hunter Renfrow,WR,27,2022,167.6901278,70,6.2,3.11,8.04,,,,31,167.6901278
32,Darnell Mooney,WR,25,2022,163.5033953,75,6.1,4.01,8.12,,,,32,163.5033953
33,Robert Woods,WR,30,2022,161.9523127,103,7.2,4.11,11.01,,,,33,161.9523127
34,Brandin Cooks,WR,29,2022,156.2687145,60,5.2,2.12,7.03,,,,34,156.2687145
35,Michael Gallup,WR,26,2022,156.2112865,125,9.5,2.06,13.06,,,,35,156.2112865
36,Tyler Boyd,WR,28,2022,153.3850146,144,12.6,6.12,15.06,,,,36,153.3850146
37,Christian Kirk,WR,26,2022,152.0973703,112,7.3,6.05,12.06,,,,37,152.0973703
38,Mike Williams,WR,28,2022,149.6813867,51,6.1,2.12,6.08,,,,38,149.6813867
39,Adam Thielen,WR,32,2022,149.2984111,65,6.2,3.02,7.11,,,,39,149.2984111
40,Robby Anderson,WR,29,2022,148.2813208,248,26.8,6.01,18.05,,,,40,148.2813208
41,DeVante Parker,WR,29,2022,148.2813208,139,9.4,8.05,14.07,,,,41,148.2813208
42,Russell Gage,WR,26,2022,141.5153242,114,7.9,3.01,12.05,,,,42,141.5153242
43,K.J. Osborn,WR,25,2022,141.1226032,228,19.4,10.05,18.05,,,,43,141.1226032
44,Jarvis Landry,WR,30,2022,139.4748533,143,11.9,3.02,16.01,,,,44,139.4748533
45,Mecole Hardman,WR,24,2022,138.9743624,168,15.9,6.1,15.12,,,,45,138.9743624
46,Elijah Moore,WR,22,2022,136.7325906,94,7.6,2.06,10.06,,,,46,136.7325906
47,Gabriel Davis,WR,23,2022,136.0189304,79,6.9,3.11,9.01,,,,47,136.0189304
48,DJ Chark,WR,26,2022,135.7115923,,,,,,,,48,135.7115923
49,Marvin Jones,WR,32,2022,134.9836958,253,33.2,5.03,18.05,,,,49,134.9836958
50,JuJu Smith-Schuster,WR,26,2022,132.2068051,90,9.3,2.05,10.11,,,,50,132.2068051
51,Jakobi Meyers,WR,26,2022,131.0277659,197,15.8,8.05,16.08,,,,51,131.0277659
52,Jamison Crowder,WR,29,2022,126.9831069,274,23.6,9.09,18.06,,,,52,126.9831069
53,Jerry Jeudy,WR,23,2022,123.3548059,68,6.3,3.02,7.11,,,,53,123.3548059
