"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tre' McKitty","LAC","8.4","80.6","0.5","0.0","11.2"
"Tyree Jackson","PHI","7.2","69.4","0.7","0.1","11.0"
"Kevin Rader","TEN","8.6","69.2","0.7","0.0","10.9"
"Chigoziem Okonkwo","TEN","7.0","74.1","0.6","0.0","10.9"
"Juwan Johnson","NO","4.7","52.3","0.8","0.0","10.3"
"MyCole Pruitt","ATL","7.2","69.2","0.5","0.0","10.0"
"James Mitchell","DET","6.9","62.2","0.6","0.0","9.7"
"Armani Rogers","WAS","6.2","64.9","0.5","0.0","9.5"
"Ben Ellefson","MIN","5.2","54.8","0.6","0.0","9.1"
"Jack Stoll","PHI","7.1","73.7","0.3","0.0","8.9"
"Eric Tomlinson","DEN","5.4","57.9","0.5","0.0","8.9"
"Tanner Hudson","NYG","5.7","61.9","0.4","0.1","8.6"
"Jesper Horsted","LV","5.4","57.1","0.5","0.0","8.5"
"Tommy Sweeney","BUF","5.9","59.8","0.4","0.0","8.3"
"Hunter Long","MIA","5.3","49.9","0.5","0.0","7.7"
"Colby Parkinson","SEA","5.4","52.2","0.4","0.1","7.5"
"Eric Saubert","DEN","4.9","46.7","0.5","0.0","7.4"
"Reggie Gilliam","BUF","4.1","37.9","0.4","0.0","6.1"
"Jeremy Ruckert","NYJ","3.9","39.3","0.3","0.0","5.7"
"Colin Thompson","CAR","3.7","37.2","0.3","0.0","5.6"
"Stephen Sullivan","CAR","3.7","37.6","0.3","0.0","5.4"
"Jake Tonges","CHI","3.6","37.3","0.3","0.0","5.3"
"Jesse James","CLE","4.0","38.5","0.2","0.0","5.1"
"Charlie Woerner","SF","3.0","28.7","0.3","0.0","4.5"
"Charlie Kolar","BAL","2.6","27.6","0.3","0.0","4.2"
"Josh Oliver","BAL","2.6","26.1","0.2","0.0","4.1"
"Cole Turner","WAS","2.1","22.3","0.2","0.0","3.3"
"Quintin Morris","BUF","1.9","19.3","0.2","0.0","3.0"
"Tanner Conner","MIA","1.9","18.8","0.2","0.0","2.9"
"Mitchell Wilcox","CIN","1.8","18.3","0.2","0.0","2.8"
"Shane Zylstra","DET","1.8","18.1","0.2","0.0","2.7"
"Cethan Carter","MIA","0.9","8.9","0.1","0.0","1.4"
"Jordan Franks","KC","0.0","0.0","0.0","0.0","0.0"
"Jared Pinkney","LAR","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","0.0","0.0","0.0","0.0","0.0"
"Miller Forristall","CLE","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","0.0","0.0","0.0","0.0","0.0"
""
""
