,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
170,Kylin Hill,RB,24,2022,16.248999999999995,,,,
172,Reggie Bonnafon,RB,26,2022,15.800000000000017,,,,
173,Tony Jones,RB,25,2022,15.111000000000006,,,,
174,Snoop Conner,RB,22,2022,14.428000000000003,,,,
175,Trestan Ebner,RB,23,2022,13.86899999999999,,,,
176,Tyrion Davis-Price,RB,22,2022,13.517000000000001,,,,
177,Ronnie Rivers,RB,23,2022,13.424000000000008,,,,
178,Larry Rountree,RB,23,2022,13.424000000000008,,,,
180,Dwayne Washington,RB,28,2022,13.066999999999986,,,,
181,Keaontay Ingram,RB,23,2022,12.135000000000007,,,,
182,Kenneth Gainwell,RB,23,2022,12.135000000000007,127.0,18.2,74.0,176.0
184,Kevin Harris,RB,22,2022,11.512000000000002,,,,
185,Ty Chandler,RB,24,2022,8.06000000000001,,,,
187,Ronnie Rivers,RB,23,2022,7.352000000000001,,,,
188,Larry Rountree,RB,23,2022,7.352000000000001,,,,
189,Isaiah Spiller,RB,21,2022,6.852000000000003,197.0,15.4,122.0,178.0
190,Devine Ozigbo,RB,26,2022,5.513000000000002,,,,
191,Jerome Ford,RB,23,2022,3.762999999999997,186.0,23.0,107.0,210.0
