,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,239.86536665456003,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,205.38871003997883,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,188.31178699949118,37.0,4.8,1.05,6.01
3,Pat Freiermuth,TE,24.0,2022,173.64829681391592,121.0,14.3,3.01,14.08
4,Mike Gesicki,TE,27.0,2022,165.55325936884194,127.0,14.2,5.03,15.11
5,Noah Fant,TE,25.0,2022,158.76925287601466,219.0,25.0,4.11,18.06
6,George Kittle,TE,29.0,2022,158.62000760682852,43.0,5.0,1.12,6.06
7,Hunter Henry,TE,28.0,2022,158.02245358007892,141.0,16.6,5.01,15.1
8,Dallas Goedert,TE,27.0,2022,141.89451192849987,83.0,8.9,4.05,11.07
9,Tyler Higbee,TE,29.0,2022,139.47049650208524,193.0,28.6,6.11,19.04
10,T.J. Hockenson,TE,25.0,2022,136.65264945984975,66.0,6.7,3.1,8.11
11,Austin Hooper,TE,28.0,2022,130.06595420555004,195.0,26.9,4.12,18.06
12,Dawson Knox,TE,26.0,2022,126.92425194918243,92.0,11.0,3.07,13.03
13,Zach Ertz,TE,32.0,2022,124.96298259417742,101.0,10.4,5.01,12.08
14,Dalton Schultz,TE,26.0,2022,121.22797589396505,71.0,7.6,2.03,9.04
15,Cole Kmet,TE,23.0,2022,114.33237871225224,140.0,15.2,6.03,15.12
16,Evan Engram,TE,28.0,2022,108.35842453226824,208.0,22.9,9.08,18.03
17,Gerald Everett,TE,28.0,2022,97.20116933580704,231.0,21.3,8.02,18.06
18,Hayden Hurst,TE,29.0,2022,87.01894638300774,161.0,31.4,6.12,18.05
19,Robert Tonyan,TE,28.0,2022,80.84678281919554,,,,
20,Albert Okwuegbunam,TE,24.0,2022,78.51976266445286,180.0,19.6,7.05,18.06
21,David Njoku,TE,26.0,2022,76.48803379172449,207.0,23.6,2.12,18.06
22,Cameron Brate,TE,31.0,2022,70.6831628955145,162.0,36.0,4.12,17.02
23,Logan Thomas,TE,31.0,2022,61.09442819330883,226.0,19.8,7.11,18.06
24,Kyle Rudolph,TE,33.0,2022,59.084184671996354,178.0,33.6,5.07,18.05
25,Mo Alie-Cox,TE,29.0,2022,52.10951346499671,167.0,41.3,6.08,18.02
