,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
39,Rhamondre Stevenson,RB,24.0,2022,102.50510000000003,,,91.0,8.03,Rhamondre Stevenson,RB,NE,10.0,87.0,7.8,3.02,10.12,4633.0
40,Tony Pollard,RB,25.0,2022,101.66780000000023,,,73.0,6.09,Tony Pollard,RB,DAL,9.0,69.4,6.4,1.04,8.07,2809.0
41,Cam Akers,RB,23.0,2022,101.4646000000003,,,36.0,3.1,Cam Akers,RB,LAR,7.0,33.6,4.0,1.01,5.02,4298.0
42,Alexander Mattison,RB,24.0,2022,98.51350000000001,,,99.0,8.1,Alexander Mattison,RB,MIN,7.0,94.3,7.1,4.04,10.06,1251.0
43,Samaje Perine,RB,27.0,2022,96.86169999999969,,,242.0,14.12,Samaje Perine,RB,CIN,10.0,168.3,19.7,9.09,18.05,145.0
44,Austin Ekeler,RB,27.0,2022,96.70440000000025,,,5.0,1.05,Austin Ekeler,RB,LAC,8.0,4.6,1.4,1.01,1.11,5312.0
45,Jamaal Williams,RB,27.0,2022,96.70440000000025,,,142.0,12.02,Jamaal Williams,RB,DET,6.0,133.8,9.4,8.12,15.06,1420.0
46,Kenyan Drake,RB,28.0,2022,96.30329999999987,,,191.0,13.12,Kenyan Drake,RB,LV,6.0,156.5,15.9,8.01,16.04,794.0
47,Sony Michel,RB,27.0,2022,93.31230000000039,,,188.0,13.11,Sony Michel,RB,MIA,11.0,155.4,15.5,9.08,16.01,489.0
48,Darrel Williams,RB,27.0,2022,93.02699999999994,,,152.0,12.06,Darrel Williams,RB,ARI,13.0,138.3,12.2,4.07,15.1,555.0
49,D'Ernest Johnson,RB,26.0,2022,90.27249999999985,,,224.0,14.08,D'Ernest Johnson,RB,CLE,9.0,164.3,18.1,9.05,17.1,238.0
50,Mark Ingram,RB,33.0,2022,90.2163999999999,,,129.0,11.03,Mark Ingram,RB,NO,14.0,123.5,11.1,2.06,13.06,1005.0
51,Nyheim Hines,RB,26.0,2022,89.13720000000002,,,106.0,9.07,Nyheim Hines,RB,IND,14.0,103.2,7.4,5.12,11.07,2025.0
52,Rashaad Penny,RB,26.0,2022,88.63259999999983,,,72.0,6.08,Rashaad Penny,RB,SEA,11.0,67.7,6.4,2.1,8.12,3452.0
53,J.D. McKissic,RB,29.0,2022,88.26350000000004,,,120.0,10.07,J.D. McKissic,RB,WAS,14.0,115.4,8.5,7.05,13.05,1346.0
54,Rex Burkhead,RB,32.0,2022,86.57060000000024,,,272.0,15.1,Rex Burkhead,RB,HOU,6.0,177.8,20.8,11.09,18.01,29.0
55,Giovani Bernard,RB,31.0,2022,86.5111,,,273.0,15.1,Giovani Bernard,RB,TB,11.0,178.3,37.2,10.12,22.08,11.0
56,Marlon Mack,RB,26.0,2022,82.95069999999983,,,126.0,10.12,Marlon Mack,RB,HOU,6.0,120.2,9.8,7.08,14.01,1164.0
57,Dontrell Hilliard,RB,27.0,2022,82.7268999999999,,,223.0,14.08,Dontrell Hilliard,RB,TEN,6.0,163.9,19.3,12.02,17.11,16.0
58,Raheem Mostert,RB,30.0,2022,80.55750000000016,,,118.0,10.04,Raheem Mostert,RB,MIA,11.0,112.4,8.6,6.04,13.06,1601.0
59,Phillip Lindsay,RB,28.0,2022,78.91509999999984,,,260.0,15.05,Phillip Lindsay,RB,IND,14.0,173.5,25.7,11.01,18.04,13.0
60,Boston Scott,RB,27.0,2022,78.16140000000009,,,275.0,16.12,Boston Scott,RB,PHI,7.0,191.8,37.7,10.09,24.05,12.0
61,Damien Williams,RB,30.0,2022,76.59849999999983,,,261.0,15.06,Damien Williams,RB,ATL,14.0,174.2,29.5,1.04,18.06,88.0
62,Chase Edmonds,RB,26.0,2022,75.06030000000008,,,81.0,7.06,Chase Edmonds,RB,MIA,11.0,77.8,6.9,1.08,9.04,4152.0
63,Jerick McKinnon,RB,30.0,2022,73.39119999999977,,,202.0,14.03,Jerick McKinnon,RB,KC,8.0,159.2,21.3,5.02,17.12,226.0
64,Mike Davis,RB,29.0,2022,72.20489999999975,,,257.0,15.05,Mike Davis,RB,BAL,10.0,172.6,20.3,11.09,18.03,70.0
65,Kenneth Gainwell,RB,23.0,2022,68.84629999999994,,,131.0,11.06,Kenneth Gainwell,RB,PHI,7.0,125.7,10.0,6.05,13.12,2103.0
66,Matt Breida,RB,27.0,2022,68.10139999999981,,,249.0,15.02,Matt Breida,RB,NYG,9.0,170.5,24.4,10.02,18.08,71.0
67,James White,RB,30.0,2022,55.92159999999955,,,239.0,14.11,James White,RB,NE,10.0,167.0,21.8,9.01,18.05,37.0
68,Eno Benjamin,RB,23.0,2022,41.45022587358364,,,256.0,15.05,Eno Benjamin,RB,FA,12.0,172.5,25.0,8.03,18.01,69.0
69,Ameer Abdullah,RB,29.0,2022,40.883499999999835,,,174.0,13.06,Ameer Abdullah,RB,LV,6.0,149.8,47.9,1.01,18.05,36.0
70,Trey Sermon,RB,23.0,2022,36.763299999999745,,,205.0,14.04,Trey Sermon,RB,SF,9.0,160.0,15.8,8.02,16.11,452.0
