,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,276.30349999999993,1.0,0.5,1.01,1.05
1,Nick Chubb,RB,27.0,2022,217.65989999999942,14.0,2.8,1.01,3.01
2,Javonte Williams,RB,22.0,2022,210.7145999999997,21.0,3.6,1.01,3.1
3,Christian McCaffrey,RB,26.0,2022,204.42769999999996,2.0,0.8,1.01,1.08
4,Najee Harris,RB,24.0,2022,199.9222000000007,7.0,2.0,1.01,2.03
5,James Conner,RB,27.0,2022,197.67040000000077,33.0,3.8,1.12,4.09
6,Alvin Kamara,RB,27.0,2022,197.67040000000077,18.0,3.4,1.03,3.06
7,Josh Jacobs,RB,24.0,2022,196.99970000000013,48.0,5.4,1.12,7.02
8,D'Andre Swift,RB,23.0,2022,186.0867999999991,12.0,2.1,1.02,2.09
9,Miles Sanders,RB,25.0,2022,183.58059999999955,64.0,5.6,3.07,7.11
10,Jamaal Williams,RB,27.0,2022,181.42159999999998,142.0,9.4,8.12,15.06
11,Austin Ekeler,RB,27.0,2022,181.42159999999998,5.0,1.4,1.01,1.11
12,Dalvin Cook,RB,27.0,2022,175.21820000000017,8.0,1.8,1.01,2.03
13,James Robinson,RB,24.0,2022,174.85350000000062,86.0,7.0,3.1,9.1
14,Joe Mixon,RB,26.0,2022,170.83130000000006,10.0,2.0,1.01,2.07
15,AJ Dillon,RB,24.0,2022,164.64100000000084,,,,
16,David Montgomery,RB,25.0,2022,162.70819999999995,32.0,3.8,2.04,5.11
17,James Conner,RB,27.0,2022,158.7262000000003,33.0,3.8,1.12,4.09
18,Alvin Kamara,RB,27.0,2022,158.7262000000003,18.0,3.4,1.03,3.06
19,Saquon Barkley,RB,25.0,2022,155.3934000000009,20.0,3.4,1.02,3.07
20,Ezekiel Elliott,RB,27.0,2022,152.51570000000007,27.0,3.6,1.05,4.06
21,Leonard Fournette,RB,27.0,2022,150.38370000000015,24.0,3.7,1.01,3.12
22,Aaron Jones,RB,28.0,2022,149.14860000000047,16.0,2.6,1.02,3.02
